request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,2189.61,2189.61,0.01,28.17,2161.43,True,,0.0,4.4,0.01,23.76,28.17,1
1,genmatrix,small,cold,200,2446.41,2445.58,0.83,47.79,2397.79,True,,0.0,0.02,,47.76,47.79,2
2,fetchdata,small,cold,200,2468.85,2468.85,0.01,164.26,2304.59,True,164.23,0.0,0.02,0.0,,164.26,3
3,fastfouriertransform,large,warm,200,33.89,33.88,0.01,4.59,29.3,False,,0.0,3.84,0.0,0.74,4.58,3
4,linpack,small,cold,200,2430.06,2430.05,0.01,9.08,2420.97,True,,0.0,0.36,4.06,4.66,9.08,2
5,linpack,medium,cold,200,2075.8,2075.8,0.0,643.62,1432.18,False,,0.0,0.36,3.93,639.32,643.61,2
6,fastfouriertransform,small,warm,200,24.3,24.29,0.01,7.42,16.87,False,,0.0,6.18,0.0,1.23,7.41,3
7,fastfouriertransform,small,warm,200,28.06,28.05,0.01,7.27,20.79,False,,0.0,6.13,0.0,1.13,7.26,2
8,fetchdata,large,warm,200,102.78,102.77,0.01,94.94,7.83,False,94.9,0.0,0.03,0.0,,94.94,1
9,linpack,small,warm,200,16.37,16.36,0.01,5.21,11.15,False,,0.0,0.4,4.02,0.79,5.21,1
10,linpack,small,warm,200,14.03,14.02,0.01,5.08,8.95,False,,0.0,0.35,3.99,0.73,5.08,1
11,linpack,medium,warm,200,683.68,683.68,0.01,674.18,9.5,False,,0.0,0.52,6.33,667.32,674.18,1
12,fetchdata,medium,warm,200,95.79,95.79,0.01,88.51,7.27,False,88.47,0.0,0.03,0.0,,88.51,1
13,linpack,medium,warm,200,655.17,655.15,0.02,645.3,9.85,False,,0.0,0.34,3.98,640.97,645.3,1
14,fastfouriertransform,small,warm,200,29.31,29.3,0.01,4.56,24.73,False,,0.0,3.83,0.0,0.73,4.56,1
15,matrixmul,medium,cold,200,2988.43,2985.94,2.49,537.88,2448.06,True,,0.0,0.36,4.03,533.48,537.88,1
16,genmatrix,small,warm,200,11.35,9.96,1.39,0.16,9.8,False,,0.0,0.04,,0.12,0.16,2
17,fetchdata,medium,warm,200,98.93,98.92,0.01,92.14,6.78,False,92.1,0.0,0.03,0.0,,92.14,2
18,fastfouriertransform,small,warm,200,25.72,25.71,0.01,7.23,18.48,False,,0.0,6.09,0.0,1.13,7.23,1
19,matrixmul,small,warm,200,24.89,22.36,2.52,4.92,17.45,False,,0.0,0.36,3.97,0.58,4.92,1
20,genmatrix,medium,warm,200,14.12,10.75,3.37,0.23,10.51,False,,0.0,0.03,,0.2,0.23,1
21,linpack,medium,warm,200,721.17,721.15,0.02,708.92,12.23,False,,0.0,0.46,5.61,702.84,708.92,1
22,fastfouriertransform,large,warm,200,41.11,41.09,0.02,7.21,33.88,False,,0.0,6.08,0.0,1.12,7.21,1
23,matrixmul,large,warm,200,30.31,27.49,2.82,7.17,20.32,False,,0.0,0.54,5.75,0.88,7.16,1
24,fastfouriertransform,medium,warm,200,769.23,769.21,0.02,739.18,30.03,False,,0.0,5.5,0.02,733.66,739.18,1
25,fastfouriertransform,large,warm,200,36.48,36.47,0.01,4.62,31.85,False,,0.0,3.83,0.0,0.79,4.62,1
26,genmatrix,large,warm,200,59.0,47.58,11.42,1.32,46.27,False,,0.0,0.03,,1.28,1.32,1
27,linpack,medium,warm,200,692.99,692.98,0.01,679.41,13.57,False,,0.0,0.52,6.36,672.52,679.4,1
28,linpack,small,warm,200,17.59,17.57,0.02,5.17,12.39,False,,0.0,0.37,4.07,0.73,5.17,1
29,fastfouriertransform,small,warm,200,35.71,35.7,0.01,4.56,31.14,False,,0.0,3.82,0.0,0.74,4.56,1
30,fetchdata,medium,warm,200,100.76,100.74,0.01,93.02,7.72,False,92.98,0.0,0.03,0.0,,93.02,1
31,fastfouriertransform,small,warm,200,29.54,29.54,0.01,7.23,22.3,False,,0.0,6.09,0.0,1.13,7.23,1
32,fastfouriertransform,medium,warm,200,686.23,686.22,0.01,651.7,34.52,False,,0.0,6.08,0.0,645.61,651.7,1
33,genmatrix,medium,warm,200,12.58,10.98,1.6,0.21,10.77,False,,0.0,0.03,,0.18,0.21,1
34,genmatrix,small,warm,200,8.23,6.94,1.29,0.12,6.82,False,,0.0,0.03,,0.09,0.12,1
35,genmatrix,medium,warm,200,14.62,10.77,3.84,0.21,10.56,False,,0.0,0.03,,0.18,0.21,1
36,fetchdata,large,warm,200,152.6,152.58,0.02,145.78,6.81,False,145.74,0.0,0.03,0.0,,145.77,1
37,genmatrix,large,warm,200,51.61,43.61,8.0,1.19,42.42,False,,0.0,0.04,,1.15,1.19,1
38,fastfouriertransform,large,warm,200,23.05,23.05,0.01,7.24,15.81,False,,0.0,6.1,0.0,1.14,7.24,1
39,fetchdata,large,warm,200,98.14,98.14,0.01,91.89,6.25,False,91.84,0.0,0.03,0.0,,91.89,1
40,fetchdata,small,warm,200,100.37,100.37,0.01,93.6,6.77,False,93.55,0.0,0.04,0.0,,93.6,1
41,matrixmul,medium,warm,200,596.96,594.12,2.83,578.54,15.58,False,,0.0,0.52,6.47,571.54,578.54,1
42,genmatrix,large,warm,200,50.73,42.81,7.92,1.1,41.7,False,,0.0,0.03,,1.07,1.1,1
43,linpack,small,warm,200,19.45,19.44,0.01,7.98,11.46,False,,0.0,0.53,6.3,1.14,7.98,1
44,genmatrix,small,warm,200,8.05,7.0,1.06,0.11,6.89,False,,0.0,0.02,,0.09,0.11,1
45,fetchdata,small,warm,200,85.0,84.99,0.01,79.89,5.1,False,79.87,0.0,0.02,0.0,,79.89,1
46,genmatrix,medium,warm,200,12.29,10.43,1.86,0.21,10.22,False,,0.0,0.02,,0.18,0.21,1
47,genmatrix,small,warm,200,8.1,6.74,1.36,0.11,6.63,False,,0.0,0.02,,0.09,0.11,1
48,fetchdata,large,warm,200,97.43,97.42,0.01,91.67,5.75,False,91.64,0.0,0.02,0.0,,91.67,1
49,genmatrix,small,warm,200,8.76,7.7,1.06,0.14,7.56,False,,0.0,0.03,,0.11,0.14,1
50,matrixmul,medium,warm,200,550.61,548.14,2.47,534.74,13.4,False,,0.0,0.36,3.99,530.39,534.74,1
51,matrixmul,small,warm,200,20.91,18.23,2.68,4.92,13.31,False,,0.0,0.35,3.98,0.58,4.92,1
52,genmatrix,small,warm,200,8.97,8.0,0.97,0.15,7.85,False,,0.0,0.03,,0.12,0.15,1
53,fetchdata,large,warm,200,96.21,96.21,0.01,89.31,6.9,False,89.27,0.0,0.02,0.0,,89.3,1
54,linpack,large,warm,200,17.85,17.84,0.01,8.01,9.83,False,,0.0,0.51,6.33,1.16,8.01,1
55,genmatrix,large,warm,200,37.68,31.06,6.63,0.8,30.25,False,,0.0,0.02,,0.78,0.8,1
56,linpack,medium,warm,200,688.13,688.12,0.01,678.1,10.02,False,,0.0,0.45,5.29,672.35,678.1,1
57,linpack,medium,warm,200,709.01,709.0,0.01,699.19,9.8,False,,0.0,0.33,3.96,694.9,699.19,1
58,genmatrix,small,warm,200,7.94,7.28,0.66,0.11,7.17,False,,0.0,0.02,,0.09,0.11,1
