request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1757.71,1757.69,0.02,8.2,1749.48,True,,0.0,5.52,0.01,2.67,8.2,1
1,genmatrix,small,cold,200,1355.29,1354.51,0.78,6.73,1347.78,True,,0.0,0.03,,6.7,6.73,2
2,fetchdata,small,cold,200,1998.85,1998.83,0.02,131.16,1867.67,True,131.11,0.0,0.03,0.0,,131.16,3
3,fastfouriertransform,large,cold,200,1171.08,1171.07,0.02,4.94,1166.13,False,,0.0,4.12,0.01,0.8,4.94,4
4,linpack,small,cold,200,1494.72,1494.7,0.02,5.76,1488.94,True,,0.0,0.45,4.38,0.92,5.75,5
5,linpack,medium,cold,200,2597.9,2597.88,0.02,645.79,1952.09,False,,0.0,0.34,3.96,641.48,645.79,6
6,fastfouriertransform,small,warm,200,564.76,564.74,0.02,5.42,559.32,False,,0.0,4.4,0.01,1.0,5.42,7
7,fastfouriertransform,small,warm,200,378.77,378.76,0.02,4.97,373.78,False,,0.0,4.11,0.01,0.85,4.97,8
8,fetchdata,large,warm,200,875.53,875.51,0.02,76.57,798.94,False,76.54,0.0,0.02,0.0,,76.57,8
9,linpack,small,cold,200,1828.92,1828.9,0.02,5.04,1823.86,False,,0.0,0.36,3.97,0.71,5.04,5
10,linpack,small,warm,200,951.09,951.07,0.02,5.07,946.0,False,,0.0,0.36,3.99,0.72,5.07,6
11,linpack,medium,warm,200,744.94,744.92,0.02,645.95,98.97,False,,0.0,0.39,4.06,641.49,645.95,7
12,fetchdata,medium,warm,200,153.98,153.96,0.02,75.95,78.02,False,75.92,0.0,0.02,0.0,,75.95,6
13,linpack,medium,cold,200,1663.08,1663.06,0.02,657.82,1005.24,False,,0.0,0.33,3.99,653.49,657.82,5
14,fastfouriertransform,small,warm,200,26.39,26.38,0.01,4.58,21.8,False,,0.0,3.82,0.0,0.75,4.58,6
15,matrixmul,medium,cold,200,2153.33,2148.62,4.71,506.67,1641.95,True,,0.0,0.35,4.02,502.28,506.66,4
16,genmatrix,small,warm,200,9.57,8.44,1.14,0.11,8.33,False,,0.0,0.02,,0.09,0.11,5
17,fetchdata,medium,warm,200,83.53,83.51,0.02,77.34,6.17,False,77.31,0.0,0.02,0.0,,77.34,5
18,fastfouriertransform,small,warm,200,40.93,40.92,0.01,4.93,35.98,False,,0.0,4.16,0.0,0.76,4.93,4
19,matrixmul,small,cold,200,1376.63,1375.05,1.58,4.92,1370.13,False,,0.0,0.36,3.98,0.57,4.92,3
20,genmatrix,medium,warm,200,18.79,12.7,6.09,0.23,12.46,False,,0.0,0.03,,0.2,0.23,4
21,linpack,medium,warm,200,712.69,712.67,0.02,648.58,64.09,False,,0.0,0.34,4.0,644.24,648.58,4
22,fastfouriertransform,large,warm,200,42.44,42.42,0.02,5.71,36.71,False,,0.0,4.4,0.0,1.29,5.71,4
23,matrixmul,large,warm,200,564.81,563.04,1.77,4.9,558.14,False,,0.0,0.35,3.96,0.59,4.9,4
24,fastfouriertransform,medium,warm,200,710.7,710.68,0.02,689.49,21.18,False,,0.0,3.85,0.0,685.64,689.49,5
25,fastfouriertransform,large,warm,200,516.49,516.44,0.05,4.52,511.92,False,,0.0,3.8,0.0,0.71,4.52,5
26,genmatrix,large,warm,200,37.73,31.29,6.43,0.87,30.43,False,,0.0,0.02,,0.84,0.87,3
27,linpack,medium,warm,200,655.07,655.05,0.02,643.08,11.97,False,,0.0,0.34,3.97,638.77,643.08,3
28,linpack,small,warm,200,461.46,461.44,0.02,5.05,456.39,False,,0.0,0.33,4.0,0.72,5.05,2
29,fastfouriertransform,small,warm,200,23.64,23.64,0.01,4.62,19.02,False,,0.0,3.85,0.0,0.76,4.62,3
30,fetchdata,medium,warm,200,82.92,82.91,0.01,76.76,6.15,False,76.73,0.0,0.02,0.0,,76.76,3
31,fastfouriertransform,small,warm,200,43.89,43.87,0.02,7.23,36.64,False,,0.0,6.12,0.0,1.1,7.22,1
32,fastfouriertransform,medium,warm,200,658.91,658.89,0.02,622.89,36.0,False,,0.0,6.06,0.0,616.82,622.89,1
33,genmatrix,medium,warm,200,17.76,12.62,5.14,0.26,12.37,False,,0.0,0.03,,0.22,0.25,2
34,genmatrix,small,warm,200,10.54,8.61,1.93,0.15,8.46,False,,0.0,0.03,,0.11,0.15,2
35,genmatrix,medium,warm,200,20.62,14.25,6.37,0.3,13.95,False,,0.0,0.03,,0.26,0.3,2
36,fetchdata,large,warm,200,92.04,92.02,0.02,84.68,7.33,False,84.64,0.0,0.03,0.0,,84.68,1
37,genmatrix,large,warm,200,53.15,44.53,8.62,1.19,43.34,False,,0.0,0.04,,1.14,1.18,1
38,fastfouriertransform,large,warm,200,41.07,41.05,0.02,4.68,36.37,False,,0.0,3.86,0.0,0.82,4.68,1
39,fetchdata,large,warm,200,93.71,93.69,0.02,85.63,8.05,False,85.59,0.0,0.03,0.0,,85.63,1
40,fetchdata,small,warm,200,93.14,93.12,0.02,85.24,7.88,False,85.2,0.0,0.03,0.0,,85.24,1
41,matrixmul,medium,warm,200,530.08,525.02,5.06,509.3,15.71,False,,0.0,0.34,3.96,505.0,509.3,1
42,genmatrix,large,warm,200,52.56,45.91,6.65,1.18,44.73,False,,0.0,0.03,,1.15,1.18,2
43,linpack,small,warm,200,17.58,17.56,0.02,5.06,12.5,False,,0.0,0.33,3.98,0.74,5.06,2
44,genmatrix,small,warm,200,10.47,8.83,1.64,0.14,8.69,False,,0.0,0.02,,0.11,0.14,1
45,fetchdata,small,warm,200,94.54,94.52,0.02,86.65,7.86,False,86.62,0.0,0.02,0.0,,86.65,1
46,genmatrix,medium,warm,200,19.05,14.36,4.69,0.29,14.07,False,,0.0,0.02,,0.26,0.29,1
47,genmatrix,small,warm,200,9.93,8.03,1.9,0.15,7.89,False,,0.0,0.03,,0.11,0.15,1
48,fetchdata,large,warm,200,85.58,85.56,0.02,77.55,8.0,False,77.53,0.0,0.02,0.0,,77.55,1
49,genmatrix,small,warm,200,11.94,10.06,1.88,0.14,9.92,False,,0.0,0.02,,0.11,0.14,1
50,matrixmul,medium,warm,200,570.22,566.03,4.19,548.8,17.23,False,,0.0,0.53,6.41,541.86,548.8,1
51,matrixmul,small,warm,200,379.83,376.34,3.48,4.9,371.44,False,,0.0,0.34,3.98,0.57,4.9,2
52,genmatrix,small,warm,200,9.86,8.74,1.12,0.12,8.62,False,,0.0,0.02,,0.09,0.12,3
53,fetchdata,large,warm,200,82.42,82.34,0.08,76.44,5.9,False,76.41,0.0,0.02,0.0,,76.44,1
54,linpack,large,warm,200,16.47,16.45,0.02,5.06,11.39,False,,0.0,0.33,3.98,0.74,5.06,1
55,genmatrix,large,warm,200,39.26,32.26,7.0,0.79,31.47,False,,0.0,0.02,,0.77,0.79,1
56,linpack,medium,warm,200,687.43,687.41,0.02,676.02,11.39,False,,0.0,0.34,3.97,671.71,676.02,1
57,linpack,medium,warm,200,1130.68,1130.67,0.01,642.17,488.51,False,,0.0,0.34,3.99,637.84,642.17,2
58,genmatrix,small,warm,200,9.32,7.51,1.81,0.11,7.41,False,,0.0,0.02,,0.08,0.1,3
59,fetchdata,large,warm,200,82.63,82.61,0.02,76.35,6.25,False,76.33,0.0,0.02,0.0,,76.35,3
60,matrixmul,small,warm,200,26.02,20.96,5.07,4.91,16.05,False,,0.0,0.35,3.99,0.57,4.91,2
61,fastfouriertransform,small,warm,200,43.47,43.45,0.02,7.21,36.24,False,,0.0,6.09,0.0,1.11,7.21,2
62,fetchdata,large,warm,200,82.99,82.97,0.02,76.83,6.14,False,76.81,0.0,0.02,0.0,,76.83,2
63,fetchdata,large,warm,200,84.88,84.86,0.02,77.22,7.64,False,77.19,0.0,0.02,0.0,,77.21,1
64,matrixmul,large,warm,200,30.13,24.39,5.74,4.89,19.5,False,,0.0,0.35,3.97,0.57,4.89,1
65,fastfouriertransform,medium,warm,200,675.23,675.22,0.01,632.68,42.54,False,,0.0,6.07,0.0,626.61,632.68,1
66,matrixmul,large,warm,200,24.76,20.86,3.91,4.9,15.96,False,,0.0,0.36,3.98,0.56,4.9,2
67,matrixmul,large,warm,200,27.79,21.46,6.33,4.89,16.57,False,,0.0,0.35,3.98,0.56,4.89,2
68,genmatrix,large,warm,200,39.65,32.39,7.27,0.78,31.61,False,,0.0,0.02,,0.76,0.78,2
69,fastfouriertransform,large,warm,200,41.42,41.4,0.02,4.59,36.81,False,,0.0,3.83,0.0,0.75,4.59,1
70,fastfouriertransform,large,warm,200,41.05,41.03,0.02,4.55,36.48,False,,0.0,3.8,0.0,0.75,4.55,1
71,linpack,medium,warm,200,654.67,654.65,0.02,642.61,12.04,False,,0.0,0.33,4.01,638.26,642.6,1
72,genmatrix,small,warm,200,8.28,7.33,0.96,0.12,7.21,False,,0.0,0.02,,0.1,0.12,2
73,genmatrix,medium,warm,200,15.87,10.66,5.21,0.2,10.45,False,,0.0,0.02,,0.18,0.2,2
74,fetchdata,medium,warm,200,91.95,91.93,0.02,84.6,7.33,False,84.56,0.0,0.02,0.0,,84.59,2
