timestamp,pod,scheduling_time_ms
I0603 07:16:39.961597,default/genmatrix-00001-deployment-5444456b78-8257w,8.305467
I0603 07:16:39.963184,default/linpack-00001-deployment-6d74694468-cc5jt,6.165132
I0603 07:16:39.968000,default/fastfouriertransform-00001-deployment-78d877fd9c-rl4c4,9.362792
I0603 07:16:39.968161,default/fetchdata-00001-deployment-759f5b8c55-l6pms,12.543155
I0603 07:16:41.444188,default/linpack-00001-deployment-6d74694468-wmhpq,6.691841
I0603 07:16:41.484143,default/fastfouriertransform-00001-deployment-78d877fd9c-59hst,31.538629
I0603 07:16:41.493610,default/matrixmul-00001-deployment-78f7668cf4-px4px,7.116752
I0603 07:18:37.487196,default/linpack-00001-deployment-6d74694468-njnzm,4.498617
I0603 07:30:02.801027,default/fastfouriertransform-00001-deployment-78d877fd9c-bkk2b,4.083075
I0603 07:30:02.885843,default/genmatrix-00001-deployment-5444456b78-bhrb9,4.161836
I0603 07:30:02.969747,default/fetchdata-00001-deployment-759f5b8c55-n5lwj,4.721933
I0603 07:30:03.165392,default/linpack-00001-deployment-6d74694468-hsnwz,5.006788
I0603 07:30:04.275933,default/matrixmul-00001-deployment-78f7668cf4-g6v4f,6.461894
I0603 07:30:05.444270,default/linpack-00001-deployment-6d74694468-gzbpn,4.656785
I0603 07:32:02.111751,default/linpack-00001-deployment-6d74694468-2wzvl,6.010815
I0603 07:40:14.327723,default/fastfouriertransform-00001-deployment-78d877fd9c-gkwfw,6.799341
I0603 07:40:14.338158,default/genmatrix-00001-deployment-5444456b78-sr9jr,7.826092
I0603 07:40:14.444611,default/fetchdata-00001-deployment-759f5b8c55-jxvbj,5.156807
I0603 07:40:14.662953,default/linpack-00001-deployment-6d74694468-w8gnn,4.370264
I0603 07:40:15.731430,default/matrixmul-00001-deployment-78f7668cf4-bxz49,4.040538
I0603 07:40:17.446147,default/linpack-00001-deployment-6d74694468-8dg9x,4.087538
I0603 07:42:14.211163,default/linpack-00001-deployment-6d74694468-gzsv5,13.657128
I0603 07:50:15.182287,default/fastfouriertransform-00001-deployment-78d877fd9c-6r7cz,8.388616
I0603 07:50:15.190494,default/genmatrix-00001-deployment-5444456b78-9mfmn,4.260411
I0603 07:50:15.288067,default/fetchdata-00001-deployment-759f5b8c55-brh5r,5.840259
I0603 07:50:15.482379,default/linpack-00001-deployment-6d74694468-8v27b,3.777036
I0603 07:50:16.589304,default/matrixmul-00001-deployment-78f7668cf4-n95cx,7.262457
I0603 07:50:17.439551,default/linpack-00001-deployment-6d74694468-t4mrh,5.304142
I0603 07:52:14.186430,default/linpack-00001-deployment-6d74694468-jfqjw,5.137697
I0603 08:00:22.245975,default/fastfouriertransform-00001-deployment-78d877fd9c-v6p2j,5.208683
I0603 08:00:22.255145,default/genmatrix-00001-deployment-5444456b78-24rdk,4.830012
I0603 08:00:22.351894,default/fetchdata-00001-deployment-759f5b8c55-f6rd7,5.618724
I0603 08:00:22.550415,default/linpack-00001-deployment-6d74694468-s2p62,5.075052
I0603 08:00:23.653502,default/matrixmul-00001-deployment-78f7668cf4-f6gp9,4.962217
I0603 08:00:25.445404,default/linpack-00001-deployment-6d74694468-5s476,4.482491
I0603 08:02:07.746149,default/matrixmul-00001-deployment-78f7668cf4-nxv5t,5.330388
I0603 08:02:21.446086,default/linpack-00001-deployment-6d74694468-6bzl7,5.487704
I0603 08:10:32.173418,default/fastfouriertransform-00001-deployment-78d877fd9c-bbmlv,5.583555
I0603 08:10:32.180890,default/genmatrix-00001-deployment-5444456b78-5z4vr,4.330876
I0603 08:10:32.284879,default/fetchdata-00001-deployment-759f5b8c55-xdvdm,6.610677
I0603 08:10:32.486950,default/linpack-00001-deployment-6d74694468-k9cml,4.696232
I0603 08:10:33.580437,default/matrixmul-00001-deployment-78f7668cf4-6h8sp,6.7829
I0603 08:10:35.444828,default/linpack-00001-deployment-6d74694468-797bh,5.720631
I0603 08:12:31.825238,default/linpack-00001-deployment-6d74694468-fbbv5,5.33572
I0603 08:13:11.659102,default/matrixmul-00001-deployment-78f7668cf4-rz8gc,4.229097
I0603 08:20:24.435206,default/fastfouriertransform-00001-deployment-78d877fd9c-79h54,5.858372
I0603 08:20:24.502068,default/genmatrix-00001-deployment-5444456b78-slfhs,4.790565
I0603 08:20:24.593305,default/fetchdata-00001-deployment-759f5b8c55-px7rj,5.574017
I0603 08:20:24.799718,default/linpack-00001-deployment-6d74694468-gzfcx,4.869844
I0603 08:20:25.903901,default/matrixmul-00001-deployment-78f7668cf4-2ttfq,5.920836
I0603 08:20:27.444777,default/linpack-00001-deployment-6d74694468-bjps2,6.009429
I0603 08:22:23.560018,default/linpack-00001-deployment-6d74694468-7mg5q,13.111035
I0603 08:23:03.857927,default/matrixmul-00001-deployment-78f7668cf4-bfqpx,6.076115
I0603 08:30:45.946228,default/fastfouriertransform-00001-deployment-78d877fd9c-hrwxv,5.509848
I0603 08:30:45.977481,default/genmatrix-00001-deployment-5444456b78-7ht5l,27.764371
I0603 08:30:46.071137,default/fetchdata-00001-deployment-759f5b8c55-wd89n,5.749554
I0603 08:30:46.255305,default/linpack-00001-deployment-6d74694468-mr6f7,5.626256
I0603 08:30:47.366341,default/matrixmul-00001-deployment-78f7668cf4-ktlw2,6.047965
I0603 08:30:49.446401,default/linpack-00001-deployment-6d74694468-f8ww2,5.779387
I0603 08:32:43.449183,default/linpack-00001-deployment-6d74694468-5j67g,5.378032
I0603 08:38:57.272379,default/fastfouriertransform-00001-deployment-78d877fd9c-6jhtb,6.332061
I0603 08:38:57.274424,default/genmatrix-00001-deployment-5444456b78-kz26v,4.980936
I0603 08:38:57.379611,default/fetchdata-00001-deployment-759f5b8c55-222jt,5.064493
I0603 08:38:57.584401,default/linpack-00001-deployment-6d74694468-b4drx,5.815037
I0603 08:38:58.672142,default/matrixmul-00001-deployment-78f7668cf4-xhvc2,5.708888
I0603 08:39:01.449218,default/linpack-00001-deployment-6d74694468-99sgx,5.644684
I0603 08:40:55.977095,default/linpack-00001-deployment-6d74694468-9qkgt,5.52959
I0603 08:50:16.528307,default/fastfouriertransform-00001-deployment-78d877fd9c-m58b5,8.433785
I0603 08:50:16.538293,default/genmatrix-00001-deployment-5444456b78-ltj2w,5.155235
I0603 08:50:16.663383,default/fetchdata-00001-deployment-759f5b8c55-k7m6f,6.405839
I0603 08:50:16.837788,default/linpack-00001-deployment-6d74694468-h9sm6,6.073799
I0603 08:50:17.939164,default/matrixmul-00001-deployment-78f7668cf4-jhtwm,7.56548
I0603 08:50:19.445223,default/linpack-00001-deployment-6d74694468-ng9wv,5.078512
I0603 08:52:16.178641,default/linpack-00001-deployment-6d74694468-clztw,5.023456
