index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,1685.2,1685.19,0.01,7.38,1677.81,True,,0.0,4.0,0.0,3.37,7.38,1
1,1,genmatrix,small,cold,200,2078.68,2078.68,0.0,9.46,2069.22,True,,0.0,0.03,,9.42,9.46,2
2,2,fetchdata,small,cold,200,1842.21,1842.21,0.0,144.27,1697.94,True,144.22,0.0,0.04,0.0,,144.27,3
3,3,fastfouriertransform,large,cold,200,3979.8,3979.8,0.0,5.35,3974.45,False,,0.0,4.21,0.0,1.1,5.35,4
4,4,linpack,small,cold,200,1931.23,1931.23,0.0,13.39,1917.84,True,,0.0,0.85,11.58,0.95,13.39,5
5,5,linpack,medium,cold,200,4124.21,4124.2,0.0,720.23,3403.97,False,,0.0,0.42,4.99,714.81,720.23,6
6,6,fastfouriertransform,small,cold,200,3662.36,3662.36,0.0,4.83,3657.53,False,,0.0,3.91,0.0,0.91,4.83,7
7,7,fastfouriertransform,small,cold,200,2975.86,2975.85,0.01,4.58,2971.27,False,,0.0,3.84,0.0,0.73,4.58,8
8,8,fetchdata,large,cold,200,1861.59,1861.58,0.0,80.15,1781.43,False,80.11,0.0,0.03,0.0,,80.15,9
9,9,linpack,small,cold,200,4813.1,4813.1,0.0,5.1,4808.0,False,,0.0,0.34,4.0,0.75,5.1,10
10,10,linpack,small,cold,200,4807.1,4807.1,0.0,5.14,4801.96,False,,0.0,0.37,4.02,0.74,5.14,11
11,11,linpack,medium,cold,200,5463.08,5463.08,0.0,675.24,4787.83,False,,0.0,0.36,4.01,670.87,675.24,12
12,12,fetchdata,medium,cold,200,3321.86,3321.85,0.0,79.01,3242.84,False,78.99,0.0,0.02,0.0,,79.01,13
13,13,linpack,medium,cold,200,7459.29,7459.29,0.0,699.65,6759.63,False,,0.0,0.45,4.14,695.06,699.65,14
14,14,fastfouriertransform,small,cold,200,3598.22,3598.22,0.0,4.62,3593.6,False,,0.0,3.87,0.0,0.75,4.62,15
15,15,matrixmul,medium,cold,200,2175.04,2150.83,24.21,519.02,1631.81,True,,0.0,0.41,4.5,514.1,519.02,16
16,16,genmatrix,small,cold,200,2074.15,2074.14,0.01,0.13,2074.02,False,,0.0,0.02,,0.1,0.13,17
17,17,fetchdata,medium,cold,200,3343.51,3343.51,0.0,77.88,3265.63,False,77.85,0.0,0.02,0.0,,77.88,18
18,18,fastfouriertransform,small,cold,200,3585.25,3585.24,0.0,4.76,3580.48,False,,0.0,3.96,0.0,0.79,4.76,19
19,19,matrixmul,small,cold,200,2155.73,2137.22,18.52,4.99,2132.23,False,,0.0,0.38,4.03,0.57,4.99,20
20,20,genmatrix,medium,cold,200,2031.85,2031.85,0.01,0.23,2031.62,False,,0.0,0.02,,0.2,0.23,21
21,21,linpack,medium,cold,200,6013.4,6013.39,0.01,654.52,5358.87,False,,0.0,0.36,3.98,650.17,654.52,22
22,22,fastfouriertransform,large,cold,200,3563.9,3563.89,0.01,5.08,3558.81,False,,0.0,4.1,0.0,0.98,5.08,23
23,23,matrixmul,large,cold,200,2110.6,2110.59,0.01,4.92,2105.67,False,,0.0,0.37,3.99,0.56,4.92,24
24,24,fastfouriertransform,medium,cold,200,3476.26,3476.25,0.0,677.04,2799.21,False,,0.0,3.85,0.0,673.18,677.04,25
25,25,fastfouriertransform,large,cold,200,3475.92,3475.92,0.0,4.74,3471.18,False,,0.0,3.95,0.0,0.78,4.74,26
26,26,genmatrix,large,cold,200,2123.11,1965.94,157.17,1.23,1964.71,False,,0.0,0.02,,1.2,1.23,27
27,27,linpack,medium,cold,200,6633.7,6633.69,0.01,665.36,5968.33,False,,0.0,0.4,4.06,660.89,665.36,28
28,28,linpack,small,cold,200,7326.87,7326.86,0.01,5.17,7321.69,False,,0.0,0.38,4.03,0.76,5.17,29
29,29,fastfouriertransform,small,cold,200,1427.22,1427.21,0.01,5.11,1422.1,False,,0.0,4.22,0.01,0.87,5.11,30
30,30,fetchdata,medium,cold,200,2900.35,2900.34,0.01,80.67,2819.67,False,80.64,0.0,0.02,0.0,,80.67,31
31,31,fastfouriertransform,small,cold,200,1411.5,1411.5,0.01,4.86,1406.63,False,,0.0,4.03,0.0,0.83,4.86,32
32,32,fastfouriertransform,medium,cold,200,2692.71,2692.7,0.01,626.98,2065.73,False,,0.0,3.94,0.0,623.03,626.98,33
33,33,genmatrix,medium,cold,200,1882.99,1858.46,24.54,0.38,1858.08,False,,0.01,0.03,,0.21,0.26,34
34,34,genmatrix,small,cold,200,1842.94,1842.94,0.0,0.13,1842.81,False,,0.0,0.03,,0.1,0.13,35
35,35,genmatrix,medium,cold,200,1916.49,1840.74,75.75,0.22,1840.52,False,,0.0,0.03,,0.19,0.22,36
36,36,fetchdata,large,cold,200,2451.93,2451.93,0.0,76.53,2375.4,False,76.5,0.0,0.02,0.0,,76.53,37
37,37,genmatrix,large,cold,200,2442.07,1814.6,627.47,1.99,1812.61,False,,0.0,0.29,,1.69,1.99,38
38,38,fastfouriertransform,large,cold,200,1350.34,1350.34,0.0,4.88,1345.45,False,,0.0,4.01,0.01,0.86,4.88,39
39,39,fetchdata,large,cold,200,2656.43,2656.42,0.01,75.69,2580.74,False,75.66,0.0,0.02,0.0,,75.69,40
40,40,fetchdata,small,cold,200,2493.68,2493.67,0.0,75.39,2418.28,False,75.37,0.0,0.02,0.0,,75.39,41
41,41,matrixmul,medium,cold,200,2448.43,2440.67,7.76,517.47,1923.2,False,,0.0,0.37,4.0,513.09,517.47,42
42,42,genmatrix,large,cold,200,1777.7,1728.74,48.96,1.0,1727.74,False,,0.0,0.02,,0.97,1.0,43
43,43,linpack,small,cold,200,3016.6,3016.59,0.0,6.27,3010.32,False,,0.0,0.43,4.96,0.88,6.27,44
44,44,genmatrix,small,cold,200,1679.27,1679.27,0.0,0.13,1679.14,False,,0.0,0.03,,0.1,0.13,45
45,45,fetchdata,small,cold,200,2669.71,2669.71,0.01,78.99,2590.72,False,78.96,0.0,0.02,0.0,,78.99,46
46,46,genmatrix,medium,cold,200,1675.54,1649.89,25.65,0.24,1649.65,False,,0.0,0.03,,0.21,0.24,47
47,47,genmatrix,small,cold,200,1627.08,1627.07,0.01,0.13,1626.95,False,,0.0,0.03,,0.1,0.13,48
48,48,fetchdata,large,cold,200,2499.27,2499.26,0.01,76.64,2422.62,False,76.62,0.0,0.02,0.0,,76.64,49
49,49,genmatrix,small,cold,200,1796.85,1796.85,0.0,0.16,1796.68,False,,0.0,0.06,,0.09,0.16,50
50,50,matrixmul,medium,cold,200,2880.51,2870.22,10.29,516.49,2353.73,False,,0.0,0.4,4.09,511.99,516.49,51
51,51,matrixmul,small,cold,200,2882.31,2870.39,11.92,5.0,2865.39,False,,0.0,0.39,4.02,0.58,5.0,52
52,52,genmatrix,small,cold,200,1909.41,1909.4,0.0,0.15,1909.25,False,,0.0,0.02,,0.12,0.15,53
53,53,fetchdata,large,cold,200,2745.4,2745.39,0.0,76.91,2668.48,False,76.88,0.0,0.02,0.0,,76.91,54
54,54,linpack,large,cold,200,2141.96,2141.95,0.0,5.15,2136.8,False,,0.0,0.38,4.03,0.73,5.15,55
55,55,genmatrix,large,cold,200,1944.97,1880.87,64.1,1.63,1879.24,False,,0.0,0.03,,1.59,1.63,56
56,56,linpack,medium,cold,200,2112.22,2112.21,0.0,687.72,1424.5,False,,0.0,0.37,4.68,682.66,687.72,57
57,57,linpack,medium,cold,200,7786.75,7786.75,0.01,731.92,7054.83,False,,0.0,0.35,3.99,727.58,731.92,58
58,58,genmatrix,small,cold,200,1801.61,1801.6,0.01,0.16,1801.44,False,,0.0,0.02,,0.13,0.16,59
