request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1593.06,1593.03,0.03,9.0,1584.03,True,,0.0,5.87,0.01,3.12,9.0,1
1,genmatrix,small,cold,200,1771.62,1769.58,2.04,9.63,1759.95,True,,0.0,0.04,,9.58,9.62,2
2,fetchdata,small,cold,200,2375.09,2375.07,0.02,129.06,2246.01,True,129.02,0.0,0.03,0.0,,129.06,2
3,fastfouriertransform,large,warm,200,49.8,49.78,0.02,7.28,42.5,False,,0.0,6.06,0.0,1.21,7.28,2
4,linpack,small,cold,200,1553.95,1553.93,0.02,5.53,1548.4,True,,0.0,0.37,4.24,0.91,5.53,2
5,linpack,medium,warm,200,1200.54,1200.52,0.02,643.44,557.08,False,,0.0,0.36,4.06,639.01,643.44,2
6,fastfouriertransform,small,warm,200,32.65,32.65,0.01,7.25,25.4,False,,0.0,6.07,0.0,1.17,7.25,2
7,fastfouriertransform,small,warm,200,33.15,33.14,0.01,7.42,25.72,False,,0.0,6.21,0.01,1.2,7.42,1
8,fetchdata,large,warm,200,87.53,87.51,0.02,78.79,8.72,False,78.76,0.0,0.02,0.0,,78.79,1
9,linpack,small,warm,200,20.33,20.31,0.02,5.13,15.19,False,,0.0,0.35,4.01,0.77,5.13,1
10,linpack,small,warm,200,26.11,26.09,0.02,8.48,17.61,False,,0.0,0.53,6.79,1.16,8.48,1
11,linpack,medium,warm,200,669.99,669.97,0.02,655.29,14.68,False,,0.0,0.35,3.99,650.95,655.29,1
12,fetchdata,medium,warm,200,84.85,84.82,0.02,75.51,9.32,False,75.48,0.0,0.02,0.0,,75.51,1
13,linpack,medium,warm,200,658.99,658.97,0.02,642.26,16.72,False,,0.0,0.35,3.97,637.93,642.25,1
14,fastfouriertransform,small,warm,200,44.26,44.24,0.02,4.57,39.67,False,,0.0,3.8,0.0,0.76,4.57,1
15,matrixmul,medium,cold,200,1909.75,1904.2,5.55,510.21,1393.99,True,,0.0,0.37,4.1,505.73,510.2,1
16,genmatrix,small,warm,200,15.31,13.47,1.84,0.16,13.31,False,,0.0,0.04,,0.11,0.16,2
17,fetchdata,medium,warm,200,93.67,93.65,0.02,83.67,9.98,False,83.64,0.0,0.03,0.0,,83.67,1
