request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,2102.33,2102.31,0.02,6.78,2095.53,True,,0.0,3.99,0.01,2.77,6.78,1
1,genmatrix,small,cold,200,1572.28,1570.7,1.59,8.7,1562.0,True,,0.0,0.04,,8.65,8.7,2
2,fetchdata,small,cold,200,1997.56,1997.54,0.02,169.27,1828.27,True,169.23,0.0,0.03,0.0,,169.27,3
3,fastfouriertransform,large,cold,200,1513.63,1513.61,0.02,4.71,1508.9,False,,0.0,3.91,0.01,0.79,4.71,4
4,linpack,small,cold,200,1413.88,1413.86,0.02,5.38,1408.48,True,,0.0,0.4,4.11,0.86,5.38,5
5,linpack,medium,cold,200,1897.06,1897.04,0.02,676.67,1220.37,False,,0.0,0.4,4.64,671.63,676.67,6
6,fastfouriertransform,small,warm,200,919.53,919.51,0.02,4.84,914.67,False,,0.0,3.94,0.01,0.89,4.84,7
7,fastfouriertransform,small,warm,200,707.44,707.43,0.02,4.75,702.68,False,,0.0,3.85,0.01,0.89,4.75,8
8,fetchdata,large,warm,200,886.1,886.09,0.02,87.35,798.73,False,87.32,0.0,0.02,0.0,,87.35,9
9,linpack,small,cold,200,1108.96,1108.94,0.02,5.17,1103.77,False,,0.0,0.37,4.05,0.74,5.17,9
10,linpack,small,warm,200,902.45,902.43,0.02,5.34,897.1,False,,0.0,0.43,4.11,0.79,5.34,10
11,linpack,medium,cold,200,2040.44,2040.42,0.02,644.4,1396.01,False,,0.0,0.34,4.04,640.02,644.4,7
12,fetchdata,medium,warm,200,176.92,176.91,0.02,88.55,88.35,False,88.52,0.0,0.02,0.0,,88.55,6
13,linpack,medium,warm,200,994.24,994.22,0.02,683.45,310.77,False,,0.0,0.32,3.97,679.15,683.45,5
