function,status,duration_ms,upstream_ms
genmatrix,200,3363,3361
genmatrix,200,366,365
linpack,200,2816,2810
fastfouriertransform,200,3637,3633
fastfouriertransform,200,45,34
fastfouriertransform,200,842,837
fastfouriertransform,200,2232,2227
fastfouriertransform,200,3054,3050
fastfouriertransform,200,2447,2442
genmatrix,200,12,10
linpack,200,3298,3292
fetchdata,200,3907,3907
fetchdata,200,986,985
fastfouriertransform,200,13,9
fetchdata,200,2862,2862
fetchdata,200,2140,2140
linpack,200,2738,2732
genmatrix,200,38,30
fastfouriertransform,200,619,614
fastfouriertransform,200,410,406
linpack,200,2986,2981
linpack,200,3794,3788
linpack,200,3599,3593
fastfouriertransform,200,15,10
matrixmul,200,3002,2995
matrixmul,200,1418,1411
matrixmul,200,2227,2220
fetchdata,200,79,79
fastfouriertransform,200,14,9
linpack,200,2050,2044
genmatrix,200,11,10
genmatrix,200,5,4
linpack,200,1500,1496
linpack,200,1307,1302
genmatrix,200,10,9
fastfouriertransform,200,639,633
fetchdata,200,99,98
genmatrix,200,39,29
fastfouriertransform,200,13,8
fetchdata,200,81,80
fetchdata,200,81,81
genmatrix,200,58,46
linpack,200,13,9
matrixmul,200,549,543
genmatrix,200,6,6
fetchdata,200,88,88
genmatrix,200,14,11
genmatrix,200,7,6
fetchdata,200,88,88
genmatrix,200,7,6
genmatrix,200,7,6
matrixmul,200,544,537
matrixmul,200,354,348
fetchdata,200,88,88
linpack,200,14,7
genmatrix,200,54,42
genmatrix,200,6,6
fetchdata,200,88,87
linpack,200,692,686
matrixmul,200,20,12
linpack,200,653,648
fastfouriertransform,200,15,9
fetchdata,200,89,88
fetchdata,200,87,87
matrixmul,200,20,13
matrixmul,200,20,12
matrixmul,200,18,12
fastfouriertransform,200,609,605
genmatrix,200,54,44
fastfouriertransform,200,13,8
fastfouriertransform,200,14,8
genmatrix,200,7,6
genmatrix,200,13,12
fetchdata,200,91,90
linpack,200,695,690
fastfouriertransform,200,17,12
genmatrix,200,55,45
fetchdata,200,89,89
fastfouriertransform,200,18,13
genmatrix,200,57,44
linpack,200,13,8
fetchdata,200,89,89
genmatrix,200,7,6
linpack,200,19,13
fastfouriertransform,200,16,11
genmatrix,200,11,9
fastfouriertransform,200,16,11
genmatrix,200,11,9
fetchdata,200,89,89
fetchdata,200,91,91
fastfouriertransform,200,20,15
matrixmul,200,25,18
linpack,200,18,12
fetchdata,200,92,92
matrixmul,200,24,18
fetchdata,200,89,89
linpack,200,18,12
matrixmul,200,28,22
linpack,200,17,12
fetchdata,200,89,89
genmatrix,200,11,8
genmatrix,200,10,8
fastfouriertransform,200,16,12
fetchdata,200,89,89
genmatrix,200,6,5
linpack,200,679,674
linpack,200,14,10
fetchdata,200,86,86
fetchdata,200,89,89
fastfouriertransform,200,16,11
fastfouriertransform,200,16,11
fastfouriertransform,200,17,12
genmatrix,200,7,6
linpack,200,16,11
genmatrix,200,59,46
matrixmul,200,21,13
linpack,200,15,10
linpack,200,16,10
matrixmul,200,20,13
fetchdata,200,81,81
