function,status,duration_ms,upstream_ms
matrixmul,200,500,490
genmatrix,200,3745,3744
matrixmul,200,1261,1253
matrixmul,200,829,820
genmatrix,200,42,34
genmatrix,200,1521,1518
genmatrix,200,1127,1117
genmatrix,200,1423,1415
genmatrix,200,1580,1577
genmatrix,200,1274,1273
genmatrix,200,235,233
genmatrix,200,3093,3091
genmatrix,200,287,286
genmatrix,200,1689,1688
genmatrix,200,540,519
genmatrix,200,1060,1059
genmatrix,200,1873,1861
genmatrix,200,2134,2126
genmatrix,200,2232,2230
genmatrix,200,2338,2336
genmatrix,200,2288,2287
genmatrix,200,2722,2715
genmatrix,200,3027,3024
linpack,200,3856,3848
genmatrix,200,137,110
linpack,200,1376,1369
fetchdata,200,3981,3980
genmatrix,200,5,5
fetchdata,200,1515,1515
fastfouriertransform,200,4214,4203
fastfouriertransform,200,2789,2782
genmatrix,200,10,8
fetchdata,200,416,416
fetchdata,200,632,632
genmatrix,200,10,8
matrixmul,200,1865,1855
matrixmul,200,1176,1168
matrixmul,200,3436,3425
matrixmul,200,1048,1038
fetchdata,200,1269,1268
fetchdata,200,2245,2245
fetchdata,200,2176,2175
fetchdata,200,1557,1556
linpack,200,1888,1881
fetchdata,200,1788,1788
fetchdata,200,3972,3972
fastfouriertransform,200,3251,3244
fastfouriertransform,200,3311,3304
fastfouriertransform,200,2966,2957
fastfouriertransform,200,1820,1813
fastfouriertransform,200,1429,1422
fetchdata,200,3103,3103
matrixmul,200,4158,4148
matrixmul,200,3774,3765
fetchdata,200,4380,4379
genmatrix,200,46,8
genmatrix,200,10,8
fetchdata,200,3560,3560
fetchdata,200,4737,4736
fetchdata,200,3221,3220
genmatrix,200,5,4
fetchdata,200,3353,3352
fetchdata,200,1349,1348
linpack,200,2590,2583
linpack,200,1404,1399
matrixmul,200,3389,3380
matrixmul,200,918,903
matrixmul,200,775,765
fetchdata,200,1074,1074
matrixmul,200,640,635
fastfouriertransform,200,2264,2256
fastfouriertransform,200,1761,1753
fastfouriertransform,200,5373,5365
fastfouriertransform,200,5230,5222
fastfouriertransform,200,2030,2023
fastfouriertransform,200,4834,4826
fetchdata,200,1111,1110
fastfouriertransform,200,1361,1351
fastfouriertransform,200,1662,1659
fastfouriertransform,200,4655,4647
fastfouriertransform,200,5208,5200
genmatrix,200,21,20
fetchdata,200,993,993
fetchdata,200,969,969
genmatrix,200,36,29
matrixmul,200,22,16
fetchdata,200,847,847
linpack,200,20,11
linpack,200,18,8
fetchdata,200,681,681
matrixmul,200,29,11
fetchdata,200,607,607
fetchdata,200,637,637
fastfouriertransform,200,20,11
linpack,200,5508,5500
fetchdata,200,93,93
fastfouriertransform,200,5014,5006
fastfouriertransform,200,4971,4964
fastfouriertransform,200,5128,5120
fastfouriertransform,200,1950,1937
fastfouriertransform,200,1756,1748
fastfouriertransform,200,1111,1104
fastfouriertransform,200,13,8
fastfouriertransform,200,818,808
fastfouriertransform,200,760,750
fastfouriertransform,200,723,712
fastfouriertransform,200,13,9
genmatrix,200,6,5
matrixmul,200,552,538
fetchdata,200,85,85
fetchdata,200,82,82
genmatrix,200,10,8
linpack,200,6055,6047
fetchdata,200,83,83
fastfouriertransform,200,26,15
linpack,200,13,8
fastfouriertransform,200,21,13
fetchdata,200,84,84
matrixmul,200,957,946
fastfouriertransform,200,18,13
fetchdata,200,84,84
linpack,200,12,8
linpack,200,6034,6027
linpack,200,5988,5981
linpack,200,5243,5236
fetchdata,200,81,80
linpack,200,14,9
matrixmul,200,1445,1437
fetchdata,200,98,98
matrixmul,200,1410,1403
linpack,200,16,10
matrixmul,200,1070,1062
matrixmul,200,1034,1024
matrixmul,200,892,883
genmatrix,200,5,4
fastfouriertransform,200,18,12
matrixmul,200,19,14
linpack,200,14,9
fastfouriertransform,200,18,13
fastfouriertransform,200,23,17
fastfouriertransform,200,19,10
fastfouriertransform,200,20,10
linpack,200,7050,7042
fastfouriertransform,200,15,11
linpack,200,3974,3966
linpack,200,3536,3526
fetchdata,200,84,83
linpack,200,3338,3330
matrixmul,200,1181,1175
matrixmul,200,1042,1036
linpack,200,15,10
fetchdata,200,111,111
linpack,200,20,14
matrixmul,200,65,55
linpack,200,18,7
genmatrix,200,6,5
genmatrix,200,4,4
genmatrix,200,13,11
genmatrix,200,13,11
fetchdata,200,83,83
genmatrix,200,6,5
matrixmul,200,1509,1501
linpack,200,5217,5209
fastfouriertransform,200,14,9
linpack,200,14,8
fastfouriertransform,200,16,12
linpack,200,666,662
linpack,200,273,269
fetchdata,200,96,96
genmatrix,200,11,10
linpack,200,17,9
matrixmul,200,1989,1982
fetchdata,200,92,92
matrixmul,200,2905,2900
matrixmul,200,1964,1958
matrixmul,200,1878,1872
genmatrix,200,50,44
linpack,200,13,8
fastfouriertransform,200,22,11
linpack,200,9173,9165
linpack,200,8968,8961
linpack,200,8934,8926
linpack,200,3801,3796
genmatrix,200,5,4
linpack,200,4553,4539
fastfouriertransform,200,742,738
fastfouriertransform,200,19,12
linpack,200,12,7
linpack,200,657,653
genmatrix,200,11,9
linpack,200,13,8
genmatrix,200,6,5
genmatrix,200,48,42
fastfouriertransform,200,14,10
fastfouriertransform,200,17,13
genmatrix,200,6,6
genmatrix,200,6,6
linpack,200,5002,4996
linpack,200,4811,4804
fastfouriertransform,200,16,11
fastfouriertransform,200,12,7
linpack,200,922,918
matrixmul,200,525,519
matrixmul,200,235,230
fetchdata,200,89,89
linpack,200,12,7
matrixmul,200,521,515
matrixmul,200,279,272
fetchdata,200,81,81
genmatrix,200,13,11
fetchdata,200,89,89
fetchdata,200,83,83
fetchdata,200,95,95
linpack,200,14,9
fetchdata,200,93,93
matrixmul,200,20,14
fetchdata,200,81,81
fastfouriertransform,200,737,733
genmatrix,200,12,11
fetchdata,200,88,88
fetchdata,200,95,95
fetchdata,200,80,80
fastfouriertransform,200,675,669
fastfouriertransform,200,635,631
fetchdata,200,82,81
linpack,200,649,645
genmatrix,200,7,6
fetchdata,200,89,89
genmatrix,200,12,10
fetchdata,200,81,81
genmatrix,200,49,41
fastfouriertransform,200,15,11
genmatrix,200,6,6
fastfouriertransform,200,627,621
matrixmul,200,567,561
fastfouriertransform,200,15,10
fastfouriertransform,200,774,770
genmatrix,200,13,11
genmatrix,200,98,44
linpack,200,12,8
linpack,200,13,8
fastfouriertransform,200,681,676
genmatrix,200,7,6
linpack,200,652,648
matrixmul,200,20,12
linpack,200,654,650
linpack,200,14,9
matrixmul,200,20,13
fetchdata,200,88,88
linpack,200,653,649
genmatrix,200,45,39
genmatrix,200,44,38
fastfouriertransform,200,15,11
genmatrix,200,51,44
genmatrix,200,49,43
fastfouriertransform,200,630,625
matrixmul,200,24,18
genmatrix,200,45,38
matrixmul,200,19,13
fetchdata,200,86,86
linpack,200,1047,1042
matrixmul,200,19,14
fetchdata,200,97,96
matrixmul,200,21,15
genmatrix,200,5,5
matrixmul,200,560,549
matrixmul,200,23,14
linpack,200,13,8
genmatrix,200,10,8
matrixmul,200,22,16
fetchdata,200,93,93
fetchdata,200,90,90
linpack,200,15,10
linpack,200,651,647
fastfouriertransform,200,14,9
fastfouriertransform,200,645,641
genmatrix,200,5,4
fastfouriertransform,200,13,9
matrixmul,200,529,523
fetchdata,200,90,90
linpack,200,14,9
fetchdata,200,86,86
linpack,200,17,12
fastfouriertransform,200,650,646
fastfouriertransform,200,13,8
fetchdata,200,92,92
linpack,200,691,687
fetchdata,200,90,90
fastfouriertransform,200,16,12
matrixmul,200,526,520
matrixmul,200,388,381
matrixmul,200,18,13
fetchdata,200,95,94
matrixmul,200,18,13
matrixmul,200,534,522
matrixmul,200,349,342
linpack,200,17,12
matrixmul,200,19,12
fetchdata,200,94,94
genmatrix,200,6,5
linpack,200,673,668
genmatrix,200,38,29
matrixmul,200,22,16
matrixmul,200,20,14
fetchdata,200,96,96
genmatrix,200,6,4
genmatrix,200,10,8
linpack,200,654,649
genmatrix,200,35,29
fastfouriertransform,200,14,9
matrixmul,200,522,516
linpack,200,688,684
linpack,200,652,647
matrixmul,200,19,13
fetchdata,200,95,94
fetchdata,200,91,91
fetchdata,200,88,88
genmatrix,200,37,30
fastfouriertransform,200,14,10
linpack,200,14,9
fastfouriertransform,200,18,14
genmatrix,200,9,8
matrixmul,200,523,516
linpack,200,15,11
matrixmul,200,526,517
fetchdata,200,95,95
fetchdata,200,90,90
genmatrix,200,36,30
fetchdata,200,85,84
linpack,200,14,9
fetchdata,200,86,86
matrixmul,200,682,676
fastfouriertransform,200,672,667
linpack,200,19,14
matrixmul,200,933,925
matrixmul,200,298,292
matrixmul,200,664,657
fastfouriertransform,200,17,13
matrixmul,200,23,14
matrixmul,200,19,13
fastfouriertransform,200,649,644
genmatrix,200,9,8
fetchdata,200,89,89
matrixmul,200,854,847
matrixmul,200,513,507
linpack,200,14,10
genmatrix,200,5,5
fastfouriertransform,200,13,8
fastfouriertransform,200,14,9
matrixmul,200,526,521
fastfouriertransform,200,13,9
fetchdata,200,90,89
fastfouriertransform,200,694,690
fetchdata,200,92,92
fastfouriertransform,200,13,9
fetchdata,200,85,85
genmatrix,200,13,11
fastfouriertransform,200,610,606
fastfouriertransform,200,571,567
fetchdata,200,91,91
linpack,200,14,9
fetchdata,200,93,93
fastfouriertransform,200,15,12
matrixmul,200,896,890
genmatrix,200,7,6
linpack,200,14,9
genmatrix,200,51,43
linpack,200,15,10
fetchdata,200,95,94
fetchdata,200,89,89
genmatrix,200,53,44
linpack,200,23,14
linpack,200,14,8
matrixmul,200,1364,1356
genmatrix,200,41,35
matrixmul,200,18,11
genmatrix,200,7,5
linpack,200,17,10
matrixmul,200,524,517
genmatrix,200,7,6
genmatrix,200,51,44
matrixmul,200,20,14
fetchdata,200,94,94
linpack,200,14,9
fetchdata,200,89,89
genmatrix,200,51,44
matrixmul,200,526,519
genmatrix,200,7,6
matrixmul,200,21,16
fastfouriertransform,200,662,658
matrixmul,200,24,19
linpack,200,16,10
genmatrix,200,6,6
matrixmul,200,530,523
matrixmul,200,46,40
genmatrix,200,13,11
genmatrix,200,13,12
linpack,200,702,696
linpack,200,17,12
linpack,200,697,692
genmatrix,200,48,41
fastfouriertransform,200,14,10
fastfouriertransform,200,644,640
matrixmul,200,525,517
fetchdata,200,88,88
fetchdata,200,85,84
linpack,200,17,12
matrixmul,200,21,14
fastfouriertransform,200,649,644
fastfouriertransform,200,13,8
genmatrix,200,6,5
fetchdata,200,87,87
matrixmul,200,525,520
matrixmul,200,243,237
matrixmul,200,22,17
genmatrix,200,50,43
matrixmul,200,549,535
matrixmul,200,256,247
genmatrix,200,14,11
fetchdata,200,81,81
fastfouriertransform,200,17,13
fetchdata,200,93,93
linpack,200,14,9
linpack,200,654,650
fetchdata,200,82,82
fetchdata,200,84,84
linpack,200,14,10
linpack,200,682,677
matrixmul,200,528,522
fastfouriertransform,200,13,9
genmatrix,200,7,6
genmatrix,200,6,6
genmatrix,200,6,5
linpack,200,14,9
genmatrix,200,7,6
fastfouriertransform,200,15,10
genmatrix,200,50,44
matrixmul,200,544,532
linpack,200,1097,1091
fetchdata,200,81,81
matrixmul,200,23,17
fastfouriertransform,200,15,9
genmatrix,200,15,11
linpack,200,678,673
genmatrix,200,6,5
matrixmul,200,21,12
matrixmul,200,19,11
linpack,200,17,12
fastfouriertransform,200,12,7
genmatrix,200,6,6
fetchdata,200,81,81
matrixmul,200,534,526
fetchdata,200,82,82
linpack,200,17,12
linpack,200,14,9
fastfouriertransform,200,679,674
fastfouriertransform,200,645,640
genmatrix,200,48,41
linpack,200,15,11
fastfouriertransform,200,12,8
fastfouriertransform,200,15,10
fastfouriertransform,200,13,9
fetchdata,200,96,96
linpack,200,652,648
linpack,200,14,10
fetchdata,200,88,88
matrixmul,200,523,517
fetchdata,200,85,85
linpack,200,656,652
matrixmul,200,551,545
genmatrix,200,5,5
fetchdata,200,86,86
genmatrix,200,47,41
matrixmul,200,28,22
linpack,200,16,12
fetchdata,200,80,80
fastfouriertransform,200,16,11
fetchdata,200,86,86
matrixmul,200,526,519
fetchdata,200,82,82
fetchdata,200,80,80
fastfouriertransform,200,15,11
fetchdata,200,82,82
genmatrix,200,50,43
linpack,200,704,700
matrixmul,200,18,11
matrixmul,200,19,12
genmatrix,200,53,44
linpack,200,13,8
fastfouriertransform,200,17,13
genmatrix,200,48,42
genmatrix,200,5,4
fastfouriertransform,200,14,9
linpack,200,18,13
fastfouriertransform,200,14,9
matrixmul,200,552,543
genmatrix,200,51,43
fastfouriertransform,200,14,10
linpack,200,788,783
matrixmul,200,18,13
matrixmul,200,531,525
matrixmul,200,19,13
fetchdata,200,94,94
matrixmul,200,21,14
fastfouriertransform,200,763,758
genmatrix,200,51,44
fastfouriertransform,200,15,10
genmatrix,200,10,9
matrixmul,200,527,521
genmatrix,200,13,11
matrixmul,200,530,524
linpack,200,14,9
fetchdata,200,81,81
genmatrix,200,50,44
matrixmul,200,589,583
matrixmul,200,206,200
matrixmul,200,63,55
matrixmul,200,20,13
linpack,200,16,11
fetchdata,200,95,95
genmatrix,200,13,11
fastfouriertransform,200,610,605
fastfouriertransform,200,679,675
matrixmul,200,997,990
matrixmul,200,758,752
