index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,3916.47,3916.46,0.01,7.2,3909.27,True,,0.0,4.08,0.01,3.1,7.19,1
1,1,genmatrix,small,cold,200,3996.1,3996.09,0.0,7.38,3988.72,True,,0.0,0.02,,7.35,7.38,2
2,2,fetchdata,small,cold,200,4552.04,4552.03,0.0,126.82,4425.22,True,126.78,0.0,0.03,0.0,,126.81,3
3,3,fastfouriertransform,large,cold,200,5860.82,5860.81,0.01,4.71,5856.1,False,,0.0,3.93,0.0,0.78,4.71,4
4,4,linpack,small,cold,200,3764.16,3764.16,0.0,8.85,3755.3,True,,0.0,0.89,5.78,2.17,8.85,5
5,5,linpack,medium,cold,200,4394.29,4394.29,0.0,663.23,3731.06,False,,0.0,0.41,4.13,658.67,663.23,6
6,6,fastfouriertransform,small,cold,200,5715.36,5715.35,0.0,4.67,5710.68,False,,0.0,3.91,0.0,0.75,4.67,7
7,7,fastfouriertransform,small,cold,200,5616.07,5616.07,0.0,5.11,5610.95,False,,0.0,4.1,0.01,0.99,5.11,8
8,8,fetchdata,large,cold,200,5667.4,5667.4,0.0,77.95,5589.44,False,77.93,0.0,0.02,0.0,,77.95,9
9,9,linpack,small,cold,200,4201.12,4201.12,0.0,5.09,4196.02,False,,0.0,0.37,3.98,0.74,5.09,10
10,10,linpack,small,cold,200,4144.04,4144.04,0.0,5.18,4138.86,False,,0.0,0.4,4.02,0.76,5.18,11
11,11,linpack,medium,cold,200,4764.47,4764.46,0.01,651.34,4113.13,False,,0.0,0.35,3.96,647.02,651.34,12
12,12,fetchdata,medium,cold,200,4134.65,4134.64,0.0,76.65,4058.0,False,76.62,0.0,0.02,0.0,,76.65,13
13,13,linpack,medium,cold,200,5313.53,5313.52,0.01,659.46,4654.06,False,,0.0,0.37,4.03,655.05,659.46,14
14,14,fastfouriertransform,small,cold,200,3223.14,3223.13,0.01,4.97,3218.16,False,,0.0,4.03,0.01,0.92,4.97,15
15,15,matrixmul,medium,cold,200,4519.6,4510.62,8.98,513.23,3997.39,False,,0.0,0.33,4.09,508.81,513.23,16
16,16,genmatrix,small,cold,200,3381.47,3381.46,0.01,0.14,3381.32,False,,0.0,0.03,,0.1,0.14,17
17,17,fetchdata,medium,cold,200,3963.01,3963.0,0.0,75.8,3887.2,False,75.77,0.0,0.02,0.0,,75.8,18
18,18,fastfouriertransform,small,cold,200,3049.87,3049.86,0.0,4.91,3044.95,False,,0.0,3.99,0.01,0.91,4.91,19
19,19,matrixmul,small,cold,200,4908.93,4895.86,13.07,5.4,4890.47,False,,0.0,0.72,4.1,0.57,5.39,20
20,20,genmatrix,medium,cold,200,3376.71,3352.41,24.3,0.27,3352.14,False,,0.0,0.04,,0.23,0.27,21
21,21,linpack,medium,cold,200,8203.48,8203.47,0.0,642.45,7561.03,False,,0.0,0.37,3.96,638.11,642.44,22
22,22,fastfouriertransform,large,cold,200,2844.17,2844.17,0.0,4.87,2839.3,False,,0.0,3.95,0.01,0.9,4.86,23
23,23,matrixmul,large,cold,200,3093.6,3067.96,25.64,6.17,3061.79,False,,0.01,1.42,4.11,0.62,6.17,24
24,24,fastfouriertransform,medium,cold,200,3421.08,3421.08,0.0,665.26,2755.82,False,,0.0,3.99,0.01,661.25,665.26,25
25,25,fastfouriertransform,large,cold,200,2700.82,2700.82,0.0,5.0,2695.82,False,,0.0,4.04,0.01,0.95,5.0,26
26,26,genmatrix,large,cold,200,3103.51,3037.68,65.84,1.0,3036.68,False,,0.0,0.03,,0.96,1.0,27
27,27,linpack,medium,cold,200,6588.35,6588.35,0.0,648.13,5940.22,False,,0.0,0.37,3.98,643.77,648.13,28
28,28,linpack,small,cold,200,4577.55,4577.54,0.0,5.28,4572.26,False,,0.0,0.38,4.07,0.82,5.28,29
29,29,fastfouriertransform,small,cold,200,4526.28,4526.27,0.0,4.87,4521.41,False,,0.0,3.99,0.0,0.87,4.86,30
30,30,fetchdata,medium,cold,200,3383.11,3383.11,0.0,75.91,3307.2,False,75.87,0.0,0.02,0.0,,75.91,31
31,31,fastfouriertransform,small,cold,200,3078.32,3078.32,0.01,4.7,3073.61,False,,0.0,3.92,0.0,0.78,4.7,32
32,32,fastfouriertransform,medium,cold,200,3688.11,3688.11,0.0,646.1,3042.01,False,,0.0,3.9,0.0,642.19,646.09,33
33,33,genmatrix,medium,cold,200,2646.69,2621.71,24.98,0.22,2621.48,False,,0.0,0.03,,0.19,0.22,34
34,34,genmatrix,small,cold,200,2558.43,2558.42,0.01,0.12,2558.31,False,,0.0,0.02,,0.09,0.12,35
35,35,genmatrix,medium,cold,200,2501.26,2501.26,0.0,0.24,2501.02,False,,0.0,0.03,,0.21,0.24,36
36,36,fetchdata,large,cold,200,3163.2,3163.19,0.0,76.21,3086.98,False,76.18,0.0,0.02,0.0,,76.21,37
37,37,genmatrix,large,cold,200,2476.77,2398.53,78.25,1.04,2397.49,False,,0.0,0.04,,0.99,1.04,38
38,38,fastfouriertransform,large,cold,200,2738.71,2738.71,0.01,4.64,2734.07,False,,0.0,3.87,0.0,0.77,4.64,39
39,39,fetchdata,large,cold,200,3101.47,3101.46,0.0,82.95,3018.51,False,82.91,0.0,0.03,0.0,,82.95,40
40,40,fetchdata,small,cold,200,3125.95,3125.95,0.0,75.52,3050.42,False,75.49,0.0,0.03,0.0,,75.52,41
41,41,matrixmul,medium,cold,200,2689.78,2681.03,8.76,522.95,2158.07,False,,0.0,0.79,4.09,518.07,522.95,42
42,42,genmatrix,large,cold,200,2181.49,2123.52,57.97,1.07,2122.45,False,,0.0,0.1,,0.96,1.07,43
43,43,linpack,small,cold,200,3829.23,3829.23,0.0,5.17,3824.06,False,,0.0,0.34,4.05,0.77,5.17,44
44,44,genmatrix,small,cold,200,2050.24,2050.24,0.01,0.15,2050.09,False,,0.0,0.03,,0.11,0.15,45
