index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,2127.97,2127.96,0.0,10.14,2117.83,True,,0.0,7.85,0.01,2.28,10.13,1
1,1,genmatrix,small,cold,200,1734.95,1734.94,0.01,10.06,1724.89,True,,0.0,0.03,,10.01,10.05,2
2,2,fetchdata,small,cold,200,1645.32,1645.31,0.01,129.63,1515.68,True,129.59,0.0,0.03,0.0,,129.63,3
3,3,fastfouriertransform,large,cold,200,3316.34,3316.33,0.0,4.83,3311.5,False,,0.0,3.95,0.01,0.87,4.83,4
4,4,linpack,small,cold,200,1446.34,1446.34,0.01,8.16,1438.17,True,,0.0,0.38,6.77,1.0,8.16,5
5,5,linpack,medium,cold,200,4663.38,4663.38,0.0,653.92,4009.46,False,,0.0,0.33,3.98,649.61,653.92,6
6,6,fastfouriertransform,small,cold,200,1846.32,1846.32,0.01,4.65,1841.67,False,,0.0,3.87,0.0,0.76,4.65,7
7,7,fastfouriertransform,small,cold,200,1805.06,1805.06,0.01,4.66,1800.4,False,,0.0,3.91,0.0,0.74,4.66,8
8,8,fetchdata,large,cold,200,1591.96,1591.95,0.01,76.12,1515.83,False,76.09,0.0,0.02,0.0,,76.12,9
9,9,linpack,small,cold,200,4468.56,4468.56,0.0,5.03,4463.53,False,,0.0,0.35,3.96,0.71,5.03,10
10,10,linpack,small,cold,200,1160.2,1160.19,0.01,5.12,1155.07,False,,0.0,0.36,4.01,0.75,5.12,11
11,11,linpack,medium,cold,200,1762.4,1762.39,0.0,654.26,1108.13,False,,0.0,0.33,4.02,649.91,654.26,12
12,12,fetchdata,medium,cold,200,1449.85,1449.84,0.0,75.96,1373.88,False,75.93,0.0,0.02,0.0,,75.96,13
