index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,1690.26,1690.25,0.01,6.52,1683.73,True,,0.0,4.01,0.01,2.49,6.52,1
1,1,genmatrix,small,cold,200,1792.15,1792.15,0.01,7.79,1784.36,True,,0.0,0.04,,7.74,7.78,2
2,2,fetchdata,small,cold,200,2007.16,2007.16,0.0,126.78,1880.38,True,126.74,0.0,0.03,0.0,,126.78,3
3,3,fastfouriertransform,large,cold,200,2859.8,2859.79,0.0,4.55,2855.24,False,,0.0,3.86,0.0,0.69,4.55,4
4,4,linpack,small,cold,200,1672.73,1672.72,0.01,5.78,1666.95,True,,0.0,0.43,4.33,1.01,5.77,5
5,5,linpack,medium,cold,200,4928.82,4928.81,0.01,645.53,4283.28,False,,0.0,0.4,3.95,641.18,645.53,6
6,6,fastfouriertransform,small,cold,200,1418.54,1418.53,0.01,4.97,1413.56,False,,0.0,3.98,0.01,0.98,4.97,7
7,7,fastfouriertransform,small,cold,200,2004.38,2004.37,0.01,4.65,1999.72,False,,0.0,3.9,0.0,0.74,4.65,8
8,8,fetchdata,large,cold,200,2096.36,2096.35,0.0,78.04,2018.31,False,78.01,0.0,0.02,0.0,,78.04,9
9,9,linpack,small,cold,200,4086.06,4086.05,0.0,5.17,4080.88,False,,0.0,0.46,3.99,0.72,5.17,10
10,10,linpack,small,cold,200,1404.3,1404.28,0.03,5.45,1398.83,False,,0.0,0.41,4.12,0.9,5.44,11
11,11,linpack,medium,cold,200,2015.72,2015.72,0.0,672.17,1343.54,False,,0.0,0.49,4.1,667.58,672.17,12
12,12,fetchdata,medium,cold,200,1738.64,1738.64,0.0,76.11,1662.53,False,76.08,0.0,0.02,0.0,,76.11,13
13,13,linpack,medium,cold,200,2575.82,2575.82,0.01,657.66,1918.16,False,,0.0,0.46,3.97,653.23,657.66,14
14,14,fastfouriertransform,small,warm,200,1003.06,1003.06,0.01,4.94,998.11,False,,0.0,4.08,0.01,0.85,4.94,15
15,15,matrixmul,medium,cold,200,2510.26,2494.55,15.71,514.28,1980.27,True,,0.0,0.41,4.11,509.75,514.28,16
16,16,genmatrix,small,cold,200,1102.39,1102.39,0.0,0.11,1102.28,False,,0.0,0.03,,0.08,0.11,17
17,17,fetchdata,medium,cold,200,1410.46,1410.46,0.0,76.66,1333.8,False,76.63,0.0,0.02,0.0,,76.66,18
18,18,fastfouriertransform,small,warm,200,826.0,826.0,0.0,4.63,821.37,False,,0.0,3.87,0.0,0.75,4.63,19
19,19,matrixmul,small,cold,200,3405.43,3400.68,4.75,4.9,3395.79,False,,0.0,0.37,3.96,0.56,4.9,20
20,20,genmatrix,medium,warm,200,911.82,896.78,15.03,0.22,896.56,False,,0.0,0.03,,0.19,0.22,21
21,21,linpack,medium,cold,200,2838.98,2838.98,0.01,653.9,2185.08,False,,0.0,0.44,3.98,649.48,653.9,22
22,22,fastfouriertransform,large,warm,200,608.34,608.34,0.0,4.84,603.5,False,,0.0,3.99,0.01,0.83,4.84,23
23,23,matrixmul,large,cold,200,3194.78,3183.42,11.37,4.94,3178.48,False,,0.0,0.41,3.96,0.56,4.94,24
24,24,fastfouriertransform,medium,warm,200,1139.71,1139.71,0.0,615.71,524.0,False,,0.0,3.86,0.0,611.83,615.71,25
25,25,fastfouriertransform,large,cold,200,1095.03,1095.03,0.0,4.55,1090.47,False,,0.0,3.85,0.0,0.7,4.55,26
26,26,genmatrix,large,warm,200,633.96,578.37,55.59,0.96,577.4,False,,0.0,0.03,,0.93,0.96,27
27,27,linpack,medium,cold,200,3179.22,3179.22,0.0,645.76,2533.46,False,,0.0,0.53,4.31,640.91,645.76,28
