timestamp,pod,scheduling_time_ms
I0521 07:33:08.947567,default/resnet-00001-deployment-5697b6d685-c8rbz,8.590135
I0521 07:33:08.947762,default/mobilenet-00001-deployment-84db65c7f9-cbff5,6.513259
I0521 08:11:03.374064,default/mobilenet-00001-deployment-84db65c7f9-62p4t,3.929886
I0521 08:11:04.364365,default/resnet-00001-deployment-5697b6d685-8cx6z,4.983553
I0521 08:53:45.745092,default/mobilenet-00001-deployment-84db65c7f9-2nb6f,5.679209
I0521 08:53:46.434070,default/resnet-00001-deployment-5697b6d685-q4954,6.696702
I0521 09:33:53.115538,default/mobilenet-00001-deployment-84db65c7f9-ccz64,5.205981
I0521 09:33:54.090327,default/resnet-00001-deployment-5697b6d685-vrbqb,5.329055
I0521 10:16:30.748426,default/mobilenet-00001-deployment-84db65c7f9-kkvk2,4.490867
I0521 10:16:31.721977,default/resnet-00001-deployment-5697b6d685-twgqw,5.811587
