request_id,function,size,type,status,latency_ms,ttfb_ms,execution_time_ms,system_overhead_ms,in_flight
0,mobilenet,small,cold,200,1832.2,1832.16,41.19,1790.97,1
1,resnet,small,cold,200,1831.6,1831.59,216.08,1615.51,2
2,mobilenet,small,cold,200,1548.59,1548.58,18.95,1529.63,3
3,mobilenet,large,cold,200,1367.37,1367.36,17.46,1349.9,4
4,mobilenet,large,cold,200,1085.33,1085.32,25.84,1059.48,5
5,resnet,small,cold,200,1157.15,1157.13,122.13,1035.01,6
6,mobilenet,small,warm,200,710.07,710.05,22.59,687.45,7
7,mobilenet,small,warm,200,460.12,460.11,24.73,435.38,8
8,mobilenet,large,warm,200,328.59,328.57,18.27,310.3,9
9,mobilenet,large,warm,200,186.13,186.12,17.81,168.32,10
10,resnet,small,warm,200,279.54,279.52,121.91,157.6,3
11,resnet,large,warm,200,200.83,200.81,120.34,80.47,2
12,resnet,small,warm,200,141.34,141.32,132.71,8.61,1
13,mobilenet,large,warm,200,26.68,26.64,18.32,8.32,1
14,resnet,medium,warm,200,129.48,129.46,120.98,8.49,1
15,resnet,small,warm,200,132.22,132.19,121.99,10.21,1
16,mobilenet,medium,warm,200,25.89,25.87,17.62,8.25,1
17,mobilenet,small,warm,200,29.5,29.48,17.67,11.81,1
18,resnet,small,warm,200,268.06,268.04,251.05,16.99,1
19,resnet,medium,warm,200,335.37,335.35,270.27,65.09,2
20,resnet,small,warm,200,379.85,379.83,243.49,136.33,2
21,resnet,large,warm,200,428.72,428.7,247.53,181.17,2
22,mobilenet,medium,warm,200,30.6,30.58,17.91,12.68,2
23,mobilenet,large,warm,200,26.86,26.83,17.79,9.04,2
24,resnet,large,warm,200,130.21,130.19,120.33,9.86,1
25,resnet,large,warm,200,132.6,132.58,123.3,9.29,1
26,mobilenet,large,warm,200,30.59,30.57,21.43,9.13,1
27,mobilenet,small,warm,200,53.37,53.35,40.08,13.27,1
28,mobilenet,medium,warm,200,27.57,27.55,17.89,9.66,1
29,mobilenet,small,warm,200,27.72,27.7,17.62,10.08,1
30,mobilenet,medium,warm,200,151.26,151.23,23.0,128.24,1
31,resnet,medium,warm,200,133.08,133.06,119.9,13.16,1
32,resnet,small,warm,200,133.32,133.3,122.91,10.39,1
33,resnet,medium,warm,200,133.18,133.16,120.4,12.76,1
34,mobilenet,large,warm,200,33.53,33.5,23.37,10.13,1
35,resnet,large,warm,200,134.42,134.4,123.9,10.5,1
36,mobilenet,large,warm,200,38.8,38.78,26.05,12.73,1
37,mobilenet,large,warm,200,34.32,34.3,23.06,11.24,1
38,mobilenet,small,warm,200,39.56,39.54,23.39,16.15,1
39,resnet,medium,warm,200,131.27,131.25,120.22,11.02,1
40,resnet,large,warm,200,131.19,131.17,121.13,10.05,1
41,mobilenet,large,warm,200,33.05,33.03,23.27,9.76,1
42,resnet,small,warm,200,132.62,132.6,121.88,10.72,1
43,mobilenet,small,warm,200,39.11,39.09,28.53,10.57,1
44,resnet,medium,warm,200,132.16,132.14,121.63,10.5,1
45,resnet,small,warm,200,132.39,132.37,122.33,10.03,1
46,mobilenet,large,warm,200,75.6,75.58,64.84,10.74,1
47,resnet,small,warm,200,132.11,132.09,121.95,10.13,1
48,resnet,medium,warm,200,132.09,132.07,121.73,10.34,1
49,resnet,small,warm,200,132.18,132.16,122.34,9.82,1
50,resnet,small,warm,200,130.52,130.5,120.98,9.53,1
51,mobilenet,large,warm,200,35.17,35.15,22.99,12.15,1
52,resnet,large,warm,200,131.63,131.61,121.6,10.01,1
53,resnet,large,warm,200,131.17,131.15,120.91,10.23,1
54,resnet,medium,warm,200,138.62,138.6,129.17,9.43,1
55,mobilenet,small,warm,200,35.62,35.6,23.14,12.46,1
56,resnet,small,warm,200,152.17,152.15,143.5,8.64,1
57,mobilenet,small,warm,200,32.83,32.81,22.82,9.99,1
58,mobilenet,large,warm,200,34.39,34.37,22.77,11.59,1
59,mobilenet,large,warm,200,230.09,230.07,22.83,207.24,1
60,resnet,large,warm,200,130.98,130.96,121.28,9.68,2
61,mobilenet,medium,warm,200,35.72,35.69,22.86,12.83,1
62,resnet,large,warm,200,132.76,132.74,122.65,10.09,1
63,resnet,large,warm,200,131.9,131.88,120.63,11.25,1
64,resnet,large,warm,200,133.87,133.85,122.66,11.18,1
65,mobilenet,large,warm,200,233.35,233.33,25.67,207.66,1
66,mobilenet,large,warm,200,57.85,57.83,22.8,35.04,2
67,resnet,large,warm,200,132.53,132.5,122.47,10.03,1
68,resnet,small,warm,200,131.12,131.1,120.41,10.69,1
69,resnet,medium,warm,200,131.85,131.83,120.88,10.94,1
70,mobilenet,medium,warm,200,28.55,28.53,17.57,10.96,1
71,mobilenet,large,warm,200,30.76,30.74,17.53,13.21,1
72,resnet,large,warm,200,137.5,137.48,126.52,10.96,1
73,mobilenet,large,warm,200,31.53,31.51,17.44,14.07,1
74,mobilenet,large,warm,200,30.33,30.3,17.54,12.76,1
75,resnet,large,warm,200,131.5,131.48,122.91,8.57,1
76,mobilenet,small,warm,200,26.1,26.08,17.67,8.41,1
77,resnet,small,warm,200,132.57,132.55,121.61,10.93,1
78,mobilenet,large,warm,200,27.33,27.31,17.47,9.84,1
79,resnet,medium,warm,200,129.85,129.83,120.27,9.56,1
80,mobilenet,small,warm,200,31.46,31.44,17.69,13.75,1
81,resnet,medium,warm,200,130.96,130.94,122.4,8.55,1
82,mobilenet,small,warm,200,27.07,27.05,17.43,9.62,1
83,mobilenet,large,warm,200,30.11,30.09,17.67,12.42,1
84,mobilenet,small,warm,200,30.42,30.4,18.21,12.19,1
85,resnet,small,warm,200,223.02,223.0,213.52,9.48,1
86,mobilenet,small,warm,200,31.2,31.2,21.81,9.39,2
87,resnet,large,warm,200,131.57,131.55,121.89,9.65,1
88,mobilenet,medium,warm,200,34.73,34.71,23.57,11.13,1
89,resnet,small,warm,200,131.28,131.25,120.69,10.57,1
90,mobilenet,large,warm,200,28.74,28.72,19.11,9.61,1
91,resnet,medium,warm,200,128.78,128.77,120.61,8.16,1
92,resnet,medium,warm,200,131.18,131.16,121.91,9.25,1
93,resnet,small,warm,200,131.0,130.93,121.97,8.96,1
94,mobilenet,small,warm,200,33.24,33.18,23.15,10.03,1
95,mobilenet,medium,warm,200,32.92,32.9,22.86,10.04,1
96,mobilenet,large,warm,200,39.19,39.17,26.74,12.43,1
97,mobilenet,large,warm,200,34.11,34.09,23.64,10.45,1
98,mobilenet,small,warm,200,33.44,33.42,23.62,9.81,1
99,mobilenet,large,warm,200,33.69,33.66,23.16,10.5,1
100,mobilenet,small,warm,200,32.64,32.62,22.84,9.78,1
101,mobilenet,small,warm,200,33.7,33.68,23.34,10.33,1
102,resnet,small,warm,200,134.33,134.31,124.7,9.61,1
103,mobilenet,medium,warm,200,33.1,33.08,22.63,10.44,1
104,resnet,small,warm,200,131.88,131.86,122.01,9.85,1
105,mobilenet,large,warm,200,37.37,37.35,22.98,14.37,1
106,resnet,small,warm,200,129.63,129.61,120.17,9.44,1
107,resnet,medium,warm,200,132.15,132.13,120.58,11.56,1
108,mobilenet,small,warm,200,33.04,33.02,22.69,10.33,1
109,mobilenet,large,warm,200,32.39,32.33,23.16,9.17,1
110,resnet,medium,warm,200,158.52,158.49,148.07,10.42,1
111,resnet,medium,warm,200,301.48,301.46,130.72,170.74,1
112,resnet,large,warm,200,223.96,223.94,121.2,102.74,2
113,mobilenet,large,warm,200,34.63,34.61,22.69,11.92,2
114,mobilenet,small,warm,200,32.31,32.28,22.79,9.49,1
115,resnet,large,warm,200,133.21,133.19,123.74,9.45,1
116,resnet,small,warm,200,129.76,129.74,120.46,9.28,1
117,mobilenet,small,warm,200,33.52,33.5,23.14,10.36,1
118,mobilenet,large,warm,200,32.02,32.0,22.4,9.6,1
119,resnet,small,warm,200,132.97,132.95,120.19,12.76,1
120,resnet,small,warm,200,130.71,130.69,121.26,9.43,1
121,resnet,medium,warm,200,133.54,133.51,120.16,13.35,1
122,mobilenet,small,warm,200,35.07,35.05,23.37,11.68,1
