function,status,duration_ms,upstream_ms
mobilenet,200,2499,2497
mobilenet,200,1118,1116
mobilenet,200,937,935
mobilenet,200,755,753
mobilenet,200,1375,1373
mobilenet,200,2193,2191
mobilenet,200,1819,1818
mobilenet,200,2038,2037
mobilenet,200,64,62
mobilenet,200,77,75
resnet,200,3101,3098
mobilenet,200,22,20
resnet,200,439,436
resnet,200,1360,1358
resnet,200,886,884
resnet,200,2806,2804
resnet,200,1529,1527
resnet,200,2049,2047
resnet,200,578,576
resnet,200,501,500
mobilenet,200,22,20
resnet,200,423,422
resnet,200,346,344
mobilenet,200,22,21
resnet,200,130,128
resnet,200,145,144
mobilenet,200,22,20
mobilenet,200,28,26
mobilenet,200,22,20
mobilenet,200,22,20
mobilenet,200,60,58
resnet,200,123,122
resnet,200,125,123
resnet,200,126,124
mobilenet,200,22,21
resnet,200,126,124
mobilenet,200,27,26
mobilenet,200,32,30
mobilenet,200,29,27
resnet,200,362,360
resnet,200,283,280
mobilenet,200,123,121
resnet,200,126,124
mobilenet,200,31,29
resnet,200,130,128
resnet,200,125,123
mobilenet,200,33,32
resnet,200,124,122
resnet,200,127,125
resnet,200,126,124
resnet,200,128,126
mobilenet,200,31,29
resnet,200,354,351
resnet,200,274,271
resnet,200,195,193
mobilenet,200,33,31
resnet,200,129,127
mobilenet,200,40,38
mobilenet,200,30,28
mobilenet,200,31,29
resnet,200,143,141
mobilenet,200,28,26
resnet,200,191,189
resnet,200,131,130
mobilenet,200,32,29
resnet,200,324,322
mobilenet,200,28,26
resnet,200,126,123
resnet,200,131,128
resnet,200,127,126
mobilenet,200,32,30
mobilenet,200,27,25
resnet,200,127,126
mobilenet,200,28,26
mobilenet,200,32,30
resnet,200,127,125
mobilenet,200,33,31
resnet,200,124,122
mobilenet,200,27,25
resnet,200,150,148
mobilenet,200,42,40
resnet,200,124,123
mobilenet,200,23,21
mobilenet,200,22,20
mobilenet,200,22,20
resnet,200,124,122
mobilenet,200,22,21
resnet,200,124,122
mobilenet,200,21,20
resnet,200,135,133
mobilenet,200,23,21
resnet,200,128,126
resnet,200,126,123
resnet,200,125,123
