index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
0,0,mobilenet,small,cold,200,3560.75,3560.74,0.0,42.01,3518.73,1
1,1,resnet,small,cold,200,3701.78,3701.78,0.0,141.7,3560.07,2
2,2,mobilenet,small,cold,200,4044.5,4044.5,0.01,20.36,4024.14,3
3,3,mobilenet,large,cold,200,3957.26,3957.25,0.01,17.44,3939.81,4
4,4,mobilenet,large,cold,200,3805.9,3805.89,0.0,17.42,3788.48,5
5,5,resnet,small,cold,200,4881.9,4881.89,0.0,132.39,4749.51,6
6,6,mobilenet,small,cold,200,3744.98,3744.98,0.01,17.58,3727.4,7
7,7,mobilenet,small,cold,200,3619.26,3619.25,0.01,17.29,3601.96,8
8,8,mobilenet,large,cold,200,3584.83,3584.82,0.01,18.21,3566.61,9
9,9,mobilenet,large,cold,200,3174.6,3174.6,0.0,18.51,3156.08,10
10,10,resnet,small,cold,200,4887.81,4887.81,0.0,120.36,4767.45,11
11,11,resnet,large,cold,200,5187.5,5187.5,0.0,172.34,5015.16,12
12,12,resnet,small,cold,200,4962.58,4962.57,0.0,172.39,4790.18,13
13,13,mobilenet,large,cold,200,2974.9,2974.9,0.0,18.54,2956.35,14
14,14,resnet,medium,cold,200,5163.31,5163.31,0.01,125.82,5037.49,15
15,15,resnet,small,cold,200,7688.08,7688.07,0.01,179.24,7508.83,16
16,16,mobilenet,medium,cold,200,2790.54,2790.54,0.0,19.0,2771.54,17
17,17,mobilenet,small,cold,200,2800.29,2800.29,0.0,17.74,2782.55,18
18,18,resnet,small,cold,200,5088.16,5088.15,0.01,124.23,4963.93,19
19,19,resnet,medium,cold,200,7649.02,7649.02,0.0,164.93,7484.09,20
20,20,resnet,small,cold,200,7126.89,7126.89,0.0,126.41,7000.48,21
21,21,resnet,large,cold,200,6954.67,6954.66,0.0,122.25,6832.41,22
22,22,mobilenet,medium,cold,200,2571.96,2571.95,0.01,18.8,2553.15,23
23,23,mobilenet,large,cold,200,2704.53,2704.53,0.0,17.84,2686.69,24
24,24,resnet,large,cold,200,6675.59,6675.59,0.0,121.36,6554.23,25
25,25,resnet,large,cold,200,7759.51,7759.5,0.0,154.32,7605.18,26
26,26,mobilenet,large,cold,200,2388.2,2388.19,0.01,17.89,2370.3,27
27,27,mobilenet,small,cold,200,2449.21,2449.2,0.01,17.41,2431.79,28
28,28,mobilenet,medium,cold,200,2388.78,2388.77,0.01,17.97,2370.81,29
29,29,mobilenet,small,cold,200,2263.06,2263.06,0.01,17.89,2245.17,30
30,30,mobilenet,medium,cold,200,2247.47,2247.46,0.0,17.47,2229.99,31
31,31,resnet,medium,cold,200,7178.39,7178.39,0.0,129.79,7048.6,32
32,32,resnet,small,cold,200,7256.56,7256.56,0.01,126.49,7130.06,33
33,33,resnet,medium,cold,200,5042.75,5042.74,0.01,179.12,4863.62,34
34,34,mobilenet,large,cold,200,2023.46,2023.45,0.01,17.97,2005.48,35
35,35,resnet,large,cold,200,5082.62,5082.62,0.0,139.65,4942.96,36
36,36,mobilenet,large,cold,200,1958.4,1958.39,0.01,17.34,1941.05,37
37,37,mobilenet,large,cold,200,1986.67,1986.67,0.0,18.11,1968.56,38
38,38,mobilenet,small,cold,200,1913.39,1913.38,0.01,17.53,1895.86,39
39,39,resnet,medium,cold,200,5134.94,5134.94,0.01,125.97,5008.96,40
40,40,resnet,large,cold,200,4512.54,4512.53,0.0,145.27,4367.26,41
41,41,mobilenet,large,cold,200,1880.11,1880.1,0.0,18.09,1862.02,42
42,42,resnet,small,cold,200,4132.11,4132.11,0.0,120.53,4011.58,43
43,43,mobilenet,small,cold,200,1722.47,1722.46,0.01,17.97,1704.49,44
44,44,resnet,medium,cold,200,5425.98,5425.97,0.0,182.35,5243.62,45
45,45,resnet,small,cold,200,5179.96,5179.95,0.01,170.08,5009.87,46
46,46,mobilenet,large,cold,200,1607.24,1607.23,0.01,17.7,1589.53,47
47,47,resnet,small,cold,200,5406.32,5406.31,0.0,136.54,5269.77,48
48,48,resnet,medium,cold,200,4563.89,4563.88,0.0,126.57,4437.32,49
49,49,resnet,small,cold,200,3925.64,3925.63,0.01,131.02,3794.61,50
50,50,resnet,small,cold,200,2771.71,2771.7,0.0,133.07,2638.63,51
51,51,mobilenet,large,cold,200,1612.79,1612.78,0.01,17.7,1595.08,52
52,52,resnet,large,cold,200,5650.8,5650.8,0.0,123.16,5527.64,53
53,53,resnet,large,cold,200,1222.88,1222.88,0.0,121.5,1101.37,54
54,54,resnet,medium,cold,200,1427.64,1427.63,0.01,128.14,1299.49,55
55,55,mobilenet,small,cold,200,1434.68,1434.67,0.01,22.67,1412.0,56
56,56,resnet,small,cold,200,1195.98,1195.98,0.01,120.25,1075.73,57
57,57,mobilenet,small,cold,200,1271.12,1271.12,0.01,19.78,1251.34,58
58,58,mobilenet,large,cold,200,1048.93,1048.92,0.01,17.57,1031.36,59
59,59,mobilenet,large,warm,200,942.11,942.1,0.01,17.38,924.72,60
60,60,resnet,large,cold,200,1254.02,1254.02,0.0,125.47,1128.55,61
61,61,mobilenet,medium,warm,200,1014.99,1014.99,0.01,17.55,997.44,62
62,62,resnet,large,cold,200,1308.06,1308.06,0.0,151.2,1156.86,63
63,63,resnet,large,cold,200,4113.56,4113.55,0.0,169.95,3943.6,64
64,64,resnet,large,cold,200,1342.77,1342.77,0.0,137.18,1205.58,65
65,65,mobilenet,large,warm,200,779.87,779.86,0.01,20.07,759.79,66
66,66,mobilenet,large,warm,200,788.58,788.57,0.01,18.21,770.36,67
67,67,resnet,large,cold,200,1653.58,1653.58,0.0,200.59,1452.99,68
68,68,resnet,small,cold,200,1401.26,1401.26,0.01,131.09,1270.16,69
69,69,resnet,medium,cold,200,1217.2,1217.2,0.0,122.69,1094.51,70
70,70,mobilenet,medium,warm,200,706.38,706.37,0.01,17.86,688.51,71
71,71,mobilenet,large,warm,200,677.96,677.95,0.01,18.24,659.71,72
72,72,resnet,large,cold,200,2514.32,2514.32,0.0,127.24,2387.08,71
73,73,mobilenet,large,warm,200,592.67,592.67,0.01,17.77,574.9,69
74,74,mobilenet,large,warm,200,566.35,566.35,0.0,17.34,549.01,68
75,75,resnet,large,cold,200,5448.2,5448.19,0.0,187.74,5260.45,65
76,76,mobilenet,small,warm,200,477.89,477.89,0.01,17.86,460.03,63
77,77,resnet,small,cold,200,6417.72,6417.72,0.01,122.36,6295.36,62
