index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
0,0,mobilenet,small,cold,200,2312.19,2312.18,0.01,34.08,2278.1,1
1,1,resnet,small,cold,200,2309.65,2309.64,0.0,177.85,2131.79,2
2,2,mobilenet,small,cold,200,2392.51,2392.5,0.0,17.37,2375.13,3
3,3,mobilenet,large,cold,200,2275.01,2275.01,0.0,17.67,2257.34,4
4,4,mobilenet,large,cold,200,2157.06,2157.05,0.0,17.49,2139.56,5
5,5,resnet,small,cold,200,2453.5,2453.5,0.0,119.88,2333.62,6
6,6,mobilenet,small,cold,200,1930.57,1930.56,0.0,18.34,1912.22,7
7,7,mobilenet,small,cold,200,1772.76,1772.75,0.01,17.41,1755.34,8
8,8,mobilenet,large,cold,200,1656.36,1656.35,0.01,19.77,1636.58,9
9,9,mobilenet,large,cold,200,1535.33,1535.32,0.0,40.77,1494.56,10
10,10,resnet,small,cold,200,2084.98,2084.98,0.0,125.97,1959.01,11
11,11,resnet,large,cold,200,2115.33,2115.32,0.0,127.04,1988.28,12
12,12,resnet,small,cold,200,2169.85,2169.84,0.0,160.51,2009.34,13
13,13,mobilenet,large,cold,200,1088.96,1088.95,0.01,32.23,1056.72,14
14,14,resnet,medium,cold,200,2183.11,2183.11,0.0,204.44,1978.67,15
15,15,resnet,small,cold,200,2223.18,2223.17,0.01,143.39,2079.78,16
16,16,mobilenet,medium,warm,200,917.91,917.9,0.01,17.97,899.93,17
17,17,mobilenet,small,warm,200,797.87,797.86,0.0,17.5,780.36,18
18,18,resnet,small,warm,200,1037.84,1037.84,0.0,138.92,898.92,19
19,19,resnet,medium,cold,200,1945.5,1945.5,0.0,120.54,1824.96,20
20,20,resnet,small,warm,200,572.74,572.74,0.0,162.35,410.39,21
21,21,resnet,large,warm,200,595.19,595.19,0.0,122.11,473.08,22
22,22,mobilenet,medium,warm,200,159.94,159.93,0.01,37.51,122.43,23
23,23,mobilenet,large,warm,200,314.65,314.64,0.01,17.72,296.93,24
24,24,resnet,large,cold,200,1575.48,1575.48,0.0,123.81,1451.67,22
25,25,resnet,large,cold,200,3520.18,3520.17,0.0,265.59,3254.58,18
26,26,mobilenet,large,warm,200,33.49,33.48,0.0,18.27,15.21,13
27,27,mobilenet,small,warm,200,51.08,51.08,0.0,39.74,11.34,11
28,28,mobilenet,medium,warm,200,32.79,32.79,0.0,22.27,10.52,11
29,29,mobilenet,small,warm,200,31.77,31.77,0.0,17.64,14.12,10
30,30,mobilenet,medium,warm,200,32.2,32.2,0.0,18.48,13.71,9
31,31,resnet,medium,warm,200,995.21,995.2,0.0,120.77,874.43,8
32,32,resnet,small,warm,200,1032.15,1032.15,0.0,138.4,893.75,9
33,33,resnet,medium,warm,200,1117.27,1117.27,0.0,177.78,939.49,9
34,34,mobilenet,large,warm,200,36.63,36.63,0.0,22.83,13.8,9
35,35,resnet,large,warm,200,1101.52,1101.52,0.0,187.15,914.36,9
36,36,mobilenet,large,warm,200,48.65,48.64,0.0,34.32,14.32,9
37,37,mobilenet,large,warm,200,33.02,33.02,0.0,17.81,15.21,9
38,38,mobilenet,small,warm,200,29.07,29.07,0.0,17.78,11.28,8
39,39,resnet,medium,warm,200,848.86,848.85,0.0,142.0,706.85,7
40,40,resnet,large,warm,200,953.34,953.34,0.0,207.2,746.13,7
41,41,mobilenet,large,warm,200,29.12,29.12,0.0,17.56,11.55,7
42,42,resnet,small,warm,200,1003.35,1003.35,0.0,250.77,752.58,7
43,43,mobilenet,small,warm,200,41.16,41.16,0.01,27.0,14.16,7
44,44,resnet,medium,warm,200,1140.86,1140.85,0.0,330.11,810.74,7
45,45,resnet,small,cold,200,1251.23,1251.23,0.0,213.69,1037.53,7
46,46,mobilenet,large,warm,200,50.36,50.36,0.0,34.81,15.54,8
47,47,resnet,small,cold,200,1507.89,1507.88,0.0,187.72,1320.17,7
48,48,resnet,medium,warm,200,186.24,186.23,0.0,169.23,17.0,7
49,49,resnet,small,warm,200,262.87,262.87,0.0,172.35,90.52,8
50,50,resnet,small,warm,200,305.4,305.39,0.0,141.52,163.87,7
51,51,mobilenet,large,warm,200,36.72,36.72,0.0,24.14,12.58,8
52,52,resnet,large,warm,200,251.71,251.7,0.0,141.4,110.31,7
53,53,resnet,large,warm,200,277.67,277.66,0.0,127.43,150.23,7
54,54,resnet,medium,warm,200,351.75,351.74,0.01,171.42,180.32,7
55,55,mobilenet,small,warm,200,45.11,45.1,0.0,28.85,16.25,7
56,56,resnet,small,warm,200,321.88,321.88,0.0,175.78,146.09,5
57,57,mobilenet,small,warm,200,34.72,34.72,0.0,17.54,17.18,6
58,58,mobilenet,large,warm,200,42.96,42.96,0.01,29.03,13.93,4
59,59,mobilenet,large,warm,200,38.32,38.32,0.0,24.08,14.24,4
60,60,resnet,large,warm,200,136.56,136.56,0.0,122.48,14.07,3
61,61,mobilenet,medium,warm,200,39.2,39.2,0.0,23.92,15.27,3
62,62,resnet,large,warm,200,133.86,133.85,0.0,121.12,12.73,2
63,63,resnet,large,warm,200,132.45,132.44,0.01,120.83,11.61,2
64,64,resnet,large,warm,200,141.3,141.29,0.0,121.07,20.23,2
65,65,mobilenet,large,warm,200,32.49,32.49,0.0,18.34,14.15,2
66,66,mobilenet,large,warm,200,38.15,38.14,0.0,26.6,11.54,1
67,67,resnet,large,warm,200,131.44,131.44,0.0,120.52,10.92,1
68,68,resnet,small,warm,200,139.09,139.09,0.0,123.81,15.28,2
69,69,resnet,medium,warm,200,136.98,136.98,0.01,122.02,14.96,2
70,70,mobilenet,medium,warm,200,30.06,30.06,0.0,18.3,11.76,2
71,71,mobilenet,large,warm,200,37.59,37.59,0.0,22.8,14.78,1
72,72,resnet,large,warm,200,135.84,135.84,0.0,124.64,11.19,1
73,73,mobilenet,large,warm,200,41.63,41.62,0.0,28.54,13.08,2
74,74,mobilenet,large,warm,200,36.18,36.18,0.01,22.83,13.35,1
75,75,resnet,large,warm,200,137.29,137.28,0.0,123.95,13.34,1
76,76,mobilenet,small,warm,200,29.8,29.8,0.0,17.99,11.81,2
77,77,resnet,small,warm,200,144.03,144.03,0.0,131.24,12.79,1
78,78,mobilenet,large,warm,200,44.68,44.68,0.0,31.05,13.62,2
79,79,resnet,medium,warm,200,135.57,135.56,0.01,122.32,13.24,1
80,80,mobilenet,small,warm,200,41.4,41.39,0.01,27.34,14.05,2
81,81,resnet,medium,warm,200,156.38,156.37,0.01,140.35,16.02,1
82,82,mobilenet,small,warm,200,36.39,36.38,0.0,22.81,13.57,2
83,83,mobilenet,large,warm,200,37.68,37.67,0.01,23.73,13.95,1
84,84,mobilenet,small,warm,200,31.49,31.48,0.0,17.38,14.1,1
85,85,resnet,small,warm,200,142.11,142.1,0.0,121.39,20.72,1
86,86,mobilenet,small,warm,200,36.01,36.0,0.0,23.99,12.01,2
87,87,resnet,large,warm,200,133.77,133.76,0.0,121.36,12.41,1
88,88,mobilenet,medium,warm,200,43.1,43.09,0.0,28.99,14.1,2
89,89,resnet,small,warm,200,140.36,140.36,0.0,125.68,14.68,1
90,90,mobilenet,large,warm,200,37.81,37.81,0.0,23.45,14.36,2
91,91,resnet,medium,warm,200,135.64,135.64,0.0,121.8,13.84,1
92,92,resnet,medium,warm,200,139.98,139.97,0.0,127.0,12.97,2
93,93,resnet,small,warm,200,153.24,153.23,0.0,139.93,13.31,2
94,94,mobilenet,small,warm,200,42.15,42.15,0.0,27.93,14.22,2
95,95,mobilenet,medium,warm,200,32.77,32.77,0.0,21.31,11.46,1
96,96,mobilenet,large,warm,200,36.16,36.16,0.0,23.45,12.71,1
97,97,mobilenet,large,warm,200,38.73,38.72,0.0,25.54,13.19,1
98,98,mobilenet,small,warm,200,34.8,34.79,0.0,22.93,11.86,1
99,99,mobilenet,large,warm,200,40.34,40.34,0.0,26.18,14.16,1
100,100,mobilenet,small,warm,200,37.12,37.12,0.0,23.34,13.78,1
101,101,mobilenet,small,warm,200,35.7,35.69,0.0,24.39,11.3,1
102,102,resnet,small,warm,200,137.68,137.68,0.0,121.48,16.2,1
103,103,mobilenet,medium,warm,200,41.23,41.23,0.0,26.11,15.12,2
104,104,resnet,small,warm,200,147.33,147.33,0.0,134.44,12.88,1
105,105,mobilenet,large,warm,200,36.58,36.58,0.0,23.3,13.27,2
