Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-06-30,14:32:14,128.4,242.2,0.855,0.652
2026-06-30,14:32:15,128.4,242.2,0.855,0.652
2026-06-30,14:32:16,128.4,242.2,0.855,0.652
2026-06-30,14:32:17,128.4,242.2,0.855,0.652
2026-06-30,14:32:18,128.4,242.2,0.855,0.652
2026-06-30,14:32:19,128.4,242.2,0.855,0.652
2026-06-30,14:32:20,128.4,242.2,0.855,0.652
2026-06-30,14:32:21,128.4,242.2,0.855,0.652
2026-06-30,14:32:22,128.4,242.2,0.855,0.652
2026-06-30,14:32:23,128.4,242.2,0.855,0.652
2026-06-30,14:32:24,128.4,242.2,0.855,0.652
2026-06-30,14:32:25,128.4,242.2,0.855,0.652
2026-06-30,14:32:26,128.4,242.2,0.855,0.652
2026-06-30,14:32:27,128.4,242.2,0.855,0.652
2026-06-30,14:32:28,128.4,242.2,0.855,0.652
2026-06-30,14:32:29,128.4,242.2,0.855,0.652
2026-06-30,14:32:30,128.4,242.2,0.855,0.652
2026-06-30,14:32:31,128.4,242.2,0.855,0.652
2026-06-30,14:32:32,128.4,242.2,0.855,0.652
2026-06-30,14:32:33,128.4,242.2,0.855,0.652
2026-06-30,14:32:34,128.4,242.2,0.855,0.652
2026-06-30,14:32:35,128.4,242.2,0.855,0.652
2026-06-30,14:32:36,128.4,242.2,0.855,0.652
2026-06-30,14:32:37,128.4,242.2,0.855,0.652
2026-06-30,14:32:38,128.4,242.2,0.855,0.652
2026-06-30,14:32:39,128.4,242.2,0.855,0.652
2026-06-30,14:32:40,128.4,242.2,0.855,0.652
2026-06-30,14:32:41,128.4,242.2,0.855,0.652
2026-06-30,14:32:42,128.4,242.2,0.855,0.652
2026-06-30,14:32:43,128.4,242.2,0.855,0.652
2026-06-30,14:32:44,128.4,242.2,0.855,0.652
2026-06-30,14:32:45,128.4,242.2,0.855,0.652
2026-06-30,14:32:46,128.4,242.2,0.855,0.652
2026-06-30,14:32:47,128.4,242.2,0.855,0.652
2026-06-30,14:32:48,128.4,242.2,0.855,0.652
2026-06-30,14:32:49,128.4,242.2,0.855,0.652
2026-06-30,14:32:50,128.4,242.2,0.855,0.652
2026-06-30,14:32:51,128.4,242.2,0.855,0.652
2026-06-30,14:32:52,128.4,242.2,0.855,0.652
