request_id,function,size,type,status,latency_ms,ttfb_ms,execution_time_ms,system_overhead_ms,in_flight
0,mobilenet,small,cold,200,1598.42,1598.39,57.84,1540.55,1
1,resnet,small,cold,200,1618.12,1618.11,145.93,1472.17,2
2,mobilenet,small,warm,200,63.23,63.2,54.57,8.63,2
3,mobilenet,large,warm,200,29.75,29.73,22.35,7.38,1
4,mobilenet,large,warm,200,26.72,26.69,18.19,8.5,1
5,resnet,small,warm,200,169.43,169.41,161.37,8.04,1
6,mobilenet,small,warm,200,30.99,30.98,23.7,7.29,1
7,mobilenet,small,warm,200,30.23,30.22,23.16,7.06,1
8,mobilenet,large,warm,200,30.69,30.68,23.38,7.3,1
9,mobilenet,large,warm,200,31.07,31.06,24.02,7.05,1
10,resnet,small,warm,200,237.58,237.57,229.92,7.65,1
11,resnet,large,warm,200,138.72,138.71,130.78,7.93,1
12,resnet,small,warm,200,145.28,145.26,139.02,6.24,1
13,mobilenet,large,warm,200,25.85,25.83,17.84,7.99,1
14,resnet,medium,warm,200,144.54,144.52,136.66,7.86,1
15,resnet,small,warm,200,130.53,130.51,123.34,7.17,1
16,mobilenet,medium,warm,200,24.72,24.7,18.07,6.63,1
17,mobilenet,small,warm,200,26.15,26.13,17.79,8.34,1
18,resnet,small,warm,200,156.64,156.62,149.86,6.76,1
19,resnet,medium,warm,200,136.48,136.46,128.64,7.81,1
20,resnet,small,warm,200,131.22,131.2,123.07,8.13,1
21,resnet,large,warm,200,148.83,148.81,139.99,8.82,1
22,mobilenet,medium,warm,200,31.53,31.51,23.19,8.32,1
23,mobilenet,large,warm,200,35.69,35.67,25.85,9.81,1
24,resnet,large,warm,200,132.71,132.64,124.75,7.89,1
25,resnet,large,warm,200,127.48,127.46,119.43,8.03,1
26,mobilenet,large,warm,200,25.67,25.65,18.27,7.37,1
27,mobilenet,small,warm,200,26.87,26.84,18.91,7.93,1
28,mobilenet,medium,warm,200,25.33,25.31,18.24,7.07,1
29,mobilenet,small,warm,200,25.21,25.19,18.04,7.15,1
30,mobilenet,medium,warm,200,31.67,31.65,23.68,7.97,1
31,resnet,medium,warm,200,161.36,161.36,153.36,8.0,1
32,resnet,small,warm,200,129.11,129.09,121.34,7.75,1
33,resnet,medium,warm,200,128.42,128.4,120.69,7.71,1
34,mobilenet,large,warm,200,30.88,30.87,23.74,7.14,1
35,resnet,large,warm,200,227.93,227.92,221.43,6.49,1
36,mobilenet,large,warm,200,29.9,29.89,22.83,7.06,1
37,mobilenet,large,warm,200,90.26,90.25,79.34,10.91,1
38,mobilenet,small,warm,200,24.7,24.69,17.85,6.84,1
39,resnet,medium,warm,200,156.78,156.77,150.26,6.51,1
40,resnet,large,warm,200,136.04,136.03,129.91,6.12,1
41,mobilenet,large,warm,200,25.77,25.75,17.79,7.96,1
42,resnet,small,warm,200,140.04,140.01,133.18,6.83,1
43,mobilenet,small,warm,200,31.3,31.28,23.23,8.04,1
44,resnet,medium,warm,200,126.64,126.61,120.18,6.44,1
45,resnet,small,warm,200,156.98,156.96,149.42,7.55,1
46,mobilenet,large,warm,200,32.37,32.35,24.06,8.29,1
47,resnet,small,warm,200,126.51,126.49,118.28,8.21,1
48,resnet,medium,warm,200,166.26,166.24,158.91,7.33,1
49,resnet,small,warm,200,141.37,141.34,133.19,8.15,1
50,resnet,small,warm,200,130.67,130.65,122.72,7.94,1
51,mobilenet,large,warm,200,25.32,25.3,18.0,7.3,1
52,resnet,large,warm,200,156.93,156.89,148.8,8.09,1
53,resnet,large,warm,200,141.52,141.5,133.47,8.03,1
54,resnet,medium,warm,200,129.45,129.43,122.6,6.84,1
55,mobilenet,small,warm,200,31.88,31.86,23.23,8.63,1
56,resnet,small,warm,200,127.01,126.99,119.35,7.64,1
57,mobilenet,small,warm,200,31.74,31.72,23.06,8.66,1
58,mobilenet,large,warm,200,32.76,32.74,23.16,9.58,1
59,mobilenet,large,warm,200,29.18,29.16,21.5,7.66,1
