function,status,duration_ms,upstream_ms
mobilenet,200,3068,3066
mobilenet,200,90,89
mobilenet,200,1110,1109
resnet,200,2230,2228
mobilenet,200,22,21
resnet,200,233,232
mobilenet,200,33,32
mobilenet,200,21,20
mobilenet,200,39,38
mobilenet,200,23,22
resnet,200,155,154
resnet,200,129,128
resnet,200,136,135
mobilenet,200,22,20
resnet,200,127,126
resnet,200,130,128
mobilenet,200,27,26
mobilenet,200,27,27
resnet,200,125,124
resnet,200,133,132
resnet,200,129,128
resnet,200,127,127
mobilenet,200,21,20
mobilenet,200,21,20
resnet,200,158,157
resnet,200,131,129
mobilenet,200,27,26
mobilenet,200,27,26
mobilenet,200,27,26
mobilenet,200,31,30
mobilenet,200,32,30
resnet,200,159,157
resnet,200,131,130
resnet,200,139,138
mobilenet,200,24,22
resnet,200,127,126
mobilenet,200,22,21
mobilenet,200,28,26
mobilenet,200,28,27
resnet,200,216,215
resnet,200,126,125
mobilenet,200,28,27
resnet,200,132,130
mobilenet,200,24,23
resnet,200,131,129
resnet,200,152,150
mobilenet,200,24,23
resnet,200,128,127
resnet,200,126,125
resnet,200,130,128
resnet,200,136,135
mobilenet,200,29,27
resnet,200,201,200
resnet,200,129,128
resnet,200,134,133
mobilenet,200,21,20
resnet,200,154,152
mobilenet,200,22,20
mobilenet,200,22,20
mobilenet,200,23,22
resnet,200,128,126
mobilenet,200,28,27
resnet,200,145,143
resnet,200,132,130
resnet,200,220,218
mobilenet,200,28,26
mobilenet,200,22,21
resnet,200,161,160
resnet,200,128,127
resnet,200,135,134
mobilenet,200,24,24
mobilenet,200,28,27
resnet,200,129,128
mobilenet,200,28,26
mobilenet,200,27,26
resnet,200,157,156
mobilenet,200,33,31
resnet,200,145,143
mobilenet,200,24,24
resnet,200,131,130
mobilenet,200,36,35
resnet,200,156,155
mobilenet,200,21,20
mobilenet,200,28,26
mobilenet,200,27,26
resnet,200,137,135
mobilenet,200,29,28
resnet,200,216,215
mobilenet,200,27,26
resnet,200,130,129
mobilenet,200,27,26
resnet,200,135,133
resnet,200,145,144
resnet,200,129,128
mobilenet,200,22,21
mobilenet,200,22,20
mobilenet,200,27,26
mobilenet,200,32,30
mobilenet,200,27,26
mobilenet,200,27,26
mobilenet,200,28,27
mobilenet,200,25,24
resnet,200,133,132
mobilenet,200,22,21
resnet,200,164,163
mobilenet,200,23,21
resnet,200,126,125
resnet,200,143,142
mobilenet,200,28,27
mobilenet,200,28,26
resnet,200,152,152
resnet,200,144,143
resnet,200,133,132
mobilenet,200,24,22
mobilenet,200,27,26
resnet,200,130,129
resnet,200,157,156
mobilenet,200,21,20
mobilenet,200,29,28
resnet,200,135,133
resnet,200,134,133
resnet,200,197,195
mobilenet,200,33,31
resnet,200,136,135
mobilenet,200,50,49
mobilenet,200,24,23
mobilenet,200,32,31
resnet,200,154,152
resnet,200,139,138
resnet,200,130,129
mobilenet,200,28,27
mobilenet,200,28,27
resnet,200,126,125
resnet,200,152,150
resnet,200,157,156
mobilenet,200,28,27
mobilenet,200,27,26
mobilenet,200,21,20
resnet,200,138,136
mobilenet,200,22,20
resnet,200,141,140
mobilenet,200,22,21
mobilenet,200,33,32
mobilenet,200,29,28
mobilenet,200,28,27
mobilenet,200,32,30
mobilenet,200,28,27
mobilenet,200,29,28
mobilenet,200,27,25
mobilenet,200,22,21
resnet,200,133,132
mobilenet,200,23,22
resnet,200,156,154
resnet,200,131,130
mobilenet,200,28,26
resnet,200,134,132
resnet,200,128,126
mobilenet,200,32,30
mobilenet,200,27,26
mobilenet,200,30,29
resnet,200,146,145
resnet,200,132,131
mobilenet,200,24,22
resnet,200,163,162
resnet,200,131,130
resnet,200,128,126
mobilenet,200,31,30
resnet,200,145,144
mobilenet,200,28,26
resnet,200,149,148
mobilenet,200,28,27
mobilenet,200,28,27
resnet,200,137,136
mobilenet,200,23,22
resnet,200,142,140
resnet,200,127,126
resnet,200,128,127
mobilenet,200,28,26
resnet,200,129,127
mobilenet,200,28,27
resnet,200,167,166
resnet,200,129,128
resnet,200,131,129
resnet,200,130,129
mobilenet,200,23,22
mobilenet,200,22,21
mobilenet,200,24,23
mobilenet,200,27,26
mobilenet,200,32,31
mobilenet,200,27,25
resnet,200,164,163
mobilenet,200,27,26
mobilenet,200,28,26
mobilenet,200,32,30
mobilenet,200,29,28
resnet,200,145,143
mobilenet,200,26,25
mobilenet,200,21,20
resnet,200,153,152
mobilenet,200,21,20
resnet,200,147,146
mobilenet,200,28,27
mobilenet,200,32,30
mobilenet,200,31,30
mobilenet,200,29,27
mobilenet,200,32,30
resnet,200,136,135
resnet,200,138,137
mobilenet,200,22,21
mobilenet,200,23,21
resnet,200,162,161
mobilenet,200,27,26
resnet,200,135,133
resnet,200,139,138
resnet,200,213,211
mobilenet,200,28,26
mobilenet,200,28,27
resnet,200,140,138
mobilenet,200,23,21
resnet,200,135,134
resnet,200,128,126
mobilenet,200,30,28
mobilenet,200,22,21
mobilenet,200,27,26
resnet,200,164,162
mobilenet,200,37,36
resnet,200,140,139
resnet,200,133,131
resnet,200,154,152
mobilenet,200,29,27
resnet,200,144,142
resnet,200,133,132
resnet,200,137,136
resnet,200,136,134
resnet,200,131,130
mobilenet,200,28,26
resnet,200,413,411
resnet,200,130,129
mobilenet,200,32,30
resnet,200,135,134
mobilenet,200,29,28
resnet,200,135,134
resnet,200,155,154
resnet,200,147,147
resnet,200,134,133
mobilenet,200,32,31
resnet,200,131,129
mobilenet,200,22,21
mobilenet,200,33,32
resnet,200,166,164
mobilenet,200,27,26
resnet,200,234,233
mobilenet,200,27,26
mobilenet,200,80,79
mobilenet,200,27,26
mobilenet,200,25,24
resnet,200,156,154
mobilenet,200,21,20
resnet,200,142,141
resnet,200,132,131
mobilenet,200,30,28
mobilenet,200,33,32
