Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-06-30,16:11:29,127.5,242.5,0.853,0.922
2026-06-30,16:11:30,127.5,242.5,0.853,0.922
2026-06-30,16:11:31,127.5,242.5,0.853,0.922
2026-06-30,16:11:32,127.5,242.5,0.853,0.922
2026-06-30,16:11:33,127.5,242.5,0.853,0.922
2026-06-30,16:11:34,127.5,242.5,0.853,0.922
2026-06-30,16:11:35,127.5,242.5,0.853,0.922
2026-06-30,16:11:36,127.5,242.5,0.853,0.922
2026-06-30,16:11:37,127.5,242.5,0.853,0.922
2026-06-30,16:11:38,127.5,242.5,0.853,0.922
2026-06-30,16:11:39,127.5,242.5,0.853,0.922
2026-06-30,16:11:40,127.5,242.5,0.853,0.922
2026-06-30,16:11:41,127.5,242.5,0.853,0.922
2026-06-30,16:11:42,127.5,242.5,0.853,0.922
2026-06-30,16:11:43,127.5,242.5,0.853,0.922
2026-06-30,16:11:44,127.5,242.5,0.853,0.922
2026-06-30,16:11:45,127.5,242.5,0.853,0.922
2026-06-30,16:11:46,127.5,242.5,0.853,0.922
2026-06-30,16:11:47,127.5,242.5,0.853,0.922
2026-06-30,16:11:48,127.5,242.5,0.853,0.922
2026-06-30,16:11:49,127.5,242.5,0.853,0.922
2026-06-30,16:11:50,127.5,242.5,0.853,0.922
2026-06-30,16:11:51,127.5,242.5,0.853,0.922
2026-06-30,16:11:52,127.5,242.5,0.853,0.922
2026-06-30,16:11:53,127.5,242.5,0.853,0.922
2026-06-30,16:11:54,127.5,242.5,0.853,0.922
2026-06-30,16:11:55,127.5,242.5,0.853,0.922
2026-06-30,16:11:56,127.5,242.5,0.853,0.922
2026-06-30,16:11:57,127.5,242.5,0.853,0.922
2026-06-30,16:11:58,127.5,242.5,0.853,0.922
2026-06-30,16:11:59,127.5,242.5,0.853,0.922
2026-06-30,16:12:00,127.5,242.5,0.853,0.922
2026-06-30,16:12:01,127.5,242.5,0.853,0.922
2026-06-30,16:12:02,127.5,242.5,0.853,0.922
2026-06-30,16:12:03,127.5,242.5,0.853,0.922
2026-06-30,16:12:04,127.5,242.5,0.853,0.922
2026-06-30,16:12:05,127.5,242.5,0.853,0.922
2026-06-30,16:12:06,127.5,242.5,0.853,0.922
2026-06-30,16:12:07,127.5,242.5,0.853,0.922
2026-06-30,16:12:08,127.5,242.5,0.853,0.922
2026-06-30,16:12:09,127.5,242.5,0.853,0.922
2026-06-30,16:12:10,127.5,242.5,0.853,0.922
2026-06-30,16:12:11,127.5,242.5,0.853,0.922
2026-06-30,16:12:12,127.5,242.5,0.853,0.922
2026-06-30,16:12:13,127.5,242.5,0.853,0.922
2026-06-30,16:12:14,127.5,242.5,0.853,0.922
2026-06-30,16:12:15,127.5,242.5,0.853,0.922
2026-06-30,16:12:16,127.5,242.5,0.853,0.922
2026-06-30,16:12:17,127.5,242.5,0.853,0.922
2026-06-30,16:12:18,127.5,242.5,0.853,0.922
2026-06-30,16:12:19,127.5,242.5,0.853,0.922
2026-06-30,16:12:20,127.5,242.5,0.853,0.922
2026-06-30,16:12:21,127.5,242.5,0.853,0.922
2026-06-30,16:12:22,127.5,242.5,0.853,0.922
2026-06-30,16:12:24,127.5,242.5,0.853,0.922
2026-06-30,16:12:25,127.5,242.5,0.853,0.922
2026-06-30,16:12:26,127.5,242.5,0.853,0.922
2026-06-30,16:12:27,127.5,242.5,0.853,0.922
2026-06-30,16:12:28,127.5,242.5,0.853,0.922
2026-06-30,16:12:29,127.5,242.5,0.853,0.922
2026-06-30,16:12:30,127.5,242.5,0.853,0.922
2026-06-30,16:12:31,127.5,242.5,0.853,0.922
2026-06-30,16:12:32,127.5,242.5,0.853,0.922
2026-06-30,16:12:33,127.5,242.5,0.853,0.922
2026-06-30,16:12:34,127.5,242.5,0.853,0.922
2026-06-30,16:12:35,127.5,242.5,0.853,0.922
2026-06-30,16:12:36,127.5,242.5,0.853,0.922
2026-06-30,16:12:37,127.5,242.5,0.853,0.922
2026-06-30,16:12:38,127.5,242.5,0.853,0.922
2026-06-30,16:12:39,127.5,242.5,0.853,0.922
2026-06-30,16:12:40,127.5,242.5,0.853,0.922
2026-06-30,16:12:41,127.5,242.5,0.853,0.922
2026-06-30,16:12:42,127.5,242.5,0.853,0.922
2026-06-30,16:12:43,127.5,242.5,0.853,0.922
2026-06-30,16:12:44,127.5,242.5,0.853,0.922
2026-06-30,16:12:45,127.5,242.5,0.853,0.922
2026-06-30,16:12:46,127.5,242.5,0.853,0.922
2026-06-30,16:12:47,127.5,242.5,0.853,0.922
2026-06-30,16:12:48,127.5,242.5,0.853,0.922
2026-06-30,16:12:49,127.5,242.5,0.853,0.922
2026-06-30,16:12:50,127.5,242.5,0.853,0.922
2026-06-30,16:12:51,127.5,242.5,0.853,0.922
2026-06-30,16:12:52,127.5,242.5,0.853,0.922
2026-06-30,16:12:53,127.5,242.5,0.853,0.922
2026-06-30,16:12:54,127.5,242.5,0.853,0.922
2026-06-30,16:12:55,127.5,242.5,0.853,0.922
2026-06-30,16:12:56,127.5,242.5,0.853,0.922
2026-06-30,16:12:57,127.5,242.5,0.853,0.922
2026-06-30,16:12:58,127.5,242.5,0.853,0.922
2026-06-30,16:12:59,127.5,242.5,0.853,0.922
2026-06-30,16:13:00,127.5,242.5,0.853,0.922
2026-06-30,16:13:01,127.5,242.5,0.853,0.922
2026-06-30,16:13:02,127.5,242.5,0.853,0.922
2026-06-30,16:13:03,127.5,242.5,0.853,0.922
2026-06-30,16:13:04,127.5,242.5,0.853,0.922
2026-06-30,16:13:05,127.5,242.5,0.853,0.922
2026-06-30,16:13:06,127.5,242.5,0.853,0.922
2026-06-30,16:13:07,127.5,242.5,0.853,0.922
2026-06-30,16:13:08,127.5,242.5,0.853,0.922
2026-06-30,16:13:09,127.5,242.5,0.853,0.922
2026-06-30,16:13:10,127.5,242.5,0.853,0.922
2026-06-30,16:13:11,127.5,242.5,0.853,0.922
2026-06-30,16:13:12,127.5,242.5,0.853,0.922
2026-06-30,16:13:13,127.5,242.5,0.853,0.922
2026-06-30,16:13:14,127.5,242.5,0.853,0.922
2026-06-30,16:13:15,127.5,242.5,0.853,0.922
2026-06-30,16:13:16,127.5,242.5,0.853,0.922
2026-06-30,16:13:17,127.5,242.5,0.853,0.922
2026-06-30,16:13:18,127.5,242.5,0.853,0.922
2026-06-30,16:13:19,127.5,242.5,0.853,0.922
2026-06-30,16:13:20,127.5,242.5,0.853,0.922
2026-06-30,16:13:21,127.5,242.5,0.853,0.922
2026-06-30,16:13:22,127.5,242.5,0.853,0.922
2026-06-30,16:13:23,127.5,242.5,0.853,0.922
2026-06-30,16:13:24,127.5,242.5,0.853,0.922
2026-06-30,16:13:25,127.5,242.5,0.853,0.922
2026-06-30,16:13:26,127.5,242.5,0.853,0.922
2026-06-30,16:13:27,127.5,242.5,0.853,0.922
2026-06-30,16:13:28,127.5,242.5,0.853,0.922
2026-06-30,16:13:29,127.5,242.5,0.853,0.922
2026-06-30,16:13:30,127.5,242.5,0.853,0.922
2026-06-30,16:13:31,127.5,242.5,0.853,0.922
2026-06-30,16:13:32,127.5,242.5,0.853,0.922
2026-06-30,16:13:33,127.5,242.5,0.853,0.922
2026-06-30,16:13:34,127.5,242.5,0.853,0.922
2026-06-30,16:13:35,127.5,242.5,0.853,0.922
2026-06-30,16:13:36,127.5,242.5,0.853,0.922
2026-06-30,16:13:37,127.5,242.5,0.853,0.922
2026-06-30,16:13:38,127.5,242.5,0.853,0.922
2026-06-30,16:13:39,127.5,242.5,0.853,0.922
2026-06-30,16:13:40,127.5,242.5,0.853,0.922
2026-06-30,16:13:41,127.5,242.5,0.853,0.922
2026-06-30,16:13:42,127.5,242.5,0.853,0.922
2026-06-30,16:13:43,127.5,242.5,0.853,0.922
2026-06-30,16:13:44,127.5,242.5,0.853,0.922
2026-06-30,16:13:45,127.5,242.5,0.853,0.922
2026-06-30,16:13:46,127.5,242.5,0.853,0.922
2026-06-30,16:13:47,127.5,242.5,0.853,0.922
2026-06-30,16:13:48,127.5,242.5,0.853,0.922
2026-06-30,16:13:49,127.5,242.5,0.853,0.922
2026-06-30,16:13:50,127.5,242.5,0.853,0.922
2026-06-30,16:13:51,127.5,242.5,0.853,0.922
2026-06-30,16:13:52,127.5,242.5,0.853,0.922
2026-06-30,16:13:53,127.5,242.5,0.853,0.922
2026-06-30,16:13:54,127.5,242.5,0.853,0.922
2026-06-30,16:13:55,127.5,242.5,0.853,0.922
2026-06-30,16:13:56,127.5,242.5,0.853,0.922
2026-06-30,16:13:57,127.5,242.5,0.853,0.922
2026-06-30,16:13:58,127.5,242.5,0.853,0.922
2026-06-30,16:13:59,127.5,242.5,0.853,0.922
2026-06-30,16:14:00,127.5,242.5,0.853,0.922
2026-06-30,16:14:01,127.5,242.5,0.853,0.922
