request_id,function,size,type,status,latency_ms,ttfb_ms,execution_time_ms,system_overhead_ms,in_flight
0,mobilenet,small,cold,200,1887.71,1887.69,30.56,1857.13,1
1,resnet,small,cold,200,1975.41,1975.4,163.11,1812.29,2
2,mobilenet,small,cold,200,1641.98,1641.96,25.88,1616.07,3
3,mobilenet,large,cold,200,1415.2,1415.18,26.43,1388.75,4
4,mobilenet,large,cold,200,1269.55,1269.54,25.2,1244.33,5
5,resnet,small,cold,200,1295.9,1295.88,121.75,1174.13,6
6,mobilenet,small,warm,200,788.18,788.17,24.7,763.46,7
7,mobilenet,small,warm,200,561.85,561.83,25.71,536.12,8
8,mobilenet,large,warm,200,334.05,334.02,28.74,305.28,9
9,mobilenet,large,warm,200,106.25,106.23,22.12,84.11,10
10,resnet,small,warm,200,421.23,421.19,123.58,297.61,6
11,resnet,large,warm,200,342.63,342.62,120.44,222.18,3
12,resnet,small,warm,200,264.33,264.31,121.41,142.9,3
13,mobilenet,large,warm,200,24.78,24.76,17.8,6.96,2
14,resnet,medium,warm,200,135.51,135.49,128.77,6.72,1
15,resnet,small,warm,200,131.18,131.16,120.86,10.3,1
16,mobilenet,medium,warm,200,24.55,24.54,18.19,6.35,1
17,mobilenet,small,warm,200,24.94,24.92,18.06,6.87,1
18,resnet,small,warm,200,126.14,126.12,118.72,7.4,1
19,resnet,medium,warm,200,131.13,131.11,123.73,7.39,1
20,resnet,small,warm,200,129.38,129.35,122.06,7.29,1
21,resnet,large,warm,200,127.88,127.85,120.9,6.96,1
22,mobilenet,medium,warm,200,25.63,25.61,17.62,8.0,1
23,mobilenet,large,warm,200,25.3,25.28,17.52,7.76,1
24,resnet,large,warm,200,127.62,127.6,119.81,7.79,1
25,resnet,large,warm,200,129.64,129.62,120.33,9.29,1
26,mobilenet,large,warm,200,26.15,26.13,18.21,7.92,1
27,mobilenet,small,warm,200,24.53,24.51,17.57,6.94,1
