timestamp,pod,scheduling_time_ms
I0630 09:51:53.543579,default/mobilenet-00001-deployment-76d95655d-b2q9k,7.824296
I0630 09:51:53.544635,default/resnet-00001-deployment-5c95599d68-brqm9,10.505579
I0630 09:51:55.218998,default/mobilenet-00001-deployment-76d95655d-btnw5,10.828988
I0630 09:51:55.219719,default/resnet-00001-deployment-5c95599d68-8rzq8,10.661339
I0630 09:51:55.236165,default/mobilenet-00001-deployment-76d95655d-kgsxp,23.085182
I0630 09:51:57.214318,default/mobilenet-00001-deployment-76d95655d-rrjbx,7.853925
I0630 09:51:57.215802,default/resnet-00001-deployment-5c95599d68-8shd8,6.738663
I0630 09:51:57.221081,default/resnet-00001-deployment-5c95599d68-zqfvz,7.732517
I0630 09:51:57.222906,default/resnet-00001-deployment-5c95599d68-fk974,6.611552
I0630 09:51:59.212888,default/resnet-00001-deployment-5c95599d68-tk9b4,6.923312
I0630 09:51:59.215451,default/resnet-00001-deployment-5c95599d68-tw4nn,5.70642
I0630 09:53:03.219982,default/resnet-00001-deployment-5c95599d68-ls8rv,5.294957
I0630 09:53:05.210848,default/resnet-00001-deployment-5c95599d68-4nn6d,5.926365
I0630 09:53:05.214739,default/resnet-00001-deployment-5c95599d68-2vgj5,5.377364
I0630 09:53:07.251375,default/resnet-00001-deployment-5c95599d68-2qtjw,6.233032
I0630 10:00:27.136448,default/mobilenet-00001-deployment-76d95655d-v77cp,5.909403
I0630 10:00:27.152441,default/resnet-00001-deployment-5c95599d68-dl5hk,6.983906
I0630 10:00:29.209124,default/mobilenet-00001-deployment-76d95655d-9kp7w,7.339555
I0630 10:00:29.213835,default/mobilenet-00001-deployment-76d95655d-kq9pf,7.956575
I0630 10:00:29.215121,default/resnet-00001-deployment-5c95599d68-prnwn,7.460037
I0630 10:00:31.213379,default/resnet-00001-deployment-5c95599d68-6fmz5,6.53446
I0630 10:00:31.217610,default/resnet-00001-deployment-5c95599d68-r5rl6,5.571847
I0630 10:00:31.221589,default/resnet-00001-deployment-5c95599d68-l2q6p,8.678873
I0630 10:00:33.211065,default/resnet-00001-deployment-5c95599d68-w28tz,4.837901
I0630 10:00:33.216194,default/resnet-00001-deployment-5c95599d68-4n6fc,5.667495
I0630 10:01:39.238506,default/resnet-00001-deployment-5c95599d68-ppmvp,6.579479
I0630 10:01:41.210991,default/resnet-00001-deployment-5c95599d68-sx5xw,6.142311
I0630 10:11:00.764358,default/mobilenet-00001-deployment-76d95655d-vjl4d,6.371403
I0630 10:11:00.764883,default/resnet-00001-deployment-5c95599d68-m9hw6,8.422816
I0630 10:11:03.220818,default/resnet-00001-deployment-5c95599d68-5knzk,10.203597
I0630 10:11:03.223137,default/mobilenet-00001-deployment-76d95655d-4n8s9,8.411853
I0630 10:11:03.225984,default/resnet-00001-deployment-5c95599d68-2z2jn,5.967291
I0630 10:11:05.208887,default/resnet-00001-deployment-5c95599d68-9x8fb,5.686142
I0630 10:11:05.213138,default/resnet-00001-deployment-5c95599d68-mpqfm,5.841754
I0630 10:11:07.209947,default/resnet-00001-deployment-5c95599d68-lc6st,6.806257
I0630 10:11:07.211733,default/resnet-00001-deployment-5c95599d68-gprbj,5.245476
I0630 10:11:07.214396,default/resnet-00001-deployment-5c95599d68-chj8w,6.947571
I0630 10:12:13.347789,default/resnet-00001-deployment-5c95599d68-pcns5,5.493532
I0630 10:12:15.209911,default/resnet-00001-deployment-5c95599d68-kdg2t,5.366031
I0630 10:12:17.216536,default/resnet-00001-deployment-5c95599d68-5qr98,7.24535
I0630 10:20:45.736511,default/mobilenet-00001-deployment-76d95655d-4l7zq,6.479052
I0630 10:20:45.736683,default/resnet-00001-deployment-5c95599d68-7765m,5.815754
I0630 10:20:47.217278,default/resnet-00001-deployment-5c95599d68-479pn,5.17116
I0630 10:20:47.230125,default/mobilenet-00001-deployment-76d95655d-8x7x4,11.424396
I0630 10:20:49.213074,default/resnet-00001-deployment-5c95599d68-gd5gc,6.111385
I0630 10:20:49.217384,default/resnet-00001-deployment-5c95599d68-f6w7r,6.124977
I0630 10:20:51.224137,default/resnet-00001-deployment-5c95599d68-svzvn,4.628048
I0630 10:20:51.229424,default/resnet-00001-deployment-5c95599d68-8mlxl,5.924366
I0630 10:21:55.485083,default/resnet-00001-deployment-5c95599d68-nnqww,5.668439
I0630 10:21:57.240477,default/resnet-00001-deployment-5c95599d68-nxkpf,5.223678
I0630 10:21:57.243592,default/resnet-00001-deployment-5c95599d68-92tkb,5.237031
I0630 10:21:57.247943,default/resnet-00001-deployment-5c95599d68-f2jdw,7.533128
I0630 10:21:59.211892,default/resnet-00001-deployment-5c95599d68-pc74n,5.030901
I0630 10:30:07.858596,default/mobilenet-00001-deployment-76d95655d-x8nj7,4.674333
I0630 10:30:07.869118,default/resnet-00001-deployment-5c95599d68-x4gk6,4.998278
I0630 10:30:11.213859,default/mobilenet-00001-deployment-76d95655d-j898p,7.624056
I0630 10:30:11.215330,default/resnet-00001-deployment-5c95599d68-wt6jw,8.1715
I0630 10:30:11.219481,default/resnet-00001-deployment-5c95599d68-s8xpr,6.816852
I0630 10:30:13.205105,default/resnet-00001-deployment-5c95599d68-ggs4v,6.516296
I0630 10:30:13.207362,default/resnet-00001-deployment-5c95599d68-79md2,5.062907
I0630 10:30:15.205856,default/resnet-00001-deployment-5c95599d68-k5v5p,6.030185
I0630 10:30:15.208941,default/resnet-00001-deployment-5c95599d68-77g6p,4.954241
I0630 10:31:19.258014,default/resnet-00001-deployment-5c95599d68-zm2xb,6.450669
I0630 10:31:21.241251,default/resnet-00001-deployment-5c95599d68-wbzk2,5.516797
I0630 10:31:21.243683,default/resnet-00001-deployment-5c95599d68-ml64t,4.702742
I0630 10:41:28.739603,default/mobilenet-00001-deployment-76d95655d-9s799,5.830935
I0630 10:41:28.741770,default/resnet-00001-deployment-5c95599d68-hm898,6.976677
I0630 10:41:31.215691,default/resnet-00001-deployment-5c95599d68-k4jz4,8.102086
I0630 10:41:31.220082,default/mobilenet-00001-deployment-76d95655d-27sft,7.187418
I0630 10:41:31.222314,default/resnet-00001-deployment-5c95599d68-rrs7z,8.411827
I0630 10:41:31.224847,default/mobilenet-00001-deployment-76d95655d-7lr4d,5.795824
I0630 10:41:31.226816,default/mobilenet-00001-deployment-76d95655d-l5kdp,6.903769
I0630 10:41:33.212665,default/resnet-00001-deployment-5c95599d68-2bktf,4.764952
I0630 10:41:33.254866,default/resnet-00001-deployment-5c95599d68-tzbm7,19.727733
I0630 10:41:35.211170,default/resnet-00001-deployment-5c95599d68-6hb8g,6.901455
I0630 10:41:35.213814,default/resnet-00001-deployment-5c95599d68-2dkfn,5.074618
I0630 10:41:35.216895,default/resnet-00001-deployment-5c95599d68-dk5jz,7.054917
I0630 10:42:39.435242,default/resnet-00001-deployment-5c95599d68-79k45,5.574342
I0630 10:42:41.211813,default/resnet-00001-deployment-5c95599d68-k4kl6,6.011639
I0630 10:42:41.214424,default/resnet-00001-deployment-5c95599d68-x4vrn,6.747103
I0630 10:42:43.212623,default/resnet-00001-deployment-5c95599d68-tnhnf,5.991361
I0630 10:50:01.630445,default/mobilenet-00001-deployment-76d95655d-jwg4j,7.359162
I0630 10:50:01.632293,default/resnet-00001-deployment-5c95599d68-9vggp,7.648162
I0630 10:50:03.206189,default/mobilenet-00001-deployment-76d95655d-qmndz,5.601862
I0630 10:50:03.213726,default/resnet-00001-deployment-5c95599d68-x247d,5.298992
I0630 10:50:05.206675,default/resnet-00001-deployment-5c95599d68-7mz4d,5.38188
I0630 10:50:05.216214,default/resnet-00001-deployment-5c95599d68-x9f2h,10.175333
I0630 10:50:07.215824,default/resnet-00001-deployment-5c95599d68-26sxg,4.511009
I0630 10:50:07.221050,default/resnet-00001-deployment-5c95599d68-6f5pf,7.537773
I0630 10:51:11.315461,default/resnet-00001-deployment-5c95599d68-4xrfc,6.46953
I0630 10:51:13.206135,default/resnet-00001-deployment-5c95599d68-wrhpt,5.647548
I0630 10:51:13.208613,default/resnet-00001-deployment-5c95599d68-bh9nd,3.884859
I0630 10:51:13.235521,default/resnet-00001-deployment-5c95599d68-d669q,30.131574
I0630 10:51:15.212278,default/resnet-00001-deployment-5c95599d68-247rf,5.825622
I0630 11:00:16.763200,default/mobilenet-00001-deployment-76d95655d-gwp7m,6.172734
I0630 11:00:16.764035,default/resnet-00001-deployment-5c95599d68-nhkxb,5.922493
I0630 11:00:17.214667,default/mobilenet-00001-deployment-76d95655d-lxnkh,5.777807
I0630 11:00:19.211298,default/resnet-00001-deployment-5c95599d68-l2fr4,5.437955
I0630 11:00:19.213750,default/mobilenet-00001-deployment-76d95655d-k5dbp,8.705257
I0630 11:00:19.214205,default/mobilenet-00001-deployment-76d95655d-9krhv,6.194123
I0630 11:00:19.218385,default/resnet-00001-deployment-5c95599d68-kzxzz,7.79746
I0630 11:00:19.220686,default/resnet-00001-deployment-5c95599d68-2c7wg,9.446926
I0630 11:00:21.208478,default/resnet-00001-deployment-5c95599d68-hxhnj,5.628734
I0630 11:00:21.211485,default/resnet-00001-deployment-5c95599d68-fnsjx,5.872141
I0630 11:00:23.214746,default/resnet-00001-deployment-5c95599d68-zwdkf,5.930641
I0630 11:00:23.220759,default/resnet-00001-deployment-5c95599d68-jvzw8,8.742239
I0630 11:00:23.222104,default/resnet-00001-deployment-5c95599d68-wgs27,8.360739
I0630 11:01:31.327482,default/resnet-00001-deployment-5c95599d68-6p28r,6.221216
I0630 11:01:33.207802,default/resnet-00001-deployment-5c95599d68-tqwz9,6.924366
I0630 11:01:33.209792,default/resnet-00001-deployment-5c95599d68-k9cgm,5.868586
I0630 11:01:35.211137,default/resnet-00001-deployment-5c95599d68-xbv9w,5.878271
