request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,2066.34,2066.31,0.03,7.55,2058.75,True,,0.0,4.09,0.01,3.44,7.55,1
1,genmatrix,small,cold,200,1565.64,1565.1,0.54,8.51,1556.59,True,,0.0,0.04,,8.46,8.51,2
2,fetchdata,small,cold,200,2493.8,2493.78,0.02,142.35,2351.43,True,142.32,0.0,0.03,0.0,,142.35,3
3,fastfouriertransform,large,warm,200,37.05,37.03,0.02,4.62,32.41,False,,0.0,3.87,0.0,0.74,4.62,2
4,linpack,small,cold,200,1606.56,1606.54,0.02,5.32,1601.22,True,,0.0,0.38,4.04,0.89,5.32,2
5,linpack,medium,warm,200,1309.46,1309.44,0.01,701.69,607.75,False,,0.0,0.4,4.07,697.21,701.69,2
6,fastfouriertransform,small,warm,200,40.05,40.04,0.01,4.64,35.4,False,,0.0,3.87,0.0,0.76,4.64,2
7,fastfouriertransform,small,warm,200,41.86,41.84,0.01,7.28,34.57,False,,0.0,6.12,0.0,1.15,7.28,1
8,fetchdata,large,warm,200,86.84,86.82,0.02,79.38,7.44,False,79.34,0.0,0.03,0.0,,79.38,1
9,linpack,small,warm,200,22.18,22.16,0.02,7.63,14.54,False,,0.0,0.41,6.35,0.85,7.62,1
10,linpack,small,warm,200,17.43,17.41,0.02,5.85,11.57,False,,0.0,0.39,4.45,1.0,5.85,1
11,linpack,medium,warm,200,763.95,763.93,0.02,751.56,12.37,False,,0.0,0.36,4.11,747.08,751.55,1
12,fetchdata,medium,warm,200,81.89,81.86,0.03,76.01,5.85,False,75.97,0.0,0.03,0.0,,76.01,1
13,linpack,medium,warm,200,730.55,730.53,0.02,720.48,10.05,False,,0.0,0.39,4.01,716.07,720.48,1
14,fastfouriertransform,small,warm,200,39.82,39.81,0.01,4.72,35.09,False,,0.0,3.88,0.01,0.82,4.71,1
15,matrixmul,medium,cold,200,2676.09,2674.33,1.76,550.31,2124.02,True,,0.0,0.44,5.1,544.75,550.3,1
16,genmatrix,small,warm,200,9.55,8.93,0.62,0.12,8.81,False,,0.0,0.03,,0.09,0.12,2
17,fetchdata,medium,warm,200,89.92,89.91,0.01,80.13,9.78,False,80.09,0.0,0.03,0.0,,80.13,2
18,fastfouriertransform,small,warm,200,39.31,39.3,0.01,4.63,34.67,False,,0.0,3.84,0.0,0.78,4.63,1
19,matrixmul,small,warm,200,29.31,27.06,2.25,6.1,20.96,False,,0.0,0.4,5.07,0.62,6.1,1
20,genmatrix,medium,warm,200,13.13,11.2,1.93,0.23,10.97,False,,0.0,0.02,,0.2,0.23,1
21,linpack,medium,warm,200,736.17,736.15,0.02,724.42,11.73,False,,0.0,0.38,4.02,720.02,724.42,1
22,fastfouriertransform,large,warm,200,40.39,40.37,0.02,4.94,35.43,False,,0.01,4.04,0.01,0.88,4.94,1
23,matrixmul,large,warm,200,22.86,20.77,2.09,4.96,15.81,False,,0.0,0.37,3.99,0.6,4.96,1
24,fastfouriertransform,medium,warm,200,683.78,683.77,0.02,648.59,35.17,False,,0.0,3.86,0.0,644.73,648.59,1
25,fastfouriertransform,large,warm,200,41.93,41.92,0.01,5.0,36.92,False,,0.0,3.95,0.01,1.03,5.0,1
26,genmatrix,large,warm,200,50.39,31.82,18.57,0.86,30.96,False,,0.0,0.02,,0.83,0.86,1
27,linpack,medium,warm,200,740.24,740.21,0.02,729.44,10.77,False,,0.0,0.35,4.06,725.02,729.44,1
28,linpack,small,warm,200,22.27,22.25,0.02,5.28,16.97,False,,0.0,0.39,4.06,0.82,5.28,1
29,fastfouriertransform,small,warm,200,41.38,41.37,0.01,4.85,36.53,False,,0.0,3.9,0.0,0.94,4.85,1
30,fetchdata,medium,warm,200,88.57,88.55,0.02,81.58,6.97,False,81.54,0.0,0.03,0.0,,81.58,1
31,fastfouriertransform,small,warm,200,36.51,36.5,0.01,4.93,31.58,False,,0.0,3.98,0.0,0.93,4.92,1
32,fastfouriertransform,medium,warm,200,699.47,699.44,0.02,660.64,38.8,False,,0.0,3.84,0.0,656.79,660.64,1
33,genmatrix,medium,warm,200,12.89,10.7,2.19,0.21,10.5,False,,0.0,0.02,,0.18,0.21,1
34,genmatrix,small,warm,200,9.38,8.62,0.76,0.16,8.46,False,,0.0,0.03,,0.13,0.16,1
35,genmatrix,medium,warm,200,14.25,11.6,2.65,0.21,11.39,False,,0.0,0.02,,0.19,0.21,1
36,fetchdata,large,warm,200,126.89,126.88,0.02,120.72,6.15,False,120.69,0.0,0.03,0.0,,120.72,1
37,genmatrix,large,warm,200,53.3,34.62,18.68,0.88,33.74,False,,0.0,0.04,,0.84,0.88,1
38,fastfouriertransform,large,warm,200,39.51,39.5,0.01,4.84,34.66,False,,0.0,3.88,0.0,0.95,4.84,1
39,fetchdata,large,warm,200,81.32,81.3,0.02,75.4,5.9,False,75.37,0.0,0.03,0.0,,75.4,1
40,fetchdata,small,warm,200,89.64,89.62,0.02,80.38,9.24,False,80.34,0.0,0.03,0.0,,80.38,1
41,matrixmul,medium,warm,200,571.44,569.42,2.02,553.96,15.46,False,,0.0,0.35,3.99,549.61,553.96,1
42,genmatrix,large,warm,200,44.3,30.79,13.51,0.8,29.99,False,,0.0,0.02,,0.77,0.8,1
43,linpack,small,warm,200,18.22,18.2,0.02,5.37,12.83,False,,0.0,0.44,4.1,0.82,5.37,1
44,genmatrix,small,warm,200,6.98,6.31,0.67,0.11,6.2,False,,0.0,0.02,,0.09,0.11,1
45,fetchdata,small,warm,200,82.72,82.7,0.02,76.51,6.19,False,76.48,0.0,0.02,0.0,,76.51,1
46,genmatrix,medium,warm,200,14.79,12.33,2.46,0.22,12.11,False,,0.0,0.02,,0.19,0.22,1
47,genmatrix,small,warm,200,6.97,6.34,0.63,0.11,6.22,False,,0.0,0.02,,0.09,0.11,1
48,fetchdata,large,warm,200,81.72,81.72,0.01,75.59,6.12,False,75.56,0.0,0.02,0.0,,75.59,1
49,genmatrix,small,warm,200,8.01,7.26,0.74,0.12,7.14,False,,0.0,0.02,,0.1,0.12,1
50,matrixmul,medium,warm,200,567.02,564.58,2.44,546.69,17.89,False,,0.0,0.37,3.98,542.33,546.69,1
51,matrixmul,small,warm,200,27.0,25.25,1.74,4.94,20.31,False,,0.0,0.36,3.99,0.58,4.94,1
52,genmatrix,small,warm,200,8.93,8.3,0.63,0.13,8.17,False,,0.0,0.02,,0.1,0.13,1
53,fetchdata,large,warm,200,79.43,79.41,0.02,73.66,5.75,False,73.63,0.0,0.02,0.0,,73.66,1
54,linpack,large,warm,200,16.5,16.48,0.02,5.19,11.29,False,,0.0,0.37,4.05,0.77,5.19,1
55,genmatrix,large,warm,200,53.01,37.28,15.73,0.89,36.39,False,,0.0,0.03,,0.85,0.89,1
56,linpack,medium,warm,200,733.56,733.53,0.03,721.65,11.88,False,,0.0,0.35,4.01,717.28,721.64,1
57,linpack,medium,warm,200,749.14,749.11,0.03,732.01,17.1,False,,0.0,0.37,4.08,727.55,732.01,1
58,genmatrix,small,warm,200,11.01,10.23,0.79,0.2,10.02,False,,0.0,0.02,,0.18,0.2,1
59,fetchdata,large,warm,200,83.71,83.69,0.02,74.41,9.27,False,74.38,0.0,0.02,0.0,,74.41,1
60,matrixmul,small,warm,200,26.05,23.84,2.21,5.09,18.75,False,,0.0,0.36,4.07,0.66,5.09,1
61,fastfouriertransform,small,warm,200,44.17,44.16,0.01,5.8,38.36,False,,0.0,4.87,0.0,0.92,5.8,1
62,fetchdata,large,warm,200,81.69,81.67,0.02,74.97,6.7,False,74.94,0.0,0.02,0.0,,74.97,1
