function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregator,small,0.5,128,0.000924,.000970,876,630,629.962000,.038000,134.800000,134.744900,.055100,10
aggregator,medium,0.5,128,0.000923,.000968,876,630,629.962000,.038000,156.400000,156.355700,.044300,10
aggregator,large,0.5,128,0.000925,.000967,876,630,629.962000,.038000,148.500000,148.444300,.055700,10
cosine,small,0.5,128,0.000030,.000107,640,1051,696.242000,354.758000,616.200000,152.458700,463.741300,10
cosine,medium,0.5,128,0.000031,.000108,640,1051,696.242000,354.758000,1923.900000,148.701100,1775.198900,10
cosine,large,0.5,128,0.000031,.000109,640,1051,696.242000,354.758000,4180.000000,125.132700,4054.867300,10
factors,small,0.5,128,0.000028,.000091,593,514,513.946000,.054000,100.100000,100.052600,.047400,10
factors,medium,0.5,128,0.000031,.000194,593,514,513.946000,.054000,136.900000,118.079500,18.820500,10
factors,large,0.5,128,0.000028,.000091,593,514,513.946000,.054000,144.300000,143.632900,.667100,10
fast_fourier_transform,small,0.5,128,0.193513,.000262,758,955,894.698000,60.302000,435.600000,411.199300,24.400700,10
fast_fourier_transform,medium,0.5,128,0.193516,.000263,758,955,894.698000,60.302000,1337.700000,433.717500,903.982500,10
fast_fourier_transform,large,0.5,128,0.193513,.000262,758,955,894.698000,60.302000,478.800000,468.938100,9.861900,10
gen_int,small,0.5,128,0.000041,.000090,577,829,815.835000,13.165000,424.100000,396.913700,27.186300,10
gen_int,medium,0.5,128,0.000041,.000090,577,829,815.835000,13.165000,486.600000,470.015400,16.584600,10
gen_int,large,0.5,128,0.000043,.000091,577,829,815.835000,13.165000,510.500000,478.292400,32.207600,10
gen_list,small,0.5,128,0.000041,.193575,597,988,979.053000,8.947000,458.000000,435.886000,22.114000,10
gen_list,medium,0.5,128,0.000041,.193575,597,988,979.053000,8.947000,447.100000,438.846900,8.253100,10
gen_list,large,0.5,128,0.000042,.193576,597,988,979.053000,8.947000,457.900000,443.132300,14.767700,10
gen_matrix_a,small,0.5,128,0.000041,.023842,525,887,878.477000,8.523000,435.900000,410.459900,25.440100,10
gen_matrix_a,medium,0.5,128,0.000041,.100428,525,887,878.477000,8.523000,476.200000,460.479600,15.720400,10
gen_matrix_a,large,0.5,128,0.000042,.559024,525,887,878.477000,8.523000,512.000000,493.576600,18.423400,10
gen_matrix_b,small,0.5,128,0.000041,.023847,599,943,877.852000,65.148000,481.700000,450.090500,31.609500,10
gen_matrix_b,medium,0.5,128,0.000041,.100432,599,943,877.852000,65.148000,457.900000,444.248000,13.652000,10
gen_matrix_b,large,0.5,128,0.000042,.559022,599,943,877.852000,65.148000,459.900000,452.865200,7.034800,10
linpack,small,0.5,128,0.200836,.000097,671,915,909.119000,5.881000,439.700000,425.903900,13.796100,10
linpack,medium,0.5,128,0.200742,.000097,671,915,909.119000,5.881000,1086.000000,441.314600,644.685400,10
linpack,large,0.5,128,0.200804,.000097,671,915,909.119000,5.881000,435.400000,418.558000,16.842000,10
matrix_multiplication,small,0.5,128,0.200836,.097340,585,864,859.144000,4.856000,434.600000,421.802100,12.797900,10
matrix_multiplication,medium,0.5,128,0.200742,.097318,585,864,859.144000,4.856000,1047.200000,486.379500,560.820500,10
matrix_multiplication,large,0.5,128,0.200804,.097274,585,864,859.144000,4.856000,466.400000,453.320300,13.079700,10
sine,small,0.5,128,0.000028,.000106,617,587,586.873000,.127000,132.100000,131.934900,.165100,10
sine,medium,0.5,128,0.000031,.000106,617,587,586.873000,.127000,2007.000000,148.404200,1858.595800,10
sine,large,0.5,128,0.000028,.000106,617,587,586.873000,.127000,132.200000,132.046400,.153600,10
