index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1560.9,0.006494,warm,200
1,grayscale,small,1958.8,0.018005,warm,200
2,genmatrix,small,2101.8,0.006508,cold,200
3,fastfouriertransform,large,18.2,0.004958,warm,200
4,pagerank,small,1614.4,0.245869,warm,200
5,resnet,medium,1727.7,0.130116,warm,200
6,graphgen,small,1733.3,0.005125,warm,200
7,fastfouriertransform,small,21.3,0.007767,warm,200
8,genmatrix,large,55.9,0.001769,warm,200
9,resnet,small,125.5,0.120217,warm,200
10,pagerank,small,25.9,0.016528,warm,200
11,pagerank,medium,124.3,0.050872,warm,200
12,genmatrix,medium,13.4,0.000288,warm,200
13,resnet,medium,154.9,0.149782,warm,200
14,graphgen,small,37.2,0.004308,warm,200
15,matrixmul,medium,2349.2,0.540539,cold,200
16,grayscale,small,16.8,0.010829,warm,200
17,genmatrix,medium,9.7,0.0002,warm,200
18,fastfouriertransform,small,17.9,0.005072,warm,200
19,matrixmul,small,22.1,0.005019,warm,200
20,linpack,medium,2245.3,0.657806,cold,200
21,resnet,medium,145.5,0.139523,warm,200
22,graphgen,large,521.1,0.098161,warm,200
23,mobilenet,large,1513.1,0.045329,warm,200
24,fastfouriertransform,medium,648.0,0.634587,warm,200
25,fastfouriertransform,large,18.9,0.004941,warm,200
26,grayscale,large,2804.3,2.692885,cold,200
27,resnet,medium,202.1,0.195785,warm,200
28,resnet,small,124.5,0.120027,warm,200
29,fastfouriertransform,small,18.1,0.00495,warm,200
30,genmatrix,medium,14.5,0.000285,warm,200
31,fastfouriertransform,small,21.6,0.007797,warm,200
32,fastfouriertransform,medium,656.5,0.642659,warm,200
33,grayscale,medium,68.8,0.058069,warm,200
34,linpack,small,12.5,0.005109,warm,200
35,linpack,medium,646.7,0.639318,warm,200
36,genmatrix,large,40.1,0.000815,warm,200
37,grayscale,large,2823.6,2.70626,cold,200
38,fastfouriertransform,large,25.1,0.007746,warm,200
39,fetchdata,large,1783.7,0.126374,warm,200
40,genmatrix,small,6.6,0.000154,warm,200
41,mobilenet,medium,29.3,0.023467,warm,200
42,grayscale,large,2783.9,2.673264,cold,200
43,pagerank,small,18.0,0.01009,warm,200
44,linpack,small,11.8,0.005091,warm,200
45,genmatrix,small,5.6,0.000127,warm,200
46,linpack,medium,686.1,0.678591,warm,200
47,grayscale,small,12.4,0.006888,warm,200
48,genmatrix,large,39.6,0.000812,warm,200
49,linpack,small,13.0,0.00512,warm,200
50,mobilenet,medium,24.1,0.0179,warm,200
51,mobilenet,small,30.3,0.023172,warm,200
52,grayscale,small,12.0,0.00699,warm,200
53,genmatrix,large,40.0,0.000857,warm,200
54,pagerank,large,352.1,0.273449,warm,200
55,grayscale,large,2826.4,2.709838,cold,200
56,resnet,medium,126.6,0.122085,warm,200
57,resnet,medium,124.9,0.12042,warm,200
58,linpack,small,15.8,0.0081,warm,200
59,fetchdata,large,82.6,0.076649,warm,200
60,mobilenet,small,30.3,0.024023,warm,200
61,graphgen,small,27.4,0.002816,warm,200
62,fetchdata,large,91.1,0.08601,warm,200
63,fetchdata,large,88.2,0.083378,warm,200
64,matrixmul,large,23.9,0.007948,warm,200
65,fastfouriertransform,medium,622.3,0.604947,warm,200
66,matrixmul,large,23.4,0.007965,warm,200
67,mobilenet,large,22.5,0.018003,warm,200
68,grayscale,large,2854.3,2.74142,cold,200
69,graphgen,large,526.4,0.095687,warm,200
70,fastfouriertransform,large,21.2,0.007783,warm,200
71,pagerank,medium,68.5,0.045875,warm,200
72,linpack,small,12.7,0.005101,warm,200
73,grayscale,medium,69.1,0.058041,warm,200
74,fetchdata,medium,126.2,0.121121,warm,200
75,graphgen,large,523.0,0.096878,warm,200
76,grayscale,large,2830.0,2.720725,cold,200
77,fetchdata,large,80.3,0.075376,warm,200
78,fastfouriertransform,large,21.2,0.007827,warm,200
79,grayscale,large,2790.5,2.677971,cold,200
80,pagerank,large,406.2,0.277636,warm,200
81,genmatrix,small,5.7,0.000107,warm,200
82,linpack,small,12.1,0.005191,warm,200
83,pagerank,large,384.1,0.290686,warm,200
84,graphgen,large,520.7,0.085691,warm,200
85,linpack,medium,674.9,0.667941,warm,200
86,graphgen,small,26.4,0.002892,warm,200
87,linpack,medium,648.5,0.640858,warm,200
88,genmatrix,small,7.0,0.000145,warm,200
89,genmatrix,large,55.1,0.001244,warm,200
90,fastfouriertransform,small,25.1,0.007715,warm,200
91,mobilenet,small,32.3,0.023043,warm,200
92,pagerank,small,18.8,0.010179,warm,200
93,fetchdata,large,80.7,0.075752,warm,200
94,mobilenet,large,25.7,0.017895,warm,200
95,fetchdata,medium,80.9,0.076092,warm,200
96,pagerank,large,402.3,0.293717,warm,200
97,matrixmul,small,24.3,0.00797,warm,200
98,pagerank,large,413.6,0.28622,warm,200
99,genmatrix,large,53.3,0.001119,warm,200
100,grayscale,medium,69.8,0.058739,warm,200
101,linpack,medium,652.4,0.645428,warm,200
102,pagerank,medium,99.1,0.071694,warm,200
103,fastfouriertransform,small,22.2,0.004917,warm,200
104,genmatrix,small,5.5,0.000104,warm,200
105,linpack,small,16.0,0.008054,warm,200
106,resnet,large,126.3,0.121274,warm,200
107,genmatrix,large,53.0,0.001265,warm,200
108,genmatrix,small,6.3,0.000136,warm,200
109,fastfouriertransform,large,21.1,0.007744,warm,200
110,graphgen,small,26.5,0.002897,warm,200
111,fastfouriertransform,small,22.2,0.004936,warm,200
112,linpack,small,16.5,0.008181,warm,200
113,pagerank,small,234.1,0.015791,warm,200
