timestamp,pod,scheduling_time_ms
I0415 10:19:17.080415,default/grayscale-00001-deployment-5875667469-brssx,16.326182
I0415 10:19:17.081036,default/fastfouriertransform-00001-deployment-7f6c4dd4f-62bq4,15.433368
I0415 10:19:18.603645,default/genmatrix-00001-deployment-57fdd67855-jccwn,14.763904
I0415 10:19:20.570240,default/resnet-00001-deployment-5ccbb786c-7xhv5,16.965608
I0415 10:19:20.580778,default/pagerank-00001-deployment-669c956d7d-k4vl4,25.033347
I0415 10:19:22.553872,default/graphgen-00001-deployment-f5bfdc858-wfw7d,10.515572
I0415 10:19:30.552213,default/matrixmul-00001-deployment-5975545bc-5qlh9,8.443461
I0415 10:19:36.558135,default/linpack-00001-deployment-59cb5bb6f4-thq8f,13.681182
I0415 10:19:38.551565,default/mobilenet-00001-deployment-69d9c64d47-96crw,9.879831
I0415 10:19:54.667938,default/fetchdata-00001-deployment-95bdf5d98-5kgjg,10.168553
I0415 10:34:45.211618,default/graphgen-00001-deployment-f5bfdc858-7rjhl,11.966658
I0415 10:36:36.246380,default/resnet-00001-deployment-5ccbb786c-vp8n8,12.267214
I0415 10:37:28.243085,default/graphgen-00001-deployment-f5bfdc858-2sh4c,8.805939
I0415 10:56:37.294552,default/fastfouriertransform-00001-deployment-7f6c4dd4f-5f2dv,7.338033
I0415 10:56:38.273508,default/grayscale-00001-deployment-5875667469-jb6jj,13.004752
I0415 10:56:39.268587,default/genmatrix-00001-deployment-57fdd67855-8924b,10.846735
I0415 10:56:41.285452,default/pagerank-00001-deployment-669c956d7d-2j65q,15.853677
I0415 10:56:42.267721,default/resnet-00001-deployment-5ccbb786c-95k7c,5.920701
I0415 10:56:43.281810,default/graphgen-00001-deployment-f5bfdc858-nvdgr,18.851472
I0415 10:56:52.270349,default/matrixmul-00001-deployment-5975545bc-sqsx6,8.134311
I0415 10:56:57.266648,default/linpack-00001-deployment-59cb5bb6f4-bt6xn,7.280778
I0415 10:57:00.273252,default/mobilenet-00001-deployment-69d9c64d47-tm7vd,9.00202
I0415 10:57:16.466458,default/fetchdata-00001-deployment-95bdf5d98-bm4dh,5.855038
I0415 11:12:07.312768,default/graphgen-00001-deployment-f5bfdc858-4lsp9,10.064737
I0415 11:13:58.342028,default/resnet-00001-deployment-5ccbb786c-qdtb8,9.931682
