timestamp,pod,scheduling_time_ms
I0415 07:42:11.127268,default/pagerank-00001-deployment-669c956d7d-tx4jw,26.940845
I0415 07:42:11.132400,default/fastfouriertransform-00001-deployment-7f6c4dd4f-gskpv,28.170384
I0415 07:42:11.184933,default/graphgen-00001-deployment-f5bfdc858-fq44h,32.005705
I0415 07:42:11.255793,default/resnet-00001-deployment-5ccbb786c-r5b9l,25.111453
I0415 07:42:11.329086,default/genmatrix-00001-deployment-57fdd67855-97h6l,52.592336
I0415 07:42:11.472306,default/grayscale-00001-deployment-5875667469-vg8lq,53.213096
I0415 07:42:12.831199,default/matrixmul-00001-deployment-5975545bc-tvqv8,8.693405
I0415 07:42:14.846911,default/mobilenet-00001-deployment-69d9c64d47-ngmv5,12.152003
I0415 07:42:15.067683,default/linpack-00001-deployment-59cb5bb6f4-hw4zv,5.151694
I0415 07:42:16.902483,default/resnet-00001-deployment-5ccbb786c-plv5x,20.44424
I0415 07:42:16.903497,default/fetchdata-00001-deployment-95bdf5d98-hbhp4,23.623672
I0415 07:42:20.883624,default/pagerank-00001-deployment-669c956d7d-tsh2b,10.392019
I0415 07:44:17.025841,default/grayscale-00001-deployment-5875667469-k89jv,8.894923
I0415 07:48:00.938565,default/grayscale-00001-deployment-5875667469-8rv4b,18.146366
I0415 07:59:51.591490,default/fastfouriertransform-00001-deployment-7f6c4dd4f-p6h99,15.309615
I0415 07:59:51.622025,default/grayscale-00001-deployment-5875667469-t6jg7,10.482793
I0415 07:59:51.793969,default/genmatrix-00001-deployment-57fdd67855-6gtg8,7.40427
I0415 07:59:52.206097,default/pagerank-00001-deployment-669c956d7d-8swwz,13.71052
I0415 07:59:52.396872,default/resnet-00001-deployment-5ccbb786c-tlk5v,9.305643
I0415 07:59:52.599700,default/graphgen-00001-deployment-f5bfdc858-sxx4v,9.77107
I0415 07:59:54.395259,default/matrixmul-00001-deployment-5975545bc-26lvd,9.487607
I0415 07:59:55.473407,default/linpack-00001-deployment-59cb5bb6f4-52ws7,6.844103
I0415 07:59:56.003565,default/mobilenet-00001-deployment-69d9c64d47-q2l2q,11.616221
I0415 07:59:59.212026,default/fetchdata-00001-deployment-95bdf5d98-9l9wj,13.868076
I0415 08:01:58.881330,default/grayscale-00001-deployment-5875667469-fj85p,9.693329
I0415 08:05:43.022185,default/grayscale-00001-deployment-5875667469-xsqwk,6.227176
I0415 08:42:34.114200,default/fastfouriertransform-00001-deployment-7f6c4dd4f-9fj6r,5.130011
I0415 08:42:34.322413,default/grayscale-00001-deployment-5875667469-5cp46,17.471814
I0415 08:42:34.412597,default/genmatrix-00001-deployment-57fdd67855-w9r52,22.149676
I0415 08:42:34.789103,default/pagerank-00001-deployment-669c956d7d-p5ctn,6.088828
I0415 08:42:35.004106,default/resnet-00001-deployment-5ccbb786c-29mg7,10.16741
I0415 08:42:35.183403,default/graphgen-00001-deployment-f5bfdc858-d47nr,10.443022
I0415 08:42:37.000080,default/matrixmul-00001-deployment-5975545bc-bmsc8,20.74708
I0415 08:42:37.982128,default/linpack-00001-deployment-59cb5bb6f4-7g6dm,7.026922
I0415 08:42:38.588116,default/mobilenet-00001-deployment-69d9c64d47-wh9jp,10.822726
I0415 08:42:41.791477,default/fetchdata-00001-deployment-95bdf5d98-pdbh4,11.252709
I0415 08:42:54.867958,default/grayscale-00001-deployment-5875667469-dpjc7,34.794813
I0415 08:44:40.936664,default/grayscale-00001-deployment-5875667469-jh8nq,5.820827
I0415 08:48:25.244323,default/grayscale-00001-deployment-5875667469-crb2x,7.657867
I0415 08:52:59.300908,default/fastfouriertransform-00001-deployment-7f6c4dd4f-7khrc,7.090736
I0415 08:52:59.447030,default/grayscale-00001-deployment-5875667469-mk5db,8.923703
I0415 08:52:59.629013,default/genmatrix-00001-deployment-57fdd67855-wpnnw,11.022688
I0415 08:53:00.023405,default/pagerank-00001-deployment-669c956d7d-j95jm,11.927357
I0415 08:53:00.240801,default/resnet-00001-deployment-5ccbb786c-52jm6,27.509166
I0415 08:53:00.446141,default/graphgen-00001-deployment-f5bfdc858-hm6jp,24.009456
I0415 08:53:02.246404,default/matrixmul-00001-deployment-5975545bc-ncbkd,20.320948
I0415 08:53:03.220765,default/linpack-00001-deployment-59cb5bb6f4-cm594,7.63933
I0415 08:53:03.821105,default/mobilenet-00001-deployment-69d9c64d47-jqx88,5.979345
I0415 08:53:07.019033,default/fetchdata-00001-deployment-95bdf5d98-zpbdz,8.121127
I0415 08:55:07.244637,default/grayscale-00001-deployment-5875667469-5vg98,8.572239
I0415 08:58:50.849810,default/grayscale-00001-deployment-5875667469-jk86q,8.172424
I0415 09:05:26.255084,default/fastfouriertransform-00001-deployment-7f6c4dd4f-m9kgx,14.601084
I0415 09:05:26.424005,default/grayscale-00001-deployment-5875667469-t254s,10.796873
I0415 09:05:26.628390,default/genmatrix-00001-deployment-57fdd67855-h4qrx,12.404413
I0415 09:05:27.020047,default/pagerank-00001-deployment-669c956d7d-nn6pl,6.711606
I0415 09:05:27.254634,default/resnet-00001-deployment-5ccbb786c-m982m,12.317302
I0415 09:05:27.434788,default/graphgen-00001-deployment-f5bfdc858-z68lk,12.338283
I0415 09:05:29.277061,default/matrixmul-00001-deployment-5975545bc-d7c9d,22.333637
I0415 09:05:30.223301,default/linpack-00001-deployment-59cb5bb6f4-2tfr6,8.757369
I0415 09:05:30.827815,default/mobilenet-00001-deployment-69d9c64d47-x4slg,11.146688
I0415 09:05:34.019784,default/fetchdata-00001-deployment-95bdf5d98-zqz5x,10.579447
I0415 09:07:34.864300,default/grayscale-00001-deployment-5875667469-r89n2,7.909553
I0415 09:11:16.874363,default/grayscale-00001-deployment-5875667469-lpjmb,7.899979
I0415 09:14:08.732516,default/fastfouriertransform-00001-deployment-7f6c4dd4f-4vzsp,13.06573
I0415 09:14:08.762169,default/grayscale-00001-deployment-5875667469-bs7ml,7.726829
I0415 09:14:08.949165,default/genmatrix-00001-deployment-57fdd67855-d2rvv,9.891889
I0415 09:14:09.345514,default/pagerank-00001-deployment-669c956d7d-m6cr8,7.415422
I0415 09:14:09.541134,default/resnet-00001-deployment-5ccbb786c-j5zrq,7.404014
I0415 09:14:09.776485,default/graphgen-00001-deployment-f5bfdc858-klbkp,42.841177
I0415 09:14:11.567414,default/matrixmul-00001-deployment-5975545bc-m29z9,9.788259
I0415 09:14:12.542981,default/linpack-00001-deployment-59cb5bb6f4-pj4gf,9.375759
I0415 09:14:13.141005,default/mobilenet-00001-deployment-69d9c64d47-nrx25,8.93411
I0415 09:14:16.357425,default/fetchdata-00001-deployment-95bdf5d98-84wtc,26.08981
I0415 09:16:16.861236,default/grayscale-00001-deployment-5875667469-xttdp,12.161228
I0415 09:16:20.841469,default/grayscale-00001-deployment-5875667469-l7zs9,13.471749
