index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1588.3,0.008244,warm,200
1,grayscale,small,1467.3,0.016817,warm,200
2,genmatrix,small,2946.7,0.007953,cold,200
3,fastfouriertransform,large,2100.2,0.004937,cold,200
4,pagerank,small,2053.1,0.276151,cold,200
5,resnet,medium,3430.9,0.162963,cold,200
6,graphgen,small,2085.8,0.004195,cold,200
7,fastfouriertransform,small,1247.6,0.00506,warm,200
8,genmatrix,large,2716.0,0.000788,cold,200
9,resnet,small,4141.3,0.158947,cold,200
10,pagerank,small,1769.4,0.011764,warm,200
11,pagerank,medium,1834.2,0.049656,warm,200
12,genmatrix,medium,2582.6,0.000186,cold,200
13,resnet,medium,3781.9,0.129483,cold,200
14,graphgen,small,2196.8,0.002743,cold,200
15,matrixmul,medium,2216.4,0.540503,cold,200
16,grayscale,small,726.4,0.007037,warm,200
17,genmatrix,medium,2301.5,0.000223,cold,200
18,fastfouriertransform,small,708.0,0.005114,warm,200
19,matrixmul,small,1816.8,0.005063,warm,200
20,linpack,medium,2422.3,0.653753,cold,200
21,resnet,medium,2760.5,0.126435,cold,200
22,graphgen,large,1889.9,0.105498,warm,200
23,mobilenet,large,1541.1,0.031868,warm,200
24,fastfouriertransform,medium,1025.5,0.619585,warm,200
25,fastfouriertransform,large,982.0,0.005188,warm,200
26,grayscale,large,3157.7,2.714669,cold,200
27,resnet,medium,2707.2,0.119822,cold,200
28,resnet,small,2533.8,0.121465,cold,200
29,fastfouriertransform,small,794.0,0.00513,warm,200
30,genmatrix,medium,1603.3,0.000226,warm,200
31,fastfouriertransform,small,688.3,0.005229,warm,200
32,fastfouriertransform,medium,1509.3,0.623852,warm,200
33,grayscale,medium,2711.6,0.058937,cold,200
34,linpack,small,3066.6,0.005076,cold,200
35,linpack,medium,3004.8,0.686575,cold,200
36,genmatrix,large,1286.5,0.001883,warm,200
37,grayscale,large,18973.7,2.682035,cold,200
38,fastfouriertransform,large,982.0,0.00479,warm,200
39,fetchdata,large,1706.9,0.127634,warm,200
40,genmatrix,small,1108.9,0.000114,warm,200
41,mobilenet,medium,686.8,0.018637,warm,200
42,grayscale,large,18937.0,2.676204,cold,200
43,pagerank,small,132.5,0.010401,warm,200
44,linpack,small,2587.3,0.005051,cold,200
45,genmatrix,small,918.2,0.000116,warm,200
46,linpack,medium,1768.1,0.64205,warm,200
47,grayscale,small,1942.3,0.007273,warm,200
48,genmatrix,large,738.7,0.000967,warm,200
49,linpack,small,2310.6,0.005073,cold,200
50,mobilenet,medium,263.0,0.018125,warm,200
51,mobilenet,small,186.4,0.020698,warm,200
52,grayscale,small,1704.0,0.007368,warm,200
53,genmatrix,large,520.3,0.0008,warm,200
54,pagerank,large,410.4,0.291919,warm,200
55,grayscale,large,18449.0,2.691679,cold,200
56,resnet,medium,1505.0,0.122556,warm,200
57,resnet,medium,1340.7,0.122943,warm,200
58,linpack,small,1893.4,0.005045,warm,200
59,fetchdata,large,939.8,0.07622,warm,200
60,mobilenet,small,59.3,0.024314,warm,200
61,graphgen,small,55.0,0.002829,warm,200
62,fetchdata,large,701.6,0.07468,warm,200
63,fetchdata,large,581.0,0.075633,warm,200
64,matrixmul,large,16.5,0.005031,warm,200
65,fastfouriertransform,medium,632.8,0.61514,warm,200
66,matrixmul,large,19.7,0.005747,warm,200
67,mobilenet,large,24.7,0.018501,warm,200
68,grayscale,large,18171.6,2.695303,cold,200
69,graphgen,large,696.7,0.085663,warm,200
70,fastfouriertransform,large,388.1,0.004781,warm,200
71,pagerank,medium,65.1,0.043617,warm,200
72,linpack,small,1174.9,0.005046,warm,200
73,grayscale,medium,775.8,0.058764,warm,200
74,fetchdata,medium,266.7,0.076603,warm,200
75,graphgen,large,1209.2,0.064663,warm,200
76,grayscale,large,17676.6,2.675966,cold,200
77,fetchdata,large,194.5,0.07533,warm,200
78,fastfouriertransform,large,16.8,0.004871,warm,200
79,grayscale,large,17550.0,2.680597,cold,200
80,pagerank,large,430.7,0.285228,warm,200
81,genmatrix,small,6.3,0.000104,warm,200
82,linpack,small,681.2,0.005063,warm,200
83,pagerank,large,594.6,0.318652,warm,200
84,graphgen,large,839.1,0.064189,warm,200
85,linpack,medium,1195.3,0.649878,warm,200
86,graphgen,small,811.3,0.002743,warm,200
87,linpack,medium,1743.4,0.647126,warm,200
88,genmatrix,small,228.3,0.000106,warm,200
89,genmatrix,large,36.4,0.000802,warm,200
90,fastfouriertransform,small,18.0,0.004922,warm,200
91,mobilenet,small,23.9,0.019566,warm,200
92,pagerank,small,198.5,0.01031,warm,200
93,fetchdata,large,80.9,0.076903,warm,200
94,mobilenet,large,25.6,0.020619,warm,200
95,fetchdata,medium,82.3,0.077315,warm,200
96,pagerank,large,444.7,0.280288,warm,200
97,matrixmul,small,40.0,0.005007,warm,200
98,pagerank,large,777.9,0.295198,warm,200
99,genmatrix,large,53.2,0.000771,warm,200
100,grayscale,medium,15791.4,0.057611,cold,200
101,linpack,medium,1686.7,0.640234,warm,200
102,pagerank,medium,198.5,0.04608,warm,200
103,fastfouriertransform,small,22.6,0.006424,warm,200
104,genmatrix,small,5.1,0.000102,warm,200
105,linpack,small,1493.3,0.0051,warm,200
106,resnet,large,167.9,0.163703,warm,200
107,genmatrix,large,36.2,0.000776,warm,200
108,genmatrix,small,8.8,0.000115,warm,200
109,fastfouriertransform,large,21.5,0.004926,warm,200
110,graphgen,small,28.3,0.002853,warm,200
111,fastfouriertransform,small,23.3,0.005187,warm,200
112,linpack,small,1149.4,0.005078,warm,200
113,pagerank,small,153.6,0.010005,warm,200
114,grayscale,large,18147.6,2.687112,cold,200
115,mobilenet,small,22.1,0.017744,warm,200
116,pagerank,small,17.6,0.010294,warm,200
117,resnet,large,128.5,0.124349,warm,200
118,mobilenet,small,25.7,0.020972,warm,200
119,mobilenet,medium,26.2,0.021392,warm,200
120,genmatrix,small,5.2,0.000102,warm,200
121,fastfouriertransform,large,17.8,0.005121,warm,200
122,matrixmul,medium,537.0,0.521032,warm,200
123,matrixmul,medium,1027.2,0.536586,warm,200
124,mobilenet,large,30.5,0.025348,warm,200
125,graphgen,large,537.6,0.065966,warm,200
126,fastfouriertransform,small,19.2,0.005098,warm,200
127,matrixmul,large,863.1,0.00537,warm,200
128,linpack,small,356.2,0.005081,warm,200
129,genmatrix,small,6.4,0.00011,warm,200
130,genmatrix,large,35.6,0.000775,warm,200
131,mobilenet,small,28.0,0.021763,warm,200
132,matrixmul,small,616.4,0.005969,warm,200
133,grayscale,medium,14231.9,0.05731,cold,200
134,genmatrix,small,7.0,0.000122,warm,200
135,mobilenet,large,84.6,0.030639,warm,200
136,fastfouriertransform,small,24.0,0.005865,warm,200
137,pagerank,small,17.8,0.010037,warm,200
138,fastfouriertransform,small,24.2,0.006012,warm,200
139,fetchdata,medium,91.7,0.086192,warm,200
140,mobilenet,medium,53.8,0.04889,warm,200
141,genmatrix,medium,11.3,0.000208,warm,200
142,graphgen,small,26.5,0.00265,warm,200
143,matrixmul,small,41.6,0.005668,warm,200
144,matrixmul,medium,571.7,0.548587,warm,200
145,mobilenet,medium,21.9,0.018097,warm,200
146,matrixmul,large,482.9,0.005001,warm,200
147,pagerank,large,395.1,0.288951,warm,200
148,mobilenet,small,25.8,0.020367,warm,200
149,genmatrix,medium,9.1,0.000198,warm,200
150,genmatrix,small,4.9,0.000106,warm,200
151,resnet,large,126.6,0.11974,warm,200
152,pagerank,small,158.9,0.010101,warm,200
153,linpack,small,12.4,0.005077,warm,200
154,graphgen,large,550.6,0.06479,warm,200
155,mobilenet,large,24.0,0.017889,warm,200
156,pagerank,small,17.3,0.009834,warm,200
157,graphgen,large,877.0,0.066705,warm,200
158,fastfouriertransform,small,18.8,0.004969,warm,200
159,fastfouriertransform,large,17.5,0.004867,warm,200
160,fastfouriertransform,large,18.2,0.004937,warm,200
161,genmatrix,medium,9.7,0.0002,warm,200
162,fastfouriertransform,large,17.2,0.004879,warm,200
163,genmatrix,large,58.7,0.0008,warm,200
164,resnet,small,139.2,0.131361,warm,200
165,resnet,small,127.6,0.119203,warm,200
166,matrixmul,large,16.6,0.005174,warm,200
167,resnet,large,124.6,0.120505,warm,200
168,pagerank,medium,65.8,0.044939,warm,200
169,grayscale,small,22.2,0.014187,warm,200
170,linpack,small,18.1,0.005191,warm,200
171,grayscale,medium,74.1,0.057856,warm,200
172,fetchdata,large,92.4,0.087805,warm,200
173,grayscale,medium,72.6,0.05779,warm,200
174,linpack,small,15.3,0.006095,warm,200
175,graphgen,medium,112.7,0.012628,warm,200
176,resnet,large,139.7,0.13086,warm,200
177,fastfouriertransform,small,23.3,0.008442,warm,200
178,pagerank,small,67.2,0.011036,warm,200
179,pagerank,medium,73.2,0.044619,warm,200
180,fetchdata,medium,89.2,0.084848,warm,200
