function,status,duration_ms,upstream_ms
resnet,200,3468,3468
resnet,200,3192,3192
resnet,200,1160,1160
resnet,200,1391,1390
genmatrix,200,4125,4124
grayscale,200,4226,4218
genmatrix,200,2277,2270
genmatrix,200,3437,3413
grayscale,200,1687,1683
genmatrix,200,2794,2768
grayscale,200,1959,1956
grayscale,200,3510,3496
genmatrix,200,260,247
genmatrix,200,2526,2496
matrixmul,200,1031,1024
matrixmul,200,3393,3385
genmatrix,200,2107,2104
genmatrix,200,1710,1607
genmatrix,200,3765,3758
genmatrix,200,3967,3950
genmatrix,200,1969,1924
grayscale,200,2723,2717
resnet,200,3948,3947
genmatrix,200,5,4
grayscale,200,786,780
genmatrix,200,40,29
resnet,200,3278,3277
resnet,200,3759,3758
fastfouriertransform,200,4830,4827
fastfouriertransform,200,3588,3586
matrixmul,200,4113,4109
matrixmul,200,1674,1671
matrixmul,200,34,25
genmatrix,200,38,28
resnet,200,3753,3753
genmatrix,200,4,3
genmatrix,200,38,28
genmatrix,200,4,4
fastfouriertransform,200,4339,4337
fastfouriertransform,200,3645,3642
fastfouriertransform,200,2055,2052
fastfouriertransform,200,1052,1050
resnet,200,355,354
resnet,200,144,144
genmatrix,200,5,4
fetchdata,200,4114,4114
fastfouriertransform,200,14,11
fetchdata,200,2452,2452
fastfouriertransform,200,2965,2963
fastfouriertransform,200,1070,1067
fastfouriertransform,200,767,765
fastfouriertransform,200,2327,2325
fastfouriertransform,200,4790,4788
fetchdata,200,3100,3099
fastfouriertransform,200,4682,4681
fastfouriertransform,200,6102,6100
fetchdata,200,3232,3232
fetchdata,200,3469,3468
genmatrix,200,4,3
fetchdata,200,1749,1749
fastfouriertransform,200,218,7
genmatrix,200,38,29
fetchdata,200,1927,1927
fetchdata,200,2811,2811
matrixmul,200,589,572
genmatrix,200,5,4
fastfouriertransform,200,9,7
fastfouriertransform,200,5273,5272
fastfouriertransform,200,6529,6528
fastfouriertransform,200,5985,5983
fastfouriertransform,200,1340,1338
fastfouriertransform,200,10,8
fetchdata,200,82,81
genmatrix,200,8,7
matrixmul,200,1048,1035
matrixmul,200,870,853
matrixmul,200,623,610
matrixmul,200,85,82
matrixmul,200,15,12
genmatrix,200,9,7
genmatrix,200,13,9
linpack,200,3950,3947
linpack,200,3458,3456
resnet,200,143,143
fastfouriertransform,200,11,9
fastfouriertransform,200,9,7
matrixmul,200,773,560
fastfouriertransform,200,10,7
genmatrix,200,10,9
fastfouriertransform,200,10,7
genmatrix,200,51,42
linpack,200,3906,3894
matrixmul,200,33,18
resnet,200,161,161
mobilenet,200,7279,7279
resnet,200,187,187
mobilenet,200,2244,2243
mobilenet,200,2513,2513
mobilenet,200,1931,1930
mobilenet,200,1753,1753
mobilenet,200,1523,1522
mobilenet,200,1142,1141
resnet,200,205,199
mobilenet,200,1319,1319
mobilenet,200,842,842
mobilenet,200,6566,6565
mobilenet,200,6142,6142
mobilenet,200,6119,6119
fetchdata,200,86,86
pagerank,200,8491,8490
mobilenet,200,5704,5704
pagerank,200,6561,6560
pagerank,200,929,928
mobilenet,200,5382,5381
mobilenet,200,4211,4211
pagerank,200,4183,4183
mobilenet,200,2889,2888
pagerank,200,3155,3154
pagerank,200,3010,3009
mobilenet,200,3069,3069
pagerank,200,1973,1973
pagerank,200,1236,1236
mobilenet,200,4150,4149
pagerank,200,8349,8348
fastfouriertransform,200,20,6
pagerank,200,8348,8346
resnet,200,127,127
pagerank,200,3853,3850
linpack,200,7973,7971
pagerank,200,603,601
pagerank,200,125,124
fastfouriertransform,200,11,8
fetchdata,200,81,81
pagerank,200,170,167
fetchdata,200,80,80
graphgen,200,9082,9079
graphgen,200,8706,8703
fastfouriertransform,200,24,21
pagerank,200,6727,6717
fastfouriertransform,200,10,8
linpack,200,4610,4608
linpack,200,4415,4412
linpack,200,4071,4069
linpack,200,3276,3271
linpack,200,7982,7980
pagerank,200,4922,4908
mobilenet,200,31,30
resnet,200,213,213
linpack,200,21,8
pagerank,200,5939,5926
mobilenet,200,44,43
fastfouriertransform,200,70,65
fetchdata,200,81,81
linpack,200,8115,8112
matrixmul,200,313,296
matrixmul,200,572,544
pagerank,200,5559,5549
fetchdata,200,79,79
resnet,200,134,131
fetchdata,200,104,104
genmatrix,200,50,40
genmatrix,200,47,38
pagerank,200,3432,3422
pagerank,200,1525,1524
pagerank,200,1524,1520
pagerank,200,1342,1341
fetchdata,200,83,83
pagerank,200,7448,7446
resnet,200,168,166
matrixmul,200,18,15
pagerank,200,253,251
fetchdata,200,111,111
fetchdata,200,90,89
linpack,200,9393,9391
linpack,200,8249,8247
linpack,200,8955,8952
genmatrix,200,21,20
fetchdata,200,81,81
graphgen,200,4240,4226
genmatrix,200,5,4
pagerank,200,7332,7320
fastfouriertransform,200,673,670
mobilenet,200,83,82
genmatrix,200,7,6
genmatrix,200,14,9
pagerank,200,2490,2469
linpack,200,673,670
linpack,200,86,76
graphgen,200,6336,6323
linpack,200,7606,7552
linpack,200,9411,9409
graphgen,200,7567,7545
linpack,200,4220,4217
linpack,200,3376,3373
pagerank,200,86,59
fastfouriertransform,200,686,683
grayscale,200,2599,2596
graphgen,200,9002,8752
grayscale,200,2005,2003
grayscale,200,613,610
grayscale,200,182,168
resnet,200,138,137
linpack,200,3388,3386
graphgen,200,94,78
grayscale,200,2549,2528
grayscale,200,1648,1636
pagerank,200,478,469
resnet,200,195,195
linpack,200,725,715
fastfouriertransform,200,704,694
resnet,200,191,191
graphgen,200,3690,3657
grayscale,200,3262,2737
matrixmul,200,21,11
linpack,200,3501,3498
linpack,200,2908,2905
linpack,200,15,10
matrixmul,200,235,11
resnet,200,356,355
linpack,200,14,10
genmatrix,200,16,12
linpack,200,672,8
graphgen,200,3041,3033
graphgen,200,2966,2961
pagerank,200,428,350
fastfouriertransform,200,678,671
fastfouriertransform,200,242,233
graphgen,200,949,934
graphgen,200,2762,2757
graphgen,200,6713,5508
linpack,200,841,819
graphgen,200,8796,8110
graphgen,200,5153,2995
graphgen,200,9573,6944
graphgen,200,2715,2701
graphgen,200,9318,9110
fetchdata,200,79,79
graphgen,200,12026,8794
graphgen,200,2571,2548
graphgen,200,5487,3600
fetchdata,200,84,83
graphgen,200,1962,1943
matrixmul,200,527,524
matrixmul,200,489,479
matrixmul,200,326,321
resnet,200,152,152
matrixmul,200,291,280
matrixmul,200,167,155
matrixmul,200,15,12
graphgen,200,112,102
resnet,200,128,128
mobilenet,200,29,28
genmatrix,200,37,30
mobilenet,200,36,36
fetchdata,200,80,79
fastfouriertransform,200,27,21
genmatrix,200,5,4
resnet,200,188,180
graphgen,200,29,27
genmatrix,200,8,7
pagerank,200,347,328
linpack,200,738,722
mobilenet,200,61,61
resnet,200,142,142
resnet,200,169,168
fastfouriertransform,200,679,677
graphgen,200,29,26
fetchdata,200,91,91
fetchdata,200,79,78
pagerank,200,64,61
genmatrix,200,4,3
mobilenet,200,34,34
mobilenet,200,31,30
matrixmul,200,535,531
matrixmul,200,497,493
matrixmul,200,357,354
grayscale,200,2597,2593
grayscale,200,1575,1572
grayscale,200,1015,1013
mobilenet,200,43,42
grayscale,200,5271,5156
pagerank,200,123,55
resnet,200,260,260
mobilenet,200,22,21
graphgen,200,525,453
fetchdata,200,90,90
pagerank,200,426,406
mobilenet,200,27,27
genmatrix,200,8,7
pagerank,200,308,292
mobilenet,200,26,25
grayscale,200,47,25
grayscale,200,85,66
linpack,200,58,54
fastfouriertransform,200,20,9
grayscale,200,414,411
matrixmul,200,33,11
genmatrix,200,4,4
fetchdata,200,80,80
linpack,200,12,10
grayscale,200,3225,2849
mobilenet,200,51,50
graphgen,200,30,27
resnet,200,139,139
graphgen,200,126,111
matrixmul,200,534,523
genmatrix,200,9,8
genmatrix,200,9,7
linpack,200,44,14
matrixmul,200,857,851
pagerank,200,62,60
fetchdata,200,155,155
graphgen,200,375,126
graphgen,200,846,514
graphgen,200,26,24
resnet,200,126,126
pagerank,200,657,642
mobilenet,200,70,70
genmatrix,200,12,8
graphgen,200,130,117
matrixmul,200,1123,1109
matrixmul,200,1275,1170
pagerank,200,18,16
linpack,200,12,8
genmatrix,200,5,5
graphgen,200,53,31
fastfouriertransform,200,153,151
fastfouriertransform,200,13,9
matrixmul,200,1422,1090
matrixmul,200,1283,1279
fetchdata,200,134,133
matrixmul,200,928,923
linpack,200,694,691
matrixmul,200,1106,1095
genmatrix,200,20,18
grayscale,200,1765,1748
graphgen,200,582,468
fetchdata,200,200,200
fastfouriertransform,200,670,653
grayscale,200,124,114
grayscale,200,2941,2708
fetchdata,200,107,107
fastfouriertransform,200,36,25
resnet,200,164,163
graphgen,200,620,459
genmatrix,200,6,5
resnet,200,188,188
matrixmul,200,1323,1315
genmatrix,200,5,4
resnet,200,125,124
linpack,200,13,10
resnet,200,138,137
resnet,200,124,124
linpack,200,11,6
linpack,200,10,8
matrixmul,200,1683,1680
linpack,200,15,12
mobilenet,200,24,24
fetchdata,200,81,80
pagerank,200,401,387
fetchdata,200,109,109
mobilenet,200,53,52
pagerank,200,111,108
matrixmul,200,2154,2149
linpack,200,15,11
resnet,200,123,123
mobilenet,200,66,65
fastfouriertransform,200,664,662
mobilenet,200,38,38
resnet,200,145,145
linpack,200,10,8
graphgen,200,120,106
pagerank,200,634,403
mobilenet,200,50,50
matrixmul,200,1672,1665
matrixmul,200,1298,1295
genmatrix,200,4,4
fastfouriertransform,200,689,685
genmatrix,200,34,29
resnet,200,265,264
pagerank,200,16,15
mobilenet,200,73,73
mobilenet,200,75,74
graphgen,200,37,34
matrixmul,200,1621,1618
linpack,200,657,653
genmatrix,200,14,8
fetchdata,200,5089,5088
linpack,200,688,685
graphgen,200,579,503
fetchdata,200,4018,4018
resnet,200,140,137
mobilenet,200,61,60
pagerank,200,57,54
grayscale,200,16013,16002
grayscale,200,12571,12569
mobilenet,200,35,34
grayscale,200,2867,2863
genmatrix,200,13,11
grayscale,200,17238,11491
genmatrix,200,17,10
grayscale,200,18499,9949
linpack,200,262,252
fastfouriertransform,200,28,9
grayscale,200,19431,5319
grayscale,200,17918,17516
pagerank,200,396,367
matrixmul,200,1594,1373
fetchdata,200,84,83
grayscale,200,17667,14391
grayscale,200,388,332
genmatrix,200,67,32
mobilenet,200,61,60
grayscale,200,19463,7827
grayscale,200,3220,2781
fastfouriertransform,200,30,8
grayscale,200,8854,5563
resnet,200,161,160
grayscale,200,14,12
matrixmul,200,1350,1343
matrixmul,200,1058,1054
linpack,200,12,9
matrixmul,200,820,816
resnet,200,169,169
grayscale,200,8792,8117
pagerank,200,426,337
grayscale,200,15,12
grayscale,200,3187,2741
pagerank,200,20,18
grayscale,200,13,10
mobilenet,200,23,22
fetchdata,200,78,78
grayscale,200,83,65
mobilenet,200,21,20
grayscale,200,2899,2739
linpack,200,16,11
mobilenet,200,21,21
graphgen,200,125,97
graphgen,200,536,451
mobilenet,200,35,35
graphgen,200,26,23
grayscale,200,15,13
fetchdata,200,77,77
genmatrix,200,9,6
graphgen,200,622,546
pagerank,200,57,54
resnet,200,132,132
resnet,200,473,473
pagerank,200,109,106
mobilenet,200,68,68
grayscale,200,2426,2421
resnet,200,205,205
fastfouriertransform,200,766,758
fastfouriertransform,200,14,11
resnet,200,149,149
genmatrix,200,8,7
fastfouriertransform,200,9,7
genmatrix,200,4,3
pagerank,200,15,14
fetchdata,200,77,76
matrixmul,200,521,518
grayscale,200,12,10
genmatrix,200,12,8
graphgen,200,519,453
resnet,200,159,159
mobilenet,200,25,24
grayscale,200,17169,17136
genmatrix,200,23,10
grayscale,200,15307,15300
grayscale,200,22577,22383
genmatrix,200,11,7
grayscale,200,15264,15257
fastfouriertransform,200,10,7
resnet,200,157,157
matrixmul,200,525,522
genmatrix,200,35,30
fetchdata,200,78,78
graphgen,200,25,22
fetchdata,200,77,77
mobilenet,200,21,20
mobilenet,200,20,20
resnet,200,123,123
mobilenet,200,32,31
fastfouriertransform,200,10,7
linpack,200,10,8
graphgen,200,108,95
fastfouriertransform,200,10,8
pagerank,200,326,307
matrixmul,200,519,514
resnet,200,125,125
graphgen,200,30,27
mobilenet,200,49,49
mobilenet,200,36,35
matrixmul,200,14,11
fetchdata,200,77,77
mobilenet,200,23,23
mobilenet,200,22,22
graphgen,200,517,448
linpack,200,21,10
fastfouriertransform,200,10,8
matrixmul,200,14,11
mobilenet,200,97,96
graphgen,200,108,94
pagerank,200,15,14
matrixmul,200,542,534
matrixmul,200,15,12
pagerank,200,59,56
genmatrix,200,57,48
linpack,200,15,6
mobilenet,200,31,31
mobilenet,200,30,29
grayscale,200,6029,2843
genmatrix,200,8,7
linpack,200,719,716
pagerank,200,17,16
fastfouriertransform,200,641,639
mobilenet,200,21,21
fastfouriertransform,200,650,640
grayscale,200,196,152
pagerank,200,15,14
resnet,200,125,125
fetchdata,200,77,77
pagerank,200,67,62
grayscale,200,935,918
grayscale,200,4760,3751
fastfouriertransform,200,77,67
grayscale,200,21032,20889
fastfouriertransform,200,17,12
fetchdata,200,79,79
mobilenet,200,22,20
genmatrix,200,21,10
grayscale,200,121,95
pagerank,200,16,15
matrixmul,200,15,11
grayscale,200,2397,2393
graphgen,200,802,453
grayscale,200,2852,2708
resnet,200,129,128
fetchdata,200,81,81
grayscale,200,3098,2735
linpack,200,14,10
fastfouriertransform,200,622,613
grayscale,200,94,86
mobilenet,200,45,44
mobilenet,200,40,39
mobilenet,200,28,28
resnet,200,200,200
linpack,200,15,13
mobilenet,200,22,22
pagerank,200,108,105
genmatrix,200,38,28
genmatrix,200,36,30
matrixmul,200,60,56
matrixmul,200,16,12
linpack,200,15,10
mobilenet,200,28,27
graphgen,200,26,23
fetchdata,200,77,77
linpack,200,18,6
mobilenet,200,21,20
grayscale,200,5496,2738
pagerank,200,57,54
grayscale,200,4824,4645
mobilenet,200,29,29
pagerank,200,349,332
fetchdata,200,79,79
matrixmul,200,541,538
linpack,200,64,61
matrixmul,200,14,11
linpack,200,9,7
pagerank,200,57,54
fetchdata,200,375,375
mobilenet,200,26,26
graphgen,200,546,497
fastfouriertransform,200,11,9
fastfouriertransform,200,25,23
fetchdata,200,90,90
fastfouriertransform,200,614,611
graphgen,200,149,133
graphgen,200,110,99
matrixmul,200,24,13
genmatrix,200,37,28
matrixmul,200,16,13
grayscale,200,2391,2369
graphgen,200,763,702
fetchdata,200,95,95
fastfouriertransform,200,647,644
fetchdata,200,84,84
grayscale,200,510,507
genmatrix,200,17,13
resnet,200,130,130
fastfouriertransform,200,688,685
grayscale,200,5021,4869
genmatrix,200,9,8
resnet,200,178,177
resnet,200,124,124
linpack,200,652,649
pagerank,200,22,20
graphgen,200,128,96
grayscale,200,2880,2788
grayscale,200,288,277
grayscale,200,3512,2815
linpack,200,22,9
matrixmul,200,15,12
grayscale,200,10,9
grayscale,200,105,82
fastfouriertransform,200,10,7
matrixmul,200,14,11
linpack,200,14,11
grayscale,200,33,26
fastfouriertransform,200,708,659
mobilenet,200,70,70
matrixmul,200,521,518
genmatrix,200,43,34
linpack,200,14,12
grayscale,200,2072,2071
genmatrix,200,50,29
grayscale,200,3888,3777
fastfouriertransform,200,15,12
fetchdata,200,93,93
matrixmul,200,520,516
graphgen,200,537,476
mobilenet,200,71,70
graphgen,200,147,126
graphgen,200,572,450
resnet,200,124,123
fetchdata,200,93,92
matrixmul,200,15,11
genmatrix,200,4,3
pagerank,200,105,102
grayscale,200,69,61
linpack,200,10,7
mobilenet,200,50,50
matrixmul,200,21,16
pagerank,200,333,323
fetchdata,200,88,87
linpack,200,14,10
matrixmul,200,14,11
linpack,200,41,39
matrixmul,200,15,12
linpack,200,11,8
genmatrix,200,9,7
pagerank,200,80,77
fastfouriertransform,200,9,7
mobilenet,200,21,21
resnet,200,138,138
fastfouriertransform,200,670,667
grayscale,200,1441,1421
grayscale,200,2867,2734
fetchdata,200,96,95
mobilenet,200,28,26
matrixmul,200,227,14
fastfouriertransform,200,21,14
graphgen,200,145,101
graphgen,200,546,452
pagerank,200,15,15
linpack,200,11,8
pagerank,200,60,55
resnet,200,142,142
fetchdata,200,93,93
grayscale,200,10,9
linpack,200,10,7
resnet,200,127,127
mobilenet,200,28,27
genmatrix,200,8,7
matrixmul,200,561,555
fastfouriertransform,200,11,7
linpack,200,11,7
linpack,200,10,8
genmatrix,200,4,3
grayscale,200,2162,2159
grayscale,200,2830,2710
mobilenet,200,51,51
genmatrix,200,38,28
fastfouriertransform,200,741,739
grayscale,200,3448,2826
genmatrix,200,4,3
resnet,200,127,127
graphgen,200,114,99
fastfouriertransform,200,10,7
resnet,200,131,130
genmatrix,200,36,28
genmatrix,200,4,3
matrixmul,200,542,538
linpack,200,12,9
grayscale,200,10,9
resnet,200,133,133
fetchdata,200,93,93
fastfouriertransform,200,22,7
grayscale,200,2834,2749
graphgen,200,26,23
genmatrix,200,36,28
graphgen,200,115,98
linpack,200,14,8
graphgen,200,26,23
fetchdata,200,87,87
matrixmul,200,14,11
fastfouriertransform,200,10,8
mobilenet,200,21,21
pagerank,200,21,21
mobilenet,200,20,20
resnet,200,153,152
graphgen,200,26,23
pagerank,200,130,127
mobilenet,200,20,20
pagerank,200,376,365
matrixmul,200,14,11
fastfouriertransform,200,608,605
mobilenet,200,29,29
grayscale,200,5457,2717
grayscale,200,5852,5733
fastfouriertransform,200,631,628
resnet,200,160,159
resnet,200,128,127
grayscale,200,68,62
resnet,200,123,123
grayscale,200,1690,1667
matrixmul,200,159,11
genmatrix,200,12,11
fastfouriertransform,200,713,711
fastfouriertransform,200,521,514
fastfouriertransform,200,621,613
mobilenet,200,20,20
fastfouriertransform,200,193,191
mobilenet,200,22,22
pagerank,200,344,329
matrixmul,200,16,13
linpack,200,659,656
grayscale,200,3904,3805
grayscale,200,76,60
pagerank,200,460,447
mobilenet,200,21,21
grayscale,200,4653,4029
fastfouriertransform,200,10,7
fetchdata,200,124,124
fastfouriertransform,200,24,22
linpack,200,10,7
pagerank,200,15,14
matrixmul,200,527,518
matrixmul,200,731,516
pagerank,200,56,53
fastfouriertransform,200,613,610
resnet,200,124,124
linpack,200,9,7
matrixmul,200,15,11
grayscale,200,5051,4978
graphgen,200,113,97
linpack,200,16,9
resnet,200,129,129
genmatrix,200,4,3
fastfouriertransform,200,669,667
mobilenet,200,21,21
resnet,200,125,125
pagerank,200,59,55
fastfouriertransform,200,621,618
matrixmul,200,14,11
resnet,200,127,126
pagerank,200,15,14
grayscale,200,11,10
resnet,200,128,128
fetchdata,200,86,86
linpack,200,10,7
grayscale,200,65,60
resnet,200,410,410
fetchdata,200,89,89
matrixmul,200,19,16
fastfouriertransform,200,633,631
fastfouriertransform,200,741,739
resnet,200,147,147
graphgen,200,37,35
fetchdata,200,88,88
pagerank,200,15,15
mobilenet,200,27,27
fetchdata,200,92,91
grayscale,200,2851,2706
linpack,200,23,11
graphgen,200,26,23
resnet,200,126,126
fetchdata,200,78,78
matrixmul,200,518,515
mobilenet,200,26,26
genmatrix,200,35,29
graphgen,200,543,458
resnet,200,376,375
resnet,200,128,126
grayscale,200,15,13
genmatrix,200,8,7
matrixmul,200,517,513
matrixmul,200,277,272
fastfouriertransform,200,679,677
graphgen,200,25,22
matrixmul,200,551,547
grayscale,200,12,10
resnet,200,125,125
fetchdata,200,78,78
grayscale,200,68,60
fastfouriertransform,200,13,10
fastfouriertransform,200,639,636
pagerank,200,381,362
mobilenet,200,33,33
matrixmul,200,15,12
fetchdata,200,78,78
genmatrix,200,34,28
linpack,200,10,7
matrixmul,200,14,11
graphgen,200,113,100
graphgen,200,111,95
pagerank,200,406,390
resnet,200,125,124
pagerank,200,403,384
resnet,200,151,151
graphgen,200,108,96
fetchdata,200,78,78
mobilenet,200,43,42
linpack,200,10,8
matrixmul,200,15,12
genmatrix,200,8,7
pagerank,200,20,19
fastfouriertransform,200,673,667
matrixmul,200,532,529
resnet,200,145,145
linpack,200,10,7
linpack,200,9,7
fastfouriertransform,200,10,8
fastfouriertransform,200,622,620
fastfouriertransform,200,13,10
