index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,4629.5,0.005309,cold,200
1,grayscale,small,3094.2,0.016861,cold,200
2,genmatrix,small,2789.8,0.006295,cold,200
3,fastfouriertransform,large,4022.5,0.007127,cold,200
4,pagerank,small,3652.5,0.255142,cold,200
5,resnet,medium,3796.4,0.142104,cold,200
6,graphgen,small,3173.5,0.004151,cold,200
7,fastfouriertransform,small,3239.9,0.004923,cold,200
8,genmatrix,large,1636.5,0.000857,warm,200
9,resnet,small,3249.2,0.123982,cold,200
10,pagerank,small,2467.1,0.010778,cold,200
11,pagerank,medium,2361.4,0.045516,cold,200
12,genmatrix,medium,796.3,0.000206,warm,200
13,resnet,medium,2635.6,0.186049,cold,200
14,graphgen,small,1592.7,0.002741,warm,200
15,matrixmul,medium,4699.2,0.506623,cold,200
16,grayscale,small,103.3,0.007602,warm,200
17,genmatrix,medium,9.8,0.000207,warm,200
18,fastfouriertransform,small,1034.6,0.004986,warm,200
19,matrixmul,small,3911.2,0.004997,cold,200
20,linpack,medium,3650.6,0.647423,cold,200
21,resnet,medium,723.5,0.124412,warm,200
22,graphgen,large,566.0,0.097858,warm,200
23,mobilenet,large,1815.5,0.036856,warm,200
24,fastfouriertransform,medium,674.3,0.661052,warm,200
25,fastfouriertransform,large,445.6,0.004831,warm,200
26,grayscale,large,2908.9,2.71681,cold,200
27,resnet,medium,126.8,0.121871,warm,200
28,resnet,small,126.3,0.121585,warm,200
29,fastfouriertransform,small,21.4,0.004943,warm,200
30,genmatrix,medium,10.0,0.000208,warm,200
31,fastfouriertransform,small,21.3,0.004898,warm,200
32,fastfouriertransform,medium,632.2,0.610388,warm,200
33,grayscale,medium,1482.2,0.078367,warm,200
34,linpack,small,857.5,0.00506,warm,200
35,linpack,medium,1298.0,0.638376,warm,200
36,genmatrix,large,50.7,0.00107,warm,200
37,grayscale,large,3532.7,2.689973,cold,200
38,fastfouriertransform,large,18.7,0.004906,warm,200
39,fetchdata,large,3198.3,0.128894,cold,200
40,genmatrix,small,8.4,0.000179,warm,200
41,mobilenet,medium,25.7,0.018481,warm,200
42,grayscale,large,5288.3,2.707724,cold,200
