index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,2748.2,0.007159,cold,200
1,grayscale,small,4486.4,0.027769,cold,200
2,genmatrix,small,3824.5,0.008301,cold,200
3,fastfouriertransform,large,3128.1,0.004867,cold,200
4,pagerank,small,4437.1,0.272598,cold,200
5,resnet,medium,7360.0,0.154004,cold,200
6,graphgen,small,3742.9,0.004197,cold,200
7,fastfouriertransform,small,2734.4,0.0049,cold,200
8,genmatrix,large,3270.1,0.000872,cold,200
9,resnet,small,8003.8,0.158292,cold,200
10,pagerank,small,3866.8,0.01017,cold,200
11,pagerank,medium,3860.8,0.046756,cold,200
12,genmatrix,medium,2919.7,0.000206,cold,200
13,resnet,medium,6739.1,0.168197,cold,200
14,graphgen,small,3484.5,0.003818,cold,200
15,matrixmul,medium,3224.1,0.51569,cold,200
16,grayscale,small,2999.0,0.007143,cold,200
17,genmatrix,medium,2332.9,0.000215,cold,200
18,fastfouriertransform,small,954.6,0.005271,warm,200
19,matrixmul,small,2834.7,0.004958,cold,200
20,linpack,medium,2610.3,0.66604,cold,200
21,resnet,medium,6643.9,0.126272,cold,200
22,graphgen,large,2691.8,0.106701,cold,200
23,mobilenet,large,3627.8,0.029195,cold,200
24,fastfouriertransform,medium,1001.6,0.646579,warm,200
25,fastfouriertransform,large,922.2,0.004887,warm,200
26,grayscale,large,10538.1,2.730987,cold,200
27,resnet,medium,5916.0,0.153238,cold,200
28,resnet,small,5536.4,0.128535,cold,200
29,fastfouriertransform,small,509.7,0.005113,warm,200
30,genmatrix,medium,1123.1,0.000207,warm,200
31,fastfouriertransform,small,316.8,0.005178,warm,200
32,fastfouriertransform,medium,851.6,0.614728,warm,200
33,grayscale,medium,1362.5,0.058393,warm,200
34,linpack,small,1858.1,0.005061,warm,200
35,linpack,medium,1752.6,0.640501,warm,200
36,genmatrix,large,500.8,0.000796,warm,200
37,grayscale,large,6592.1,2.712959,cold,200
38,fastfouriertransform,large,256.7,0.004821,warm,200
39,fetchdata,large,2052.3,0.141957,cold,200
40,genmatrix,small,126.8,0.000111,warm,200
41,mobilenet,medium,1847.1,0.017683,warm,200
42,grayscale,large,8888.3,2.707799,cold,200
43,pagerank,small,558.5,0.010924,warm,200
44,linpack,small,872.2,0.005045,warm,200
45,genmatrix,small,8.2,0.000136,warm,200
46,linpack,medium,1321.2,0.648297,warm,200
47,grayscale,small,8219.1,0.010282,cold,200
48,genmatrix,large,46.2,0.000808,warm,200
49,linpack,small,335.1,0.005087,warm,200
