timestamp,pod,scheduling_time_ms
I0416 09:31:51.580561,default/fastfouriertransform-00001-deployment-7f6c4dd4f-kkw54,16.160883
I0416 09:31:52.764350,default/genmatrix-00001-deployment-57fdd67855-g8gdx,10.109637
I0416 09:31:52.913851,default/linpack-00001-deployment-59cb5bb6f4-ktkrz,143.81543
I0416 09:31:52.936463,default/graphgen-00001-deployment-f5bfdc858-nnmgq,34.147676
I0416 09:31:52.993130,default/grayscale-00001-deployment-5875667469-5v7l8,78.009025
I0416 09:31:53.148183,default/matrixmul-00001-deployment-5975545bc-xtqlh,126.693027
I0416 09:31:53.213371,default/pagerank-00001-deployment-669c956d7d-rjbrw,23.041982
I0416 09:31:53.361746,default/resnet-00001-deployment-5ccbb786c-k7glj,38.883419
I0416 09:31:54.853167,default/fetchdata-00001-deployment-95bdf5d98-cnbht,40.466977
I0416 09:31:54.967152,default/mobilenet-00001-deployment-69d9c64d47-zd7qd,110.969163
I0416 09:31:56.753602,default/resnet-00001-deployment-5ccbb786c-5hhbv,7.062784
I0416 09:31:59.056805,default/grayscale-00001-deployment-5875667469-s9x4m,7.466487
I0416 09:32:02.754901,default/grayscale-00001-deployment-5875667469-tx5b6,7.811581
I0416 09:33:59.247288,default/grayscale-00001-deployment-5875667469-vlh4s,7.552971
I0416 09:34:02.754520,default/grayscale-00001-deployment-5875667469-s82cl,10.048935
I0416 09:42:26.629361,default/fastfouriertransform-00001-deployment-7f6c4dd4f-fwwvr,24.390107
I0416 09:42:26.664716,default/grayscale-00001-deployment-5875667469-ht6fj,25.378535
I0416 09:42:26.791042,default/genmatrix-00001-deployment-57fdd67855-9cxm2,34.386473
I0416 09:42:26.972680,default/pagerank-00001-deployment-669c956d7d-d9qff,46.967268
I0416 09:42:27.136044,default/resnet-00001-deployment-5ccbb786c-wzk8j,28.461927
I0416 09:42:27.258969,default/graphgen-00001-deployment-f5bfdc858-r64bm,28.064519
I0416 09:42:28.020359,default/matrixmul-00001-deployment-5975545bc-x5q8g,14.060816
I0416 09:42:28.516732,default/linpack-00001-deployment-59cb5bb6f4-t7sgt,13.128925
I0416 09:42:28.888378,default/mobilenet-00001-deployment-69d9c64d47-d2d7f,28.835928
I0416 09:42:30.414596,default/fetchdata-00001-deployment-95bdf5d98-dlmlm,7.292028
I0416 09:42:36.820019,default/grayscale-00001-deployment-5875667469-xs8mx,47.221528
I0416 09:44:34.777075,default/grayscale-00001-deployment-5875667469-ftg5s,10.072199
I0416 09:44:38.757133,default/grayscale-00001-deployment-5875667469-578k2,13.954464
I0416 09:52:03.420872,default/fastfouriertransform-00001-deployment-7f6c4dd4f-bnw2h,8.579884
I0416 09:52:03.449193,default/grayscale-00001-deployment-5875667469-2pk4b,18.396454
I0416 09:52:03.575968,default/genmatrix-00001-deployment-57fdd67855-kvgvb,28.724692
I0416 09:52:03.786670,default/pagerank-00001-deployment-669c956d7d-w7kh4,15.056708
I0416 09:52:03.879790,default/resnet-00001-deployment-5ccbb786c-dd6df,10.884368
I0416 09:52:04.037671,default/graphgen-00001-deployment-f5bfdc858-fmk4c,18.324602
I0416 09:52:04.839276,default/matrixmul-00001-deployment-5975545bc-756fn,8.215772
I0416 09:52:05.324373,default/linpack-00001-deployment-59cb5bb6f4-6lbxr,6.363047
I0416 09:52:05.775051,default/mobilenet-00001-deployment-69d9c64d47-prfmc,38.442854
I0416 09:52:07.224436,default/fetchdata-00001-deployment-95bdf5d98-hzhwd,9.742533
I0416 09:52:12.757920,default/grayscale-00001-deployment-5875667469-ndp5w,10.185923
I0416 09:52:16.754940,default/grayscale-00001-deployment-5875667469-c9qrh,10.56283
I0416 09:54:10.874173,default/grayscale-00001-deployment-5875667469-ljbh7,7.678808
I0416 09:54:14.808988,default/grayscale-00001-deployment-5875667469-k8mjn,16.174192
I0416 10:00:10.326268,default/fastfouriertransform-00001-deployment-7f6c4dd4f-gq6tq,6.395845
I0416 10:00:10.505406,default/grayscale-00001-deployment-5875667469-vk89j,38.010032
I0416 10:00:10.603087,default/genmatrix-00001-deployment-57fdd67855-b7jws,14.709415
I0416 10:00:10.738057,default/pagerank-00001-deployment-669c956d7d-gkchr,10.713315
I0416 10:00:10.859044,default/resnet-00001-deployment-5ccbb786c-mkx6m,15.981918
I0416 10:00:10.935508,default/graphgen-00001-deployment-f5bfdc858-47hwq,24.595877
I0416 10:00:11.830038,default/matrixmul-00001-deployment-5975545bc-7bsrt,20.518759
I0416 10:00:12.430603,default/linpack-00001-deployment-59cb5bb6f4-6ddzv,34.816415
I0416 10:00:12.718917,default/mobilenet-00001-deployment-69d9c64d47-vl5s5,37.661457
I0416 10:00:14.199634,default/fetchdata-00001-deployment-95bdf5d98-trsbf,9.148313
I0416 10:00:20.748167,default/grayscale-00001-deployment-5875667469-r8gq4,6.40466
I0416 10:01:24.822619,default/grayscale-00001-deployment-5875667469-kdtk5,24.613895
I0416 10:02:54.907819,default/grayscale-00001-deployment-5875667469-r95qh,5.659843
I0416 10:07:11.851180,default/fastfouriertransform-00001-deployment-7f6c4dd4f-cgk9f,13.213818
I0416 10:07:11.924312,default/grayscale-00001-deployment-5875667469-5vlc9,16.363065
I0416 10:07:12.016522,default/genmatrix-00001-deployment-57fdd67855-hggl2,11.194149
I0416 10:07:12.238084,default/pagerank-00001-deployment-669c956d7d-jgvjq,25.244172
I0416 10:07:12.387235,default/resnet-00001-deployment-5ccbb786c-svbg9,53.267054
I0416 10:07:12.533815,default/graphgen-00001-deployment-f5bfdc858-g64cz,26.824342
I0416 10:07:13.282087,default/matrixmul-00001-deployment-5975545bc-pplbn,6.421011
I0416 10:07:13.869558,default/linpack-00001-deployment-59cb5bb6f4-wv7xf,24.073411
I0416 10:07:14.115968,default/mobilenet-00001-deployment-69d9c64d47-k5cjg,15.733472
I0416 10:07:15.698438,default/fetchdata-00001-deployment-95bdf5d98-xpbpg,12.509503
I0416 10:07:20.759325,default/grayscale-00001-deployment-5875667469-xjfhx,7.496865
I0416 10:08:26.792697,default/grayscale-00001-deployment-5875667469-lb4xd,6.172714
I0416 10:09:54.776123,default/grayscale-00001-deployment-5875667469-mnkwx,7.020234
I0416 10:14:04.938951,default/grayscale-00001-deployment-5875667469-jxs8n,17.212177
I0416 10:14:04.949197,default/fastfouriertransform-00001-deployment-7f6c4dd4f-z6c5q,28.498232
I0416 10:14:05.039058,default/genmatrix-00001-deployment-57fdd67855-k7fqw,11.861093
I0416 10:14:05.231514,default/pagerank-00001-deployment-669c956d7d-djb7f,10.056479
I0416 10:14:05.336483,default/resnet-00001-deployment-5ccbb786c-bh4bj,13.309151
I0416 10:14:05.491616,default/graphgen-00001-deployment-f5bfdc858-m72zk,15.701471
I0416 10:14:06.371327,default/matrixmul-00001-deployment-5975545bc-vwv4r,20.456256
I0416 10:14:06.902005,default/linpack-00001-deployment-59cb5bb6f4-7gmp9,85.849919
I0416 10:14:07.144208,default/mobilenet-00001-deployment-69d9c64d47-vcmmj,14.386005
I0416 10:14:08.717334,default/fetchdata-00001-deployment-95bdf5d98-jq5r7,7.360975
I0416 10:14:14.793027,default/grayscale-00001-deployment-5875667469-ch2j8,26.105043
I0416 10:15:20.779524,default/grayscale-00001-deployment-5875667469-m8j7k,9.820405
I0416 10:16:49.241801,default/grayscale-00001-deployment-5875667469-6vpd7,5.687621
I0416 10:23:20.629673,default/fastfouriertransform-00001-deployment-7f6c4dd4f-6q6p7,20.988923
I0416 10:23:20.648703,default/grayscale-00001-deployment-5875667469-x256r,14.022467
I0416 10:23:20.755383,default/genmatrix-00001-deployment-57fdd67855-6ckp2,9.554811
I0416 10:23:20.976439,default/pagerank-00001-deployment-669c956d7d-6fhmv,15.650803
I0416 10:23:21.150507,default/resnet-00001-deployment-5ccbb786c-s7jjx,20.995757
I0416 10:23:21.248051,default/graphgen-00001-deployment-f5bfdc858-82rng,13.085948
I0416 10:23:22.032040,default/matrixmul-00001-deployment-5975545bc-phpc7,16.851972
I0416 10:23:22.538906,default/linpack-00001-deployment-59cb5bb6f4-p465t,20.87846
I0416 10:23:22.838512,default/mobilenet-00001-deployment-69d9c64d47-btg5l,15.05208
I0416 10:23:24.426687,default/fetchdata-00001-deployment-95bdf5d98-cdljn,9.615275
I0416 10:23:30.762167,default/grayscale-00001-deployment-5875667469-wpf6z,14.069264
I0416 10:24:34.799190,default/grayscale-00001-deployment-5875667469-dfn8p,8.406792
I0416 10:26:04.778313,default/grayscale-00001-deployment-5875667469-qn9q7,6.565881
