function,status,duration_ms,upstream_ms
mobilenet,200,2533,2533
mobilenet,200,2291,2290
mobilenet,200,2327,2327
mobilenet,200,2255,2255
mobilenet,200,2217,2217
grayscale,200,2888,2880
mobilenet,200,1978,1978
mobilenet,200,2000,1999
mobilenet,200,2565,2565
grayscale,200,178,151
grayscale,200,2458,2454
grayscale,200,2829,2821
grayscale,200,2528,2496
resnet,200,2957,2956
grayscale,200,2695,2688
resnet,200,2894,2892
mobilenet,200,22,22
matrixmul,200,3074,3071
pagerank,200,3188,3187
matrixmul,200,3048,3045
pagerank,200,2308,2308
matrixmul,200,2607,2603
mobilenet,200,21,20
pagerank,200,2827,2825
matrixmul,200,2595,2590
matrixmul,200,2212,2204
mobilenet,200,27,27
mobilenet,200,26,23
graphgen,200,3256,3254
pagerank,200,3218,3216
pagerank,200,317,316
graphgen,200,2736,2733
pagerank,200,155,155
resnet,200,3070,3070
mobilenet,200,23,23
pagerank,200,3285,3283
mobilenet,200,22,22
pagerank,200,2737,2735
pagerank,200,675,672
linpack,200,3324,3321
resnet,200,2950,2948
pagerank,200,70,70
mobilenet,200,24,23
genmatrix,200,3600,3599
genmatrix,200,3226,3225
genmatrix,200,2760,2750
genmatrix,200,3293,3282
genmatrix,200,2788,2777
resnet,200,3120,3118
genmatrix,200,3586,3560
genmatrix,200,3537,3511
fastfouriertransform,200,3711,3708
genmatrix,200,3361,3324
mobilenet,200,39,38
genmatrix,200,796,773
mobilenet,200,43,42
genmatrix,200,857,856
genmatrix,200,3222,3216
genmatrix,200,3303,3297
genmatrix,200,3489,3486
mobilenet,200,29,28
matrixmul,200,542,538
genmatrix,200,2765,2759
genmatrix,200,2924,2916
genmatrix,200,314,311
resnet,200,3780,3780
pagerank,200,2819,2797
genmatrix,200,511,509
genmatrix,200,896,882
genmatrix,200,3824,3805
genmatrix,200,574,572
genmatrix,200,666,664
genmatrix,200,574,564
genmatrix,200,207,206
graphgen,200,3173,3109
genmatrix,200,211,211
genmatrix,200,13,9
genmatrix,200,37,31
mobilenet,200,37,34
resnet,200,3888,3888
mobilenet,200,32,32
linpack,200,3256,3252
resnet,200,4037,4037
pagerank,200,3358,3335
graphgen,200,3422,3413
matrixmul,200,1089,1079
matrixmul,200,1027,1022
graphgen,200,1361,1359
matrixmul,200,1017,1014
fastfouriertransform,200,4024,4020
fastfouriertransform,200,3991,3989
matrixmul,200,759,755
matrixmul,200,421,413
fetchdata,200,4198,4198
