timestamp,podautoscaler,reconcile_time_ms
2026-04-20T10:45:58.895858083Z,default/genmatrix-00001,299.839348
2026-04-20T10:45:58.907562299Z,default/graphgen-00001,310.717287
2026-04-20T10:45:58.94719702Z,default/grayscale-00001,51.291641
2026-04-20T10:45:58.994939903Z,default/matrixmul-00001,87.335511
2026-04-20T10:45:59.070840309Z,default/mobilenet-00001,123.596956
2026-04-20T10:45:59.210083534Z,default/resnet-00001,215.095502
2026-04-20T10:45:59.216857957Z,default/linpack-00001,145.95724
2026-04-20T10:45:59.43175244Z,default/fastfouriertransform-00001,221.619165
2026-04-20T10:45:59.451726282Z,default/pagerank-00001,234.822973
2026-04-20T10:46:00.655272558Z,default/fetchdata-00001,57.843229
2026-04-20T10:46:00.677914139Z,default/genmatrix-00001,82.512921
2026-04-20T10:46:00.804518463Z,default/grayscale-00001,126.547565
2026-04-20T10:46:00.810576201Z,default/graphgen-00001,155.241754
2026-04-20T10:46:00.997790735Z,default/mobilenet-00001,193.22055
2026-04-20T10:46:01.10648318Z,default/resnet-00001,295.852756
2026-04-20T10:46:01.399079716Z,default/fastfouriertransform-00001,401.238166
2026-04-20T10:46:01.710310909Z,default/linpack-00001,603.769044
2026-04-20T10:46:01.779393671Z,default/pagerank-00001,380.24151
2026-04-20T10:46:01.839732899Z,default/grayscale-00001,128.741731
2026-04-20T10:46:01.903252959Z,default/graphgen-00001,123.808733
2026-04-20T10:46:01.950485343Z,default/matrixmul-00001,110.706647
2026-04-20T10:46:02.02299325Z,default/resnet-00001,72.45913
2026-04-20T10:46:02.054681678Z,default/mobilenet-00001,151.377219
2026-04-20T10:46:02.10321195Z,default/fastfouriertransform-00001,80.1527
2026-04-20T10:46:02.123861439Z,default/linpack-00001,69.126094
2026-04-20T10:46:02.158669718Z,default/genmatrix-00001,55.410101
2026-04-20T10:46:02.234141791Z,default/graphgen-00001,75.425795
2026-04-20T10:46:02.250556893Z,default/grayscale-00001,126.125343
2026-04-20T10:46:02.291036947Z,default/pagerank-00001,40.05635
2026-04-20T10:46:02.306142661Z,default/fastfouriertransform-00001,70.967667
2026-04-20T10:46:02.336514461Z,default/pagerank-00001,1.159277
2026-04-20T10:46:02.624791888Z,default/fetchdata-00001,72.131723
2026-04-20T10:46:02.710067066Z,default/grayscale-00001,113.515498
2026-04-20T10:46:02.715569323Z,default/genmatrix-00001,90.722805
2026-04-20T10:46:02.817433604Z,default/linpack-00001,101.819578
2026-04-20T10:46:03.006964322Z,default/fetchdata-00001,189.462348
2026-04-20T10:46:03.138382848Z,default/fastfouriertransform-00001,428.268411
2026-04-20T10:46:03.245438608Z,default/grayscale-00001,227.218791
2026-04-20T10:46:03.360834716Z,default/graphgen-00001,65.142596
2026-04-20T10:46:03.557721671Z,default/linpack-00001,1.610851
2026-04-20T10:46:03.611630847Z,default/genmatrix-00001,94.255766
2026-04-20T10:46:03.731272583Z,default/fastfouriertransform-00001,120.702309
2026-04-20T10:46:03.862378349Z,default/linpack-00001,29.106411
2026-04-20T10:46:04.11989894Z,default/pagerank-00001,83.079328
2026-04-20T10:46:04.181713945Z,default/fastfouriertransform-00001,79.3372
2026-04-20T10:46:04.421291656Z,default/mobilenet-00001,28.88567
2026-04-20T10:46:04.668223419Z,default/pagerank-00001,67.565947
2026-04-20T10:46:04.673608472Z,default/resnet-00001,75.277128
2026-04-20T10:46:04.988944811Z,default/fetchdata-00001,320.498059
2026-04-20T10:46:05.021664794Z,default/graphgen-00001,347.989063
2026-04-20T10:46:05.404725043Z,default/grayscale-00001,415.682861
2026-04-20T10:46:05.444807041Z,default/matrixmul-00001,423.074747
2026-04-20T10:46:05.780072443Z,default/fastfouriertransform-00001,375.298752
2026-04-20T10:46:05.781163795Z,default/pagerank-00001,1.040833
2026-04-20T10:46:05.89664681Z,default/linpack-00001,451.789083
2026-04-20T10:46:05.899671938Z,default/graphgen-00001,1.982776
2026-04-20T10:46:05.996923296Z,default/resnet-00001,215.73102
2026-04-20T10:46:06.094813134Z,default/grayscale-00001,1.000907
2026-04-20T10:46:06.10401513Z,default/genmatrix-00001,204.297766
2026-04-20T10:46:06.105085888Z,default/genmatrix-00001,1.021129
2026-04-20T10:46:06.107953442Z,default/matrixmul-00001,1.517369
2026-04-20T10:46:06.248198352Z,default/linpack-00001,139.513687
2026-04-20T10:46:06.298675086Z,default/fastfouriertransform-00001,151.998497
2026-04-20T10:46:06.300414937Z,default/grayscale-00001,1.673054
2026-04-20T10:46:06.458479134Z,default/linpack-00001,209.600504
2026-04-20T10:46:06.470023535Z,default/fastfouriertransform-00001,169.579135
2026-04-20T10:46:06.544429867Z,default/grayscale-00001,85.877734
2026-04-20T10:46:06.824392558Z,default/linpack-00001,224.181589
2026-04-20T10:46:06.856330745Z,default/grayscale-00001,259.615904
2026-04-20T10:46:06.858393373Z,default/grayscale-00001,1.974036
2026-04-20T10:46:07.123549071Z,default/resnet-00001,161.410047
2026-04-20T10:46:08.000165734Z,default/pagerank-00001,233.966066
2026-04-20T10:46:08.091625705Z,default/matrixmul-00001,1.041166
2026-04-20T10:46:08.212634717Z,default/grayscale-00001,124.50464
2026-04-20T10:46:08.258941268Z,default/graphgen-00001,96.773839
2026-04-20T10:46:08.517238209Z,default/fetchdata-00001,137.775818
2026-04-20T10:46:08.532990016Z,default/fastfouriertransform-00001,96.867913
2026-04-20T10:46:08.594832392Z,default/linpack-00001,3.94348
2026-04-20T10:46:08.712417109Z,default/matrixmul-00001,92.661489
2026-04-20T10:46:08.751357164Z,default/resnet-00001,125.717732
2026-04-20T10:46:08.815382816Z,default/matrixmul-00001,1.326444
2026-04-20T10:46:08.818299314Z,default/resnet-00001,1.734221
2026-04-20T10:46:08.842956172Z,default/grayscale-00001,130.466859
2026-04-20T10:46:09.488244638Z,default/linpack-00001,504.453556
2026-04-20T10:46:09.538321519Z,default/linpack-00001,1.07374
2026-04-20T10:46:09.750120911Z,default/matrixmul-00001,249.758817
2026-04-20T10:46:09.92616658Z,default/grayscale-00001,1.502592
2026-04-20T10:46:09.971428001Z,default/matrixmul-00001,1.055851
2026-04-20T10:46:10.235736977Z,default/grayscale-00001,1.258221
2026-04-20T10:46:10.293032503Z,default/linpack-00001,536.596022
2026-04-20T10:46:10.297403649Z,default/linpack-00001,4.305572
2026-04-20T10:46:10.592084368Z,default/grayscale-00001,117.697162
2026-04-20T10:46:10.989906034Z,default/grayscale-00001,393.207983
2026-04-20T10:46:11.798852452Z,default/grayscale-00001,1.072629
2026-04-20T10:46:12.222005513Z,default/grayscale-00001,1.189611
2026-04-20T10:46:12.428789943Z,default/resnet-00001,3.875091
2026-04-20T10:46:12.527338245Z,default/matrixmul-00001,1925.1354000000001
2026-04-20T10:46:12.92491454Z,default/matrixmul-00001,397.507277
2026-04-20T10:46:13.603471728Z,default/resnet-00001,678.49567
2026-04-20T10:46:14.289334283Z,default/matrixmul-00001,685.804554
2026-04-20T10:46:14.290101116Z,default/grayscale-00001,1680.852358
2026-04-20T10:46:15.090565204Z,default/resnet-00001,801.177902
2026-04-20T10:46:15.208693476Z,default/matrixmul-00001,918.566139
2026-04-20T10:46:15.402448729Z,default/matrixmul-00001,193.014216
2026-04-20T10:46:15.997689959Z,default/grayscale-00001,907.070088
2026-04-20T10:46:16.416128243Z,default/grayscale-00001,1.072574
2026-04-20T10:46:16.930399663Z,default/grayscale-00001,502.627
2026-04-20T10:46:17.686417996Z,default/matrixmul-00001,1.231721
2026-04-20T10:46:18.045168626Z,default/grayscale-00001,1114.7175920000002
2026-04-20T10:46:18.046565866Z,default/grayscale-00001,1.344259
2026-04-20T10:46:18.277077524Z,default/grayscale-00001,1.485018
2026-04-20T10:46:18.284039928Z,default/grayscale-00001,1.600481
2026-04-20T10:46:18.355362299Z,default/grayscale-00001,1.501147
2026-04-20T10:46:19.292960148Z,default/grayscale-00001,696.329121
2026-04-20T10:46:19.333665146Z,default/matrixmul-00001,1285.9447619999999
2026-04-20T10:46:19.482013921Z,default/grayscale-00001,188.99181
2026-04-20T10:46:19.719501798Z,default/grayscale-00001,237.248359
2026-04-20T10:46:19.843230901Z,default/grayscale-00001,123.653714
2026-04-20T10:46:19.854737154Z,default/grayscale-00001,1.71448
2026-04-20T10:46:20.589461015Z,default/grayscale-00001,222.222404
2026-04-20T10:46:20.736888328Z,default/grayscale-00001,137.462632
2026-04-20T10:46:21.236844292Z,default/grayscale-00001,334.234234
2026-04-20T10:46:21.411832331Z,default/grayscale-00001,174.799502
2026-04-20T10:46:21.564642177Z,default/grayscale-00001,152.624291
2026-04-20T10:46:21.720811671Z,default/grayscale-00001,156.099012
2026-04-20T10:46:22.253873469Z,default/grayscale-00001,1.27137
2026-04-20T10:46:22.715243619Z,default/grayscale-00001,111.829035
2026-04-20T10:46:23.011906854Z,default/grayscale-00001,2.103351
2026-04-20T10:46:24.477807484Z,default/grayscale-00001,230.793676
2026-04-20T10:46:24.780329012Z,default/grayscale-00001,302.464325
2026-04-20T10:46:24.78205627Z,default/grayscale-00001,1.667591
2026-04-20T10:46:25.212392029Z,default/grayscale-00001,7.953662
2026-04-20T10:46:25.448293443Z,default/grayscale-00001,137.786225
2026-04-20T10:46:25.863022654Z,default/grayscale-00001,33.142076
2026-04-20T10:47:02.632191302Z,default/fastfouriertransform-00001,30.980984
2026-04-20T10:47:02.717684849Z,default/fastfouriertransform-00001,72.814942
2026-04-20T10:47:02.777235947Z,default/fastfouriertransform-00001,59.499987
2026-04-20T10:47:02.80046662Z,default/fastfouriertransform-00001,23.185173
2026-04-20T10:47:04.629527904Z,default/fetchdata-00001,34.61763
2026-04-20T10:47:04.641108546Z,default/mobilenet-00001,43.278514
2026-04-20T10:47:04.720564559Z,default/pagerank-00001,90.993989
2026-04-20T10:47:04.817384434Z,default/genmatrix-00001,176.23185
2026-04-20T10:47:04.893049653Z,default/graphgen-00001,172.435852
2026-04-20T10:47:05.085692124Z,default/resnet-00001,268.262357
2026-04-20T10:47:05.214237537Z,default/fastfouriertransform-00001,321.144144
2026-04-20T10:47:05.283650741Z,default/fetchdata-00001,197.915765
2026-04-20T10:47:05.371015046Z,default/mobilenet-00001,156.73462
2026-04-20T10:47:05.382446243Z,default/pagerank-00001,98.748707
2026-04-20T10:47:05.405434361Z,default/graphgen-00001,22.93571
2026-04-20T10:47:05.422175537Z,default/genmatrix-00001,51.116028
2026-04-20T10:47:05.449391115Z,default/resnet-00001,43.913384
2026-04-20T10:47:05.467986105Z,default/fastfouriertransform-00001,34.789204
2026-04-20T10:47:06.642132904Z,default/resnet-00001,43.715125
2026-04-20T10:47:06.670449426Z,default/linpack-00001,67.200705
2026-04-20T10:47:06.734258577Z,default/linpack-00001,63.743707
2026-04-20T10:47:06.755471492Z,default/resnet-00001,72.955053
2026-04-20T10:47:06.783544162Z,default/linpack-00001,49.223196
2026-04-20T10:47:08.627795862Z,default/linpack-00001,27.856003
2026-04-20T10:47:08.664322083Z,default/linpack-00001,27.869411
2026-04-20T10:47:12.631479645Z,default/matrixmul-00001,33.162723
2026-04-20T10:47:12.738338865Z,default/matrixmul-00001,86.923583
2026-04-20T10:47:12.800035092Z,default/matrixmul-00001,61.637948
2026-04-20T10:47:12.861550207Z,default/matrixmul-00001,61.467448
2026-04-20T10:47:14.655854467Z,default/grayscale-00001,59.071228
2026-04-20T10:47:14.660235483Z,default/matrixmul-00001,60.162468
2026-04-20T10:47:14.81745225Z,default/grayscale-00001,158.265841
2026-04-20T10:47:14.973560463Z,default/matrixmul-00001,188.939769
2026-04-20T10:47:15.075130982Z,default/grayscale-00001,257.628362
2026-04-20T10:47:15.091039603Z,default/matrixmul-00001,117.430734
2026-04-20T10:47:15.504419715Z,default/grayscale-00001,429.245066
2026-04-20T10:47:16.629028796Z,default/grayscale-00001,31.57952
2026-04-20T10:47:16.70055848Z,default/grayscale-00001,47.488308
2026-04-20T10:47:16.796802798Z,default/grayscale-00001,96.199911
2026-04-20T10:47:16.823947839Z,default/grayscale-00001,27.089875
2026-04-20T10:47:18.635334828Z,default/grayscale-00001,38.675331
2026-04-20T10:47:18.691863557Z,default/grayscale-00001,45.008198
2026-04-20T10:47:20.629846791Z,default/grayscale-00001,33.010186
2026-04-20T10:47:20.676422266Z,default/grayscale-00001,29.929169
2026-04-20T10:47:24.635186612Z,default/grayscale-00001,36.772832
2026-04-20T10:47:24.690739138Z,default/grayscale-00001,39.514423
2026-04-20T10:47:24.724267675Z,default/grayscale-00001,30.302243
2026-04-20T10:47:24.938230374Z,default/genmatrix-00001,1.07937
2026-04-20T10:47:26.609826045Z,default/genmatrix-00001,14.476307
2026-04-20T10:47:26.614553302Z,default/graphgen-00001,18.489453
2026-04-20T10:47:26.626120536Z,default/matrixmul-00001,16.245602
2026-04-20T10:47:26.629190053Z,default/mobilenet-00001,14.592733
2026-04-20T10:47:26.645100785Z,default/fetchdata-00001,18.937194
2026-04-20T10:47:26.64875795Z,default/fastfouriertransform-00001,19.525379
2026-04-20T10:47:26.666447866Z,default/pagerank-00001,17.647269
2026-04-20T10:47:26.669845198Z,default/linpack-00001,24.700097
2026-04-20T10:47:26.692719389Z,default/genmatrix-00001,26.2318
2026-04-20T10:47:26.696415517Z,default/graphgen-00001,26.52793
2026-04-20T10:47:26.731328702Z,default/mobilenet-00001,34.871592
2026-04-20T10:47:26.769877292Z,default/matrixmul-00001,77.125051
2026-04-20T10:47:26.892342837Z,default/fastfouriertransform-00001,122.436508
2026-04-20T10:47:26.923770264Z,default/fetchdata-00001,192.418248
2026-04-20T10:47:26.980818511Z,default/linpack-00001,57.025191
2026-04-20T10:47:26.982814955Z,default/pagerank-00001,90.451821
2026-04-20T10:47:27.122073472Z,default/graphgen-00001,141.232257
2026-04-20T10:47:27.148024069Z,default/genmatrix-00001,165.184596
2026-04-20T10:47:27.216672624Z,default/mobilenet-00001,94.54106
2026-04-20T10:47:27.248023496Z,default/matrixmul-00001,99.941298
2026-04-20T10:47:27.28547518Z,default/fastfouriertransform-00001,68.748167
2026-04-20T10:47:27.289968399Z,default/graphgen-00001,4.440794
2026-04-20T10:47:27.335521375Z,default/genmatrix-00001,87.443675
2026-04-20T10:47:27.408882113Z,default/mobilenet-00001,73.308646
2026-04-20T10:47:27.410102964Z,default/pagerank-00001,120.096917
2026-04-20T10:47:27.476490558Z,default/matrixmul-00001,66.334667
2026-04-20T10:47:27.497324009Z,default/fetchdata-00001,88.385674
2026-04-20T10:47:27.502093174Z,default/genmatrix-00001,4.717442
2026-04-20T10:47:27.524416939Z,default/fastfouriertransform-00001,47.878363
2026-04-20T10:47:27.528353956Z,default/mobilenet-00001,3.888739
2026-04-20T10:47:27.544032725Z,default/pagerank-00001,41.905662
2026-04-20T10:47:27.548868741Z,default/matrixmul-00001,4.780924
2026-04-20T10:47:27.552993146Z,default/fetchdata-00001,4.092757
2026-04-20T10:47:27.557014088Z,default/fastfouriertransform-00001,3.986257
2026-04-20T10:47:27.56037142Z,default/pagerank-00001,3.327387
2026-04-20T10:47:27.575662189Z,default/linpack-00001,47.278252
2026-04-20T10:47:27.579422632Z,default/linpack-00001,3.710368
2026-04-20T10:47:28.0619435Z,default/fastfouriertransform-00001,4.302627
2026-04-20T10:47:28.270282536Z,default/fetchdata-00001,4.576071
2026-04-20T10:47:28.57140665Z,default/linpack-00001,4.205165
2026-04-20T10:47:28.619616476Z,default/resnet-00001,18.381416
2026-04-20T10:47:28.631161785Z,default/grayscale-00001,33.758981
2026-04-20T10:47:28.645685536Z,default/resnet-00001,26.015449
2026-04-20T10:47:28.689958679Z,default/grayscale-00001,38.855405
2026-04-20T10:47:28.759595141Z,default/resnet-00001,39.259257
2026-04-20T10:47:28.764511861Z,default/resnet-00001,4.865275
2026-04-20T10:47:28.781972351Z,default/resnet-00001,4.558164
2026-04-20T10:47:28.836856155Z,default/resnet-00001,44.692939
2026-04-20T10:47:28.840754727Z,default/resnet-00001,3.847572
2026-04-20T10:47:29.103021362Z,default/linpack-00001,3.664943
2026-04-20T10:47:29.59996563Z,default/genmatrix-00001,4.229165
2026-04-20T10:47:29.6003855Z,default/graphgen-00001,3.876942
2026-04-20T10:47:29.61418016Z,default/matrixmul-00001,3.453554
2026-04-20T10:47:29.618857602Z,default/mobilenet-00001,3.544757
2026-04-20T10:47:29.633731927Z,default/fetchdata-00001,6.676052
2026-04-20T10:47:29.636024796Z,default/fastfouriertransform-00001,6.354812
2026-04-20T10:47:29.650701418Z,default/linpack-00001,4.185664
2026-04-20T10:47:29.654028583Z,default/pagerank-00001,4.625794
2026-04-20T10:47:30.518201299Z,default/resnet-00001,4.205071
2026-04-20T10:47:30.634115866Z,default/mobilenet-00001,4.291738
2026-04-20T10:47:30.66528809Z,default/linpack-00001,4.406183
2026-04-20T10:47:30.93842422Z,default/pagerank-00001,4.250832
