timestamp,pod,scheduling_time_ms
I0420 10:45:58.980293,default/graphgen-00001-deployment-f5bfdc858-gr4kb,30.630761
I0420 10:45:58.996768,default/genmatrix-00001-deployment-57fdd67855-p6k26,42.767442
I0420 10:45:59.114659,default/matrixmul-00001-deployment-5975545bc-f87cm,34.800194
I0420 10:45:59.121856,default/grayscale-00001-deployment-5875667469-sf2bp,39.52689
I0420 10:45:59.228126,default/mobilenet-00001-deployment-69d9c64d47-p8nt5,94.833648
I0420 10:45:59.425744,default/resnet-00001-deployment-5ccbb786c-blqkn,88.038392
I0420 10:45:59.595105,default/linpack-00001-deployment-59cb5bb6f4-9swn9,81.826976
I0420 10:45:59.656290,default/fastfouriertransform-00001-deployment-7f6c4dd4f-sfwpr,134.380576
I0420 10:45:59.730881,default/pagerank-00001-deployment-669c956d7d-8wzpw,48.75932
I0420 10:46:00.719799,default/fetchdata-00001-deployment-95bdf5d98-7tmnv,25.904842
I0420 10:46:00.836914,default/fetchdata-00001-deployment-95bdf5d98-p5tcx,72.346471
I0420 10:46:00.941833,default/genmatrix-00001-deployment-57fdd67855-8msjf,170.894269
I0420 10:46:01.067838,default/grayscale-00001-deployment-5875667469-9wprh,114.264386
I0420 10:46:01.109844,default/graphgen-00001-deployment-f5bfdc858-lq4kh,154.324467
I0420 10:46:01.465929,default/resnet-00001-deployment-5ccbb786c-ls925,169.424901
I0420 10:46:01.468454,default/mobilenet-00001-deployment-69d9c64d47-56r9w,191.993987
I0420 10:46:01.923234,default/linpack-00001-deployment-59cb5bb6f4-7t9jx,156.004262
I0420 10:46:01.965361,default/fastfouriertransform-00001-deployment-7f6c4dd4f-97tqt,73.484631
I0420 10:46:02.130449,default/fastfouriertransform-00001-deployment-7f6c4dd4f-stm8v,25.716007
I0420 10:46:02.348856,default/pagerank-00001-deployment-669c956d7d-vvghw,8.900629
I0420 10:46:02.983937,default/genmatrix-00001-deployment-57fdd67855-wt5n8,44.570091
I0420 10:46:02.988176,default/grayscale-00001-deployment-5875667469-kp6rs,83.76233
I0420 10:46:03.386549,default/linpack-00001-deployment-59cb5bb6f4-wkmxm,43.077131
I0420 10:46:03.592265,default/fastfouriertransform-00001-deployment-7f6c4dd4f-tl4w9,75.384261
I0420 10:46:04.857620,default/resnet-00001-deployment-5ccbb786c-48zkk,138.238319
I0420 10:46:04.913876,default/pagerank-00001-deployment-669c956d7d-tmplx,140.842512
I0420 10:46:05.547594,default/graphgen-00001-deployment-f5bfdc858-2nfpw,253.752478
I0420 10:46:05.744138,default/matrixmul-00001-deployment-5975545bc-j6xhz,137.764518
I0420 10:46:05.800225,default/fetchdata-00001-deployment-95bdf5d98-7dtw4,187.51107
I0420 10:46:06.031601,default/grayscale-00001-deployment-5875667469-jftks,69.54033
I0420 10:46:06.179732,default/linpack-00001-deployment-59cb5bb6f4-jwcr8,45.910419
I0420 10:46:06.242756,default/fastfouriertransform-00001-deployment-7f6c4dd4f-ngf8c,52.125966
I0420 10:46:07.205868,default/linpack-00001-deployment-59cb5bb6f4-hpr5w,142.702884
I0420 10:46:07.593214,default/grayscale-00001-deployment-5875667469-xbxmn,170.89425
I0420 10:46:07.767581,default/grayscale-00001-deployment-5875667469-smxf2,112.735037
I0420 10:46:08.842885,default/matrixmul-00001-deployment-5975545bc-24gfs,27.548951
I0420 10:46:08.855007,default/resnet-00001-deployment-5ccbb786c-q99nw,29.757308
I0420 10:46:08.975992,default/resnet-00001-deployment-5ccbb786c-ks95s,62.800946
I0420 10:46:09.529212,default/matrixmul-00001-deployment-5975545bc-4ht7d,563.362421
I0420 10:46:09.577125,default/grayscale-00001-deployment-5875667469-699ms,142.324029
I0420 10:46:09.633489,default/grayscale-00001-deployment-5875667469-nsqss,73.978654
I0420 10:46:11.263878,default/grayscale-00001-deployment-5875667469-zwp8v,26.139937
I0420 10:46:11.398735,default/matrixmul-00001-deployment-5975545bc-t27vs,123.999839
I0420 10:46:11.638362,default/matrixmul-00001-deployment-5975545bc-hzx8m,164.366163
I0420 10:46:12.235931,default/grayscale-00001-deployment-5875667469-ssn7p,472.800152
I0420 10:46:13.004493,default/grayscale-00001-deployment-5875667469-wlwsf,1943.523387
I0420 10:46:15.684992,default/matrixmul-00001-deployment-5975545bc-7zn4n,139.939355
