index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1867.1,0.006426,warm,200
1,grayscale,small,2868.1,0.017519,cold,200
2,genmatrix,small,1531.5,0.006244,warm,200
3,fastfouriertransform,large,18.8,0.00493,warm,200
4,pagerank,small,2344.0,0.2681,cold,200
5,resnet,medium,3101.5,0.146279,cold,200
6,graphgen,small,2159.2,0.004889,cold,200
7,fastfouriertransform,small,21.3,0.007766,warm,200
8,genmatrix,large,43.6,0.001176,warm,200
9,resnet,small,134.0,0.129139,warm,200
10,pagerank,small,26.0,0.016713,warm,200
11,pagerank,medium,131.0,0.057403,warm,200
12,genmatrix,medium,12.9,0.000291,warm,200
13,resnet,medium,157.7,0.152639,warm,200
14,graphgen,small,26.4,0.002767,warm,200
15,matrixmul,medium,3035.8,0.504542,cold,200
16,grayscale,small,17.9,0.011024,warm,200
17,genmatrix,medium,13.0,0.000313,warm,200
18,fastfouriertransform,small,21.1,0.007858,warm,200
19,matrixmul,small,16.6,0.004974,warm,200
20,linpack,medium,2714.0,1.027162,cold,200
21,resnet,medium,144.7,0.139707,warm,200
22,graphgen,large,553.4,0.129939,warm,200
23,mobilenet,large,2616.7,0.039536,cold,200
24,fastfouriertransform,medium,669.2,0.656692,warm,200
25,fastfouriertransform,large,17.0,0.004993,warm,200
26,grayscale,large,2825.5,2.711742,cold,200
27,resnet,medium,150.0,0.144407,warm,200
28,resnet,small,123.2,0.118623,warm,200
29,fastfouriertransform,small,23.4,0.007684,warm,200
30,genmatrix,medium,10.7,0.000201,warm,200
31,fastfouriertransform,small,22.5,0.004923,warm,200
32,fastfouriertransform,medium,619.8,0.603268,warm,200
33,grayscale,medium,68.8,0.057764,warm,200
34,linpack,small,16.1,0.008058,warm,200
35,linpack,medium,1036.3,1.02754,warm,200
36,genmatrix,large,51.5,0.001171,warm,200
37,grayscale,large,2850.8,2.73594,cold,200
38,fastfouriertransform,large,21.8,0.00765,warm,200
39,fetchdata,large,2774.4,0.169432,cold,200
40,genmatrix,small,5.3,0.000112,warm,200
41,mobilenet,medium,48.1,0.043218,warm,200
42,grayscale,large,2819.7,2.706618,cold,200
43,pagerank,small,18.5,0.009903,warm,200
44,linpack,small,15.5,0.008046,warm,200
45,genmatrix,small,7.1,0.000165,warm,200
46,linpack,medium,1036.8,1.028113,warm,200
47,grayscale,small,12.2,0.006838,warm,200
48,genmatrix,large,36.5,0.000799,warm,200
49,linpack,small,15.2,0.008141,warm,200
50,mobilenet,medium,26.2,0.018681,warm,200
51,mobilenet,small,22.0,0.017617,warm,200
52,grayscale,small,12.4,0.006906,warm,200
53,genmatrix,large,51.7,0.0012,warm,200
54,pagerank,large,369.1,0.274014,warm,200
55,grayscale,large,2814.2,2.702485,cold,200
