index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1482.4,0.008319,warm,200
1,grayscale,small,1635.9,0.006912,warm,200
2,genmatrix,small,2128.5,0.007926,cold,200
3,fastfouriertransform,large,1981.4,0.005363,warm,200
4,pagerank,small,2288.9,0.287101,cold,200
5,resnet,medium,2181.7,0.257781,cold,200
6,graphgen,small,2061.3,0.004184,cold,200
7,fastfouriertransform,small,1788.4,0.0053,warm,200
8,genmatrix,large,1898.9,0.00081,warm,200
9,resnet,small,2955.8,0.119053,cold,200
10,pagerank,small,2001.8,0.010498,cold,200
11,pagerank,medium,2058.4,0.044407,cold,200
12,genmatrix,medium,1718.4,0.000229,warm,200
13,resnet,medium,2280.8,0.1416,cold,200
14,graphgen,small,2179.8,0.002724,cold,200
15,matrixmul,medium,4333.2,0.506144,cold,200
16,grayscale,small,873.1,0.018853,warm,200
17,genmatrix,medium,1387.4,0.000267,warm,200
18,fastfouriertransform,small,590.6,0.005109,warm,200
19,matrixmul,small,4157.7,0.005627,cold,200
20,linpack,medium,2727.4,1.032209,cold,200
21,resnet,medium,1576.2,0.192549,warm,200
22,graphgen,large,1791.6,0.10109,warm,200
23,mobilenet,large,1868.8,0.051772,warm,200
24,fastfouriertransform,medium,913.8,0.621322,warm,200
25,fastfouriertransform,large,869.3,0.005055,warm,200
26,grayscale,large,3264.6,2.686453,cold,200
27,resnet,medium,1406.6,0.128245,warm,200
28,resnet,small,2124.6,0.118691,cold,200
29,fastfouriertransform,small,675.3,0.004954,warm,200
30,genmatrix,medium,821.7,0.000221,warm,200
31,fastfouriertransform,small,596.1,0.005329,warm,200
32,fastfouriertransform,medium,1183.3,0.636794,warm,200
33,grayscale,medium,101.5,0.058405,warm,200
34,linpack,small,4111.4,0.008001,cold,200
35,linpack,medium,3005.9,1.025217,cold,200
36,genmatrix,large,470.6,0.00101,warm,200
37,grayscale,large,5541.6,2.684361,cold,200
38,fastfouriertransform,large,890.0,0.004835,warm,200
39,fetchdata,large,1913.3,0.124764,warm,200
40,genmatrix,small,297.7,0.000153,warm,200
41,mobilenet,medium,1009.6,0.018065,warm,200
42,grayscale,large,19095.7,2.725782,cold,200
43,pagerank,small,365.8,0.009974,warm,200
44,linpack,small,3603.1,0.008138,cold,200
45,genmatrix,small,64.6,0.000138,warm,200
46,linpack,medium,3466.4,1.026934,cold,200
47,grayscale,small,2140.2,0.011683,cold,200
48,genmatrix,large,37.7,0.000795,warm,200
49,linpack,small,3338.9,0.008067,cold,200
50,mobilenet,medium,582.2,0.021818,warm,200
51,mobilenet,small,488.9,0.019783,warm,200
52,grayscale,small,1907.7,0.010178,warm,200
53,genmatrix,large,39.3,0.000772,warm,200
54,pagerank,large,365.2,0.269841,warm,200
55,grayscale,large,18543.5,2.687494,cold,200
56,resnet,medium,350.9,0.250448,warm,200
57,resnet,medium,433.9,0.130482,warm,200
58,linpack,small,3942.6,0.008077,cold,200
59,fetchdata,large,1145.0,0.076868,warm,200
60,mobilenet,small,102.5,0.018703,warm,200
61,graphgen,small,26.3,0.002837,warm,200
62,fetchdata,large,1084.0,0.075992,warm,200
63,fetchdata,large,883.2,0.075792,warm,200
64,matrixmul,large,1893.8,0.005094,warm,200
65,fastfouriertransform,medium,623.8,0.61103,warm,200
66,matrixmul,large,1282.6,0.005614,warm,200
67,mobilenet,large,22.8,0.018405,warm,200
68,grayscale,large,17942.5,2.6878,cold,200
69,graphgen,large,495.8,0.063725,warm,200
70,fastfouriertransform,large,379.8,0.004836,warm,200
71,pagerank,medium,62.3,0.043185,warm,200
72,linpack,small,3282.8,0.007974,cold,200
73,grayscale,medium,928.8,0.069024,warm,200
74,fetchdata,medium,241.5,0.075494,warm,200
75,graphgen,large,646.0,0.065038,warm,200
76,grayscale,large,17477.6,2.674074,cold,200
77,fetchdata,large,398.8,0.075483,warm,200
78,fastfouriertransform,large,24.9,0.004926,warm,200
79,grayscale,large,17251.4,2.669111,cold,200
80,pagerank,large,435.2,0.267455,warm,200
81,genmatrix,small,5.3,0.000107,warm,200
82,linpack,small,1722.5,0.008124,warm,200
83,pagerank,large,556.8,0.276692,warm,200
84,graphgen,large,684.1,0.064758,warm,200
85,linpack,medium,3668.4,1.034074,cold,200
86,graphgen,small,542.5,0.002827,warm,200
87,linpack,medium,4598.3,1.029565,cold,200
88,genmatrix,small,5.1,0.000104,warm,200
89,genmatrix,large,58.6,0.00079,warm,200
90,fastfouriertransform,small,38.9,0.004997,warm,200
91,mobilenet,small,52.2,0.041381,warm,200
92,pagerank,small,118.0,0.009956,warm,200
93,fetchdata,large,80.4,0.076268,warm,200
94,mobilenet,large,26.7,0.020404,warm,200
95,fetchdata,medium,84.2,0.079025,warm,200
96,pagerank,large,391.5,0.274352,warm,200
97,matrixmul,small,266.5,0.005051,warm,200
98,pagerank,large,674.8,0.267603,warm,200
99,genmatrix,large,35.1,0.000769,warm,200
100,grayscale,medium,2407.1,0.077921,cold,200
101,linpack,medium,1802.2,1.026428,warm,200
102,pagerank,medium,145.3,0.044879,warm,200
103,fastfouriertransform,small,18.3,0.005334,warm,200
104,genmatrix,small,4.8,0.000102,warm,200
