function,status,duration_ms,upstream_ms
grayscale,200,2283,2281
grayscale,200,1547,1546
grayscale,200,791,786
grayscale,200,100,99
fastfouriertransform,200,2770,2766
fastfouriertransform,200,2232,2230
fastfouriertransform,200,1866,1865
fastfouriertransform,200,2195,2193
mobilenet,200,2895,2894
mobilenet,200,1512,1511
fetchdata,200,2129,2128
fastfouriertransform,200,2474,2472
fastfouriertransform,200,3180,3178
mobilenet,200,1088,1087
fastfouriertransform,200,2185,2183
fastfouriertransform,200,2641,2639
fastfouriertransform,200,3746,3744
fastfouriertransform,200,3952,3950
mobilenet,200,773,772
fetchdata,200,1007,1007
mobilenet,200,1658,1657
mobilenet,200,2132,2132
fetchdata,200,536,536
resnet,200,4027,4027
fetchdata,200,464,463
fetchdata,200,1294,1293
fetchdata,200,1523,1523
resnet,200,3458,3458
mobilenet,200,36,35
pagerank,200,4504,4503
mobilenet,200,22,22
pagerank,200,2565,2565
pagerank,200,4234,4234
fastfouriertransform,200,1480,1478
resnet,200,3391,3390
fastfouriertransform,200,1237,1235
fastfouriertransform,200,841,839
fetchdata,200,104,103
fastfouriertransform,200,249,247
pagerank,200,188,188
fetchdata,200,89,88
pagerank,200,4288,4286
resnet,200,3486,3485
pagerank,200,1339,1337
resnet,200,2300,2299
fastfouriertransform,200,9,7
linpack,200,4188,4186
linpack,200,2995,2992
pagerank,200,1027,1014
resnet,200,2410,2409
genmatrix,200,5297,5297
genmatrix,200,85,79
genmatrix,200,3937,3936
genmatrix,200,3438,3438
resnet,200,4803,4803
genmatrix,200,3676,3668
genmatrix,200,4629,4625
genmatrix,200,4884,4882
fastfouriertransform,200,12,8
genmatrix,200,1066,1059
genmatrix,200,1116,1114
genmatrix,200,1464,1463
genmatrix,200,319,318
matrixmul,200,4784,4781
genmatrix,200,2897,2890
matrixmul,200,700,695
matrixmul,200,4609,4604
fastfouriertransform,200,11,9
matrixmul,200,2368,2364
genmatrix,200,3327,3325
matrixmul,200,2279,2274
pagerank,200,2839,2828
genmatrix,200,3182,3172
genmatrix,200,660,654
resnet,200,5187,5186
genmatrix,200,239,238
genmatrix,200,5238,5232
mobilenet,200,30,30
resnet,200,504,503
linpack,200,4094,4092
linpack,200,1750,1748
pagerank,200,1858,1847
mobilenet,200,32,32
pagerank,200,852,849
pagerank,200,320,319
mobilenet,200,29,29
pagerank,200,182,181
genmatrix,200,9,8
fastfouriertransform,200,10,7
resnet,200,246,246
mobilenet,200,79,79
pagerank,200,1484,1474
fastfouriertransform,200,11,9
genmatrix,200,4,3
linpack,200,4208,4205
linpack,200,3614,3612
linpack,200,2921,2919
linpack,200,4078,4077
linpack,200,1286,1284
linpack,200,942,940
genmatrix,200,52,42
mobilenet,200,24,22
matrixmul,200,527,522
pagerank,200,1752,1741
genmatrix,200,4,4
mobilenet,200,24,24
fastfouriertransform,200,15,14
pagerank,200,14,14
fastfouriertransform,200,10,8
mobilenet,200,21,21
fetchdata,200,91,91
genmatrix,200,9,7
matrixmul,200,1013,1010
matrixmul,200,824,820
matrixmul,200,585,582
matrixmul,200,47,44
linpack,200,2985,2983
mobilenet,200,20,20
mobilenet,200,33,32
genmatrix,200,10,9
genmatrix,200,4,4
linpack,200,12,10
pagerank,200,341,329
matrixmul,200,524,521
matrixmul,200,436,433
pagerank,200,135,134
mobilenet,200,25,25
resnet,200,243,243
pagerank,200,14,14
graphgen,200,7526,7524
graphgen,200,4800,4797
linpack,200,3565,3562
fastfouriertransform,200,11,8
linpack,200,6223,6221
linpack,200,1531,1528
fastfouriertransform,200,13,10
fastfouriertransform,200,11,8
genmatrix,200,19,18
fastfouriertransform,200,9,7
genmatrix,200,34,29
matrixmul,200,15,11
pagerank,200,58,56
grayscale,200,37,36
linpack,200,12,9
resnet,200,290,289
resnet,200,392,391
linpack,200,3581,3578
fetchdata,200,78,78
grayscale,200,127,122
linpack,200,9,7
grayscale,200,182,172
fastfouriertransform,200,10,8
resnet,200,531,531
pagerank,200,63,62
fastfouriertransform,200,11,8
fetchdata,200,86,86
resnet,200,307,306
fetchdata,200,79,79
graphgen,200,2199,2196
pagerank,200,418,416
fastfouriertransform,200,9,7
pagerank,200,79,76
fastfouriertransform,200,9,7
pagerank,200,328,318
pagerank,200,272,271
pagerank,200,75,74
linpack,200,9,7
linpack,200,673,671
graphgen,200,4279,4274
mobilenet,200,27,26
linpack,200,10,8
resnet,200,427,427
mobilenet,200,41,40
graphgen,200,5953,5948
fastfouriertransform,200,12,8
fetchdata,200,81,81
matrixmul,200,544,541
matrixmul,200,306,303
fetchdata,200,81,81
fetchdata,200,109,109
genmatrix,200,38,28
grayscale,200,8124,8109
resnet,200,326,326
graphgen,200,10035,10019
grayscale,200,7147,7112
graphgen,200,222,165
grayscale,200,5847,5820
graphgen,200,3171,1122
genmatrix,200,177,91
grayscale,200,9585,3873
grayscale,200,4245,4232
pagerank,200,91,61
graphgen,200,4653,3501
graphgen,200,7163,6474
grayscale,200,8811,8563
graphgen,200,7467,5821
graphgen,200,9816,7264
grayscale,200,9080,6058
fetchdata,200,81,81
graphgen,200,6814,6492
matrixmul,200,17,13
genmatrix,200,10,8
resnet,200,325,320
fetchdata,200,87,86
graphgen,200,2529,2520
fetchdata,200,166,165
graphgen,200,1446,1443
graphgen,200,1368,1365
