function,status,duration_ms,upstream_ms
fastfouriertransform,200,1680,1678
fastfouriertransform,200,1378,1375
fastfouriertransform,200,993,990
fastfouriertransform,200,10,7
grayscale,200,1808,1807
grayscale,200,317,316
fastfouriertransform,200,681,678
fastfouriertransform,200,587,584
fastfouriertransform,200,194,191
fastfouriertransform,200,9,7
fastfouriertransform,200,657,654
fastfouriertransform,200,63,60
matrixmul,200,2724,2721
matrixmul,200,2336,2332
graphgen,200,3769,3767
graphgen,200,2994,2991
pagerank,200,4139,4138
pagerank,200,3552,3550
resnet,200,4147,4146
pagerank,200,3583,3579
pagerank,200,409,408
resnet,200,2683,2682
resnet,200,2205,2204
graphgen,200,2731,2686
linpack,200,2954,2952
resnet,200,4133,4133
resnet,200,3857,3856
grayscale,200,681,677
grayscale,200,185,182
resnet,200,2604,2603
grayscale,200,2819,2733
grayscale,200,2145,2138
linpack,200,2098,2095
linpack,200,2205,2202
linpack,200,1211,1208
mobilenet,200,3440,3439
mobilenet,200,763,762
mobilenet,200,1657,1657
resnet,200,199,198
mobilenet,200,704,703
resnet,200,221,220
pagerank,200,530,479
mobilenet,200,23,22
fetchdata,200,2175,2175
genmatrix,200,5895,5894
genmatrix,200,4903,4902
genmatrix,200,2105,2105
graphgen,200,25,23
genmatrix,200,1337,1331
fetchdata,200,257,257
genmatrix,200,1661,1660
genmatrix,200,2564,2557
genmatrix,200,3165,3163
genmatrix,200,4472,4471
genmatrix,200,903,897
genmatrix,200,5429,5422
fetchdata,200,80,80
linpack,200,1698,1695
linpack,200,1406,1386
linpack,200,512,510
fetchdata,200,81,80
matrixmul,200,14,11
matrixmul,200,14,11
mobilenet,200,34,33
fastfouriertransform,200,674,671
fastfouriertransform,200,178,176
pagerank,200,84,80
linpack,200,10,6
graphgen,200,503,461
fetchdata,200,78,78
fetchdata,200,79,78
fastfouriertransform,200,10,7
graphgen,200,485,445
genmatrix,200,13,13
linpack,200,10,7
pagerank,200,548,532
genmatrix,200,5,4
graphgen,200,301,295
graphgen,200,512,469
genmatrix,200,33,28
fastfouriertransform,200,10,7
pagerank,200,739,722
mobilenet,200,21,21
linpack,200,674,671
pagerank,200,23,22
fetchdata,200,79,78
mobilenet,200,21,20
fetchdata,200,78,78
matrixmul,200,15,11
linpack,200,1174,1171
genmatrix,200,47,41
pagerank,200,535,516
fastfouriertransform,200,10,6
genmatrix,200,4,3
pagerank,200,800,777
pagerank,200,506,501
resnet,200,125,125
genmatrix,200,48,42
linpack,200,690,687
linpack,200,296,293
genmatrix,200,4,4
grayscale,200,7224,4433
grayscale,200,3646,3617
grayscale,200,6755,6631
fastfouriertransform,200,69,8
grayscale,200,984,978
graphgen,200,24,22
fastfouriertransform,200,9,7
linpack,200,10,6
pagerank,200,22,21
mobilenet,200,27,27
pagerank,200,86,85
mobilenet,200,25,24
resnet,200,127,126
mobilenet,200,29,28
genmatrix,200,4,3
fastfouriertransform,200,13,10
mobilenet,200,25,25
fastfouriertransform,200,12,10
matrixmul,200,518,513
linpack,200,10,7
genmatrix,200,5,4
graphgen,200,487,449
genmatrix,200,33,27
mobilenet,200,72,72
matrixmul,200,931,927
matrixmul,200,541,538
matrixmul,200,53,50
genmatrix,200,4,3
grayscale,200,104,98
mobilenet,200,52,51
fastfouriertransform,200,11,8
pagerank,200,44,21
fastfouriertransform,200,9,6
fetchdata,200,78,78
mobilenet,200,21,20
genmatrix,200,11,10
graphgen,200,34,32
matrixmul,200,21,17
mobilenet,200,24,23
mobilenet,200,22,21
genmatrix,200,11,10
matrixmul,200,576,572
matrixmul,200,388,385
genmatrix,200,4,4
pagerank,200,488,471
pagerank,200,36,35
resnet,200,154,153
linpack,200,13,9
mobilenet,200,20,20
pagerank,200,21,20
fastfouriertransform,200,9,6
graphgen,200,509,470
fastfouriertransform,200,12,6
fastfouriertransform,200,9,6
genmatrix,200,8,7
fastfouriertransform,200,13,11
genmatrix,200,57,43
graphgen,200,668,621
resnet,200,156,153
matrixmul,200,15,11
resnet,200,202,202
resnet,200,124,123
pagerank,200,88,85
grayscale,200,10,9
linpack,200,13,10
grayscale,200,66,61
fetchdata,200,87,86
grayscale,200,65,60
linpack,200,13,10
graphgen,200,103,95
fastfouriertransform,200,10,7
resnet,200,134,133
pagerank,200,21,20
pagerank,200,85,81
fetchdata,200,87,87
fastfouriertransform,200,11,7
fetchdata,200,87,87
fastfouriertransform,200,13,6
linpack,200,685,682
pagerank,200,545,530
pagerank,200,407,406
fastfouriertransform,200,10,7
pagerank,200,384,380
grayscale,200,12306,6868
pagerank,200,23,21
grayscale,200,13626,10872
linpack,200,11,8
resnet,200,291,290
mobilenet,200,26,25
graphgen,200,25,23
graphgen,200,25,24
linpack,200,10,7
mobilenet,200,27,26
matrixmul,200,547,543
matrixmul,200,58,53
graphgen,200,25,23
fastfouriertransform,200,10,6
fetchdata,200,87,87
graphgen,200,126,119
resnet,200,143,142
fetchdata,200,88,87
fetchdata,200,83,83
grayscale,200,2374,2371
grayscale,200,1186,1181
grayscale,200,2818,2739
grayscale,200,2143,2127
genmatrix,200,51,43
graphgen,200,159,96
grayscale,200,301,296
genmatrix,200,33,28
pagerank,200,92,88
resnet,200,128,127
grayscale,200,14227,11484
fetchdata,200,92,92
fetchdata,200,83,83
matrixmul,200,15,11
fastfouriertransform,200,650,647
fetchdata,200,87,86
genmatrix,200,8,6
fetchdata,200,86,86
genmatrix,200,4,3
graphgen,200,105,95
mobilenet,200,30,30
linpack,200,647,644
grayscale,200,10,9
genmatrix,200,3,3
genmatrix,200,7,6
fastfouriertransform,200,645,642
pagerank,200,149,145
graphgen,200,24,22
pagerank,200,134,127
grayscale,200,10,9
linpack,200,678,675
linpack,200,485,482
fastfouriertransform,200,646,643
graphgen,200,24,23
linpack,200,11,9
resnet,200,321,320
resnet,200,343,342
grayscale,200,16646,13898
resnet,200,169,168
grayscale,200,13184,13098
grayscale,200,17,15
resnet,200,130,128
matrixmul,200,14,11
linpack,200,663,660
genmatrix,200,8,6
matrixmul,200,20,16
linpack,200,11,8
fastfouriertransform,200,721,718
linpack,200,10,7
fastfouriertransform,200,10,7
pagerank,200,481,461
fetchdata,200,79,79
matrixmul,200,566,563
matrixmul,200,480,473
matrixmul,200,191,187
matrixmul,200,103,98
fetchdata,200,81,80
matrixmul,200,15,11
resnet,200,151,150
graphgen,200,136,127
matrixmul,200,14,11
resnet,200,126,125
mobilenet,200,21,20
grayscale,200,542,537
genmatrix,200,53,43
grayscale,200,7792,7701
mobilenet,200,21,20
fetchdata,200,80,80
linpack,200,654,651
resnet,200,122,122
genmatrix,200,5,4
pagerank,200,476,455
graphgen,200,25,23
fastfouriertransform,200,651,649
fastfouriertransform,200,359,357
genmatrix,200,8,7
grayscale,200,2835,2761
mobilenet,200,25,24
resnet,200,125,123
resnet,200,122,122
fetchdata,200,80,79
graphgen,200,25,23
matrixmul,200,521,516
matrixmul,200,433,429
matrixmul,200,144,140
fetchdata,200,78,78
pagerank,200,89,84
genmatrix,200,5,4
mobilenet,200,29,28
mobilenet,200,24,23
graphgen,200,510,451
resnet,200,123,122
mobilenet,200,27,26
grayscale,200,2048,2044
grayscale,200,4387,4310
fetchdata,200,78,78
mobilenet,200,25,25
pagerank,200,586,514
grayscale,200,10,9
pagerank,200,390,387
pagerank,200,450,446
mobilenet,200,27,26
genmatrix,200,11,10
mobilenet,200,33,32
grayscale,200,5163,5074
grayscale,200,101,60
linpack,200,13,10
fastfouriertransform,200,10,7
fetchdata,200,87,87
matrixmul,200,20,16
fetchdata,200,85,85
genmatrix,200,5,5
linpack,200,14,11
mobilenet,200,27,26
graphgen,200,36,34
matrixmul,200,556,552
resnet,200,155,154
grayscale,200,65,59
matrixmul,200,671,667
graphgen,200,536,491
graphgen,200,397,389
genmatrix,200,11,10
genmatrix,200,11,10
grayscale,200,2375,2369
matrixmul,200,890,885
matrixmul,200,602,596
grayscale,200,2825,2721
graphgen,200,137,96
linpack,200,38,10
pagerank,200,525,469
fetchdata,200,87,86
fetchdata,200,83,83
pagerank,200,29,28
matrixmul,200,717,711
matrixmul,200,429,425
matrixmul,200,39,35
graphgen,200,25,23
matrixmul,200,15,11
resnet,200,227,225
mobilenet,200,27,26
graphgen,200,108,97
genmatrix,200,10,9
matrixmul,200,526,516
pagerank,200,22,21
linpack,200,654,652
linpack,200,61,58
matrixmul,200,742,738
graphgen,200,77,74
graphgen,200,494,449
genmatrix,200,4,3
fastfouriertransform,200,690,687
fastfouriertransform,200,297,294
fetchdata,200,86,85
fetchdata,200,84,84
