index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1495.1,0.007447,warm,200
1,grayscale,small,1874.9,0.02802,warm,200
2,genmatrix,small,2064.0,0.007725,cold,200
3,fastfouriertransform,large,18.7,0.005043,warm,200
4,pagerank,small,3255.6,0.243732,cold,200
5,resnet,medium,1797.2,0.145727,warm,200
6,graphgen,small,1520.0,0.004194,warm,200
7,fastfouriertransform,small,20.3,0.006931,warm,200
8,genmatrix,large,52.3,0.001799,warm,200
9,resnet,small,151.2,0.145833,warm,200
10,pagerank,small,23.5,0.010583,warm,200
11,pagerank,medium,122.9,0.044888,warm,200
12,genmatrix,medium,11.3,0.000212,warm,200
13,resnet,medium,152.4,0.145401,warm,200
14,graphgen,small,28.9,0.002809,warm,200
15,matrixmul,medium,2201.9,0.504749,cold,200
16,grayscale,small,18.0,0.010945,warm,200
17,genmatrix,medium,13.2,0.000295,warm,200
18,fastfouriertransform,small,21.8,0.00782,warm,200
19,matrixmul,small,23.4,0.007933,warm,200
20,linpack,medium,2105.6,0.651188,cold,200
21,resnet,medium,223.0,0.214348,warm,200
22,graphgen,large,579.0,0.124821,warm,200
23,mobilenet,large,1430.3,0.040575,warm,200
24,fastfouriertransform,medium,622.2,0.607752,warm,200
25,fastfouriertransform,large,19.7,0.00505,warm,200
26,grayscale,large,4496.9,4.302988,cold,200
27,resnet,medium,156.3,0.15045,warm,200
28,resnet,small,127.3,0.122282,warm,200
29,fastfouriertransform,small,25.8,0.007726,warm,200
30,genmatrix,medium,14.2,0.000289,warm,200
31,fastfouriertransform,small,23.1,0.007773,warm,200
32,fastfouriertransform,medium,669.1,0.655683,warm,200
33,grayscale,medium,113.6,0.095034,warm,200
34,linpack,small,13.6,0.005115,warm,200
35,linpack,medium,652.7,0.645318,warm,200
36,genmatrix,large,51.7,0.001194,warm,200
37,grayscale,large,4499.8,4.301231,cold,200
38,fastfouriertransform,large,25.3,0.007684,warm,200
39,fetchdata,large,2478.4,0.127269,cold,200
40,genmatrix,small,7.2,0.000133,warm,200
41,mobilenet,medium,29.9,0.023813,warm,200
42,grayscale,large,4503.1,4.30642,cold,200
43,pagerank,small,28.7,0.015571,warm,200
44,linpack,small,18.7,0.008061,warm,200
45,genmatrix,small,6.8,0.000165,warm,200
46,linpack,medium,650.0,0.641421,warm,200
47,grayscale,small,16.4,0.011066,warm,200
48,genmatrix,large,51.5,0.00121,warm,200
49,linpack,small,14.1,0.005132,warm,200
50,mobilenet,medium,41.5,0.035848,warm,200
51,mobilenet,small,34.8,0.029151,warm,200
52,grayscale,small,17.1,0.01094,warm,200
53,genmatrix,large,36.3,0.000795,warm,200
54,pagerank,large,465.3,0.277458,warm,200
55,grayscale,large,4512.6,4.316313,cold,200
56,resnet,medium,144.8,0.13808,warm,200
57,resnet,medium,152.0,0.146141,warm,200
58,linpack,small,13.3,0.005087,warm,200
59,fetchdata,large,93.6,0.087628,warm,200
60,mobilenet,small,23.3,0.018068,warm,200
61,graphgen,small,38.7,0.004423,warm,200
62,fetchdata,large,83.4,0.078418,warm,200
63,fetchdata,large,81.7,0.076632,warm,200
64,matrixmul,large,19.5,0.005067,warm,200
65,fastfouriertransform,medium,667.9,0.649861,warm,200
66,matrixmul,large,223.7,0.00502,warm,200
67,mobilenet,large,29.2,0.023106,warm,200
68,grayscale,large,4518.1,4.324523,cold,200
69,graphgen,large,508.5,0.083965,warm,200
70,fastfouriertransform,large,18.9,0.004911,warm,200
71,pagerank,medium,107.1,0.066715,warm,200
72,linpack,small,12.2,0.005111,warm,200
73,grayscale,medium,105.7,0.091577,warm,200
74,fetchdata,medium,126.3,0.120948,warm,200
75,graphgen,large,488.6,0.0634,warm,200
76,grayscale,large,4469.1,4.273921,cold,200
77,fetchdata,large,80.3,0.075556,warm,200
78,fastfouriertransform,large,22.9,0.007679,warm,200
79,grayscale,large,5833.2,4.320002,cold,200
80,pagerank,large,497.8,0.276714,warm,200
81,genmatrix,small,6.7,0.000139,warm,200
