function,status,duration_ms,upstream_ms
fastfouriertransform,200,3584,3581
fastfouriertransform,200,587,584
genmatrix,200,2531,2530
grayscale,200,4052,4051
pagerank,200,2665,2663
fastfouriertransform,200,14,11
genmatrix,200,50,43
graphgen,200,2581,2579
resnet,200,3703,3702
resnet,200,130,129
pagerank,200,29,28
pagerank,200,127,122
genmatrix,200,11,10
resnet,200,152,152
graphgen,200,38,35
grayscale,200,17,16
genmatrix,200,14,12
fastfouriertransform,200,12,9
matrixmul,200,3882,3878
matrixmul,200,15,11
resnet,200,166,165
graphgen,200,554,516
linpack,200,3441,3438
fastfouriertransform,200,610,607
fastfouriertransform,200,14,11
mobilenet,200,3825,3825
resnet,200,155,154
resnet,200,126,126
grayscale,200,2813,2738
fastfouriertransform,200,10,7
genmatrix,200,11,10
fastfouriertransform,200,13,10
fastfouriertransform,200,764,761
grayscale,200,86,80
linpack,200,12,7
linpack,200,679,676
genmatrix,200,51,44
fastfouriertransform,200,14,11
grayscale,200,2842,2769
genmatrix,200,5,4
mobilenet,200,29,28
pagerank,200,26,24
linpack,200,10,7
fetchdata,200,5445,5444
grayscale,200,2777,2704
genmatrix,200,5,5
linpack,200,644,641
grayscale,200,10,9
genmatrix,200,50,43
linpack,200,13,10
mobilenet,200,23,23
mobilenet,200,22,21
grayscale,200,15,13
genmatrix,200,49,43
pagerank,200,422,410
resnet,200,146,145
resnet,200,124,124
grayscale,200,2806,2732
linpack,200,10,7
fetchdata,200,97,96
mobilenet,200,22,21
graphgen,200,25,23
fetchdata,200,104,103
fetchdata,200,103,103
matrixmul,200,15,11
fastfouriertransform,200,642,639
matrixmul,200,22,17
mobilenet,200,33,32
graphgen,200,523,484
fastfouriertransform,200,11,8
grayscale,200,2837,2763
pagerank,200,81,79
linpack,200,14,11
grayscale,200,65,60
fetchdata,200,137,136
graphgen,200,520,482
fetchdata,200,176,176
fastfouriertransform,200,14,11
grayscale,200,2821,2746
pagerank,200,468,456
genmatrix,200,5,5
grayscale,200,2778,2704
linpack,200,10,7
pagerank,200,459,447
graphgen,200,532,493
linpack,200,670,667
graphgen,200,24,22
linpack,200,645,642
genmatrix,200,5,5
genmatrix,200,49,42
fastfouriertransform,200,13,11
mobilenet,200,37,36
pagerank,200,25,24
fetchdata,200,95,95
mobilenet,200,31,30
fetchdata,200,97,97
pagerank,200,427,416
matrixmul,200,23,19
pagerank,200,472,461
genmatrix,200,49,43
grayscale,200,65,60
linpack,200,677,673
pagerank,200,103,99
fastfouriertransform,200,14,11
genmatrix,200,4,4
linpack,200,10,7
resnet,200,127,126
genmatrix,200,49,43
genmatrix,200,5,4
fastfouriertransform,200,11,7
graphgen,200,25,23
fastfouriertransform,200,14,10
linpack,200,13,10
pagerank,200,26,24
mobilenet,200,28,28
pagerank,200,26,25
grayscale,200,2799,2726
resnet,200,125,124
mobilenet,200,30,29
mobilenet,200,20,20
genmatrix,200,6,5
fastfouriertransform,200,11,7
matrixmul,200,515,512
matrixmul,200,514,510
mobilenet,200,29,28
graphgen,200,526,490
fastfouriertransform,200,12,10
matrixmul,200,21,17
linpack,200,10,7
genmatrix,200,5,5
genmatrix,200,49,43
mobilenet,200,22,22
matrixmul,200,222,12
grayscale,200,67,61
genmatrix,200,5,4
mobilenet,200,25,24
fastfouriertransform,200,14,11
pagerank,200,26,24
fastfouriertransform,200,13,10
fetchdata,200,188,188
mobilenet,200,30,30
genmatrix,200,11,10
graphgen,200,36,34
matrixmul,200,21,17
matrixmul,200,551,548
mobilenet,200,21,20
matrixmul,200,16,12
pagerank,200,430,419
mobilenet,200,62,61
genmatrix,200,12,11
genmatrix,200,5,4
resnet,200,186,185
pagerank,200,26,25
linpack,200,9,7
graphgen,200,521,483
mobilenet,200,21,20
pagerank,200,19,18
graphgen,200,488,450
fastfouriertransform,200,10,7
fastfouriertransform,200,12,10
fastfouriertransform,200,13,10
genmatrix,200,11,10
fastfouriertransform,200,13,10
genmatrix,200,53,45
resnet,200,146,145
resnet,200,127,126
matrixmul,200,20,17
resnet,200,123,122
pagerank,200,78,74
grayscale,200,10,9
linpack,200,13,10
grayscale,200,65,60
fetchdata,200,173,173
grayscale,200,95,89
linpack,200,13,10
graphgen,200,138,130
resnet,200,150,149
fastfouriertransform,200,12,9
pagerank,200,87,86
pagerank,200,80,77
fetchdata,200,96,96
fastfouriertransform,200,10,7
linpack,200,670,667
fetchdata,200,104,104
pagerank,200,435,424
pagerank,200,19,18
pagerank,200,76,73
grayscale,200,2801,2727
fastfouriertransform,200,12,9
grayscale,200,10,9
fastfouriertransform,200,9,6
pagerank,200,18,17
grayscale,200,65,60
resnet,200,125,125
linpack,200,13,10
mobilenet,200,29,29
graphgen,200,26,24
grayscale,200,2849,2774
matrixmul,200,557,553
graphgen,200,37,35
linpack,200,9,7
grayscale,200,9,8
mobilenet,200,40,40
matrixmul,200,14,10
graphgen,200,34,32
fastfouriertransform,200,10,7
fetchdata,200,163,162
graphgen,200,104,96
resnet,200,138,138
fetchdata,200,102,102
fetchdata,200,102,102
grayscale,200,96,91
graphgen,200,132,124
genmatrix,200,49,42
genmatrix,200,50,43
fastfouriertransform,200,608,605
pagerank,200,126,121
resnet,200,152,151
fetchdata,200,104,104
fetchdata,200,104,103
matrixmul,200,15,11
fetchdata,200,104,103
linpack,200,699,696
genmatrix,200,11,10
fetchdata,200,94,94
