timestamp,pod,scheduling_time_ms
I0428 11:48:46.158830,default/fastfouriertransform-00001-deployment-6bbbdc9c67-r8x7q,9.440829
I0428 11:48:47.351138,default/genmatrix-00001-deployment-7db687b66-mh8bg,13.381253
I0428 11:48:47.360650,default/grayscale-00001-deployment-6c9cd67ccc-2985d,11.056402
I0428 11:48:49.342002,default/pagerank-00001-deployment-54689999dc-wwl7h,7.87157
I0428 11:48:51.345609,default/graphgen-00001-deployment-545ff9c679-97t5d,7.481348
I0428 11:48:51.366803,default/resnet-00001-deployment-7fcbc8c8cb-mms26,11.976142
I0428 11:49:01.340290,default/matrixmul-00001-deployment-8468c5dd88-q7kmx,8.008533
I0428 11:49:05.354375,default/linpack-00001-deployment-545d8788cc-5xb9l,8.90181
I0428 11:49:09.339094,default/mobilenet-00001-deployment-5d6d9ff4b-vp4mg,4.98433
I0428 11:49:25.545541,default/fetchdata-00001-deployment-7c46bb466c-2msrm,7.169163
I0428 12:04:14.684897,default/graphgen-00001-deployment-545ff9c679-xwk6d,6.639503
I0428 12:06:05.695767,default/resnet-00001-deployment-7fcbc8c8cb-qb8wp,6.360246
I0428 12:06:57.553016,default/graphgen-00001-deployment-545ff9c679-vb4sj,5.702396
I0428 12:31:13.087773,default/fastfouriertransform-00001-deployment-6bbbdc9c67-89bpm,48.642194
I0428 12:31:14.014989,default/grayscale-00001-deployment-6c9cd67ccc-vhx5p,21.01401
I0428 12:31:14.997299,default/genmatrix-00001-deployment-7db687b66-48bbq,5.854619
I0428 12:31:16.995279,default/pagerank-00001-deployment-54689999dc-j5hlb,6.703509
I0428 12:31:18.005744,default/resnet-00001-deployment-7fcbc8c8cb-jz6mc,12.18609
I0428 12:31:19.000250,default/graphgen-00001-deployment-545ff9c679-tqxlb,10.420902
I0428 12:31:28.011086,default/matrixmul-00001-deployment-8468c5dd88-msx4x,7.613288
I0428 12:31:33.222555,default/linpack-00001-deployment-545d8788cc-ssq6g,8.891122
I0428 12:31:36.043032,default/mobilenet-00001-deployment-5d6d9ff4b-hxgns,18.737504
I0428 12:31:52.022116,default/fetchdata-00001-deployment-7c46bb466c-9jgrw,13.168979
I0428 12:46:43.007276,default/graphgen-00001-deployment-545ff9c679-rtgll,7.740294
I0428 12:48:34.354665,default/resnet-00001-deployment-7fcbc8c8cb-knnwq,6.091683
I0428 12:49:26.228276,default/graphgen-00001-deployment-545ff9c679-gz62b,5.869961
I0428 13:14:22.962845,default/fastfouriertransform-00001-deployment-6bbbdc9c67-6bhb9,9.167209
I0428 13:14:23.733241,default/grayscale-00001-deployment-6c9cd67ccc-7kldk,7.941949
I0428 13:14:24.719687,default/genmatrix-00001-deployment-7db687b66-9p5x6,6.203911
I0428 13:14:26.720795,default/pagerank-00001-deployment-54689999dc-4dvhb,7.602616
I0428 13:14:27.733290,default/resnet-00001-deployment-7fcbc8c8cb-fgqkz,14.281861
I0428 13:14:28.760277,default/graphgen-00001-deployment-545ff9c679-5t7xw,7.245023
I0428 13:14:37.743909,default/matrixmul-00001-deployment-8468c5dd88-gj9s9,8.249986
I0428 13:14:42.743689,default/linpack-00001-deployment-545d8788cc-rcgqs,12.673804
I0428 13:14:45.721525,default/mobilenet-00001-deployment-5d6d9ff4b-qf8dq,9.352857
I0428 13:15:02.364849,default/fetchdata-00001-deployment-7c46bb466c-qrtkw,8.035634
I0428 13:29:53.361715,default/graphgen-00001-deployment-545ff9c679-dj2mz,6.842926
I0428 13:31:43.937908,default/resnet-00001-deployment-7fcbc8c8cb-7khfv,7.970075
I0428 13:32:35.780694,default/graphgen-00001-deployment-545ff9c679-9sk72,11.548732
I0428 13:58:50.868202,default/fastfouriertransform-00001-deployment-6bbbdc9c67-ph2lz,8.121314
