function,status,duration_ms,upstream_ms
grayscale,200,1779,1778
fastfouriertransform,200,2181,2178
fastfouriertransform,200,788,785
fastfouriertransform,200,1594,1591
genmatrix,200,1950,1949
genmatrix,200,782,776
genmatrix,200,8,7
pagerank,200,1921,1920
pagerank,200,736,734
pagerank,200,617,614
resnet,200,1847,1846
resnet,200,389,388
graphgen,200,281,264
graphgen,200,1901,1885
resnet,200,1359,1358
grayscale,200,14,12
genmatrix,200,8,7
fastfouriertransform,200,10,8
resnet,200,128,127
matrixmul,200,1947,1943
matrixmul,200,1158,1155
graphgen,200,854,484
fastfouriertransform,200,616,613
fastfouriertransform,200,424,420
resnet,200,154,153
resnet,200,128,127
fastfouriertransform,200,11,8
genmatrix,200,11,10
linpack,200,2056,2054
fastfouriertransform,200,12,10
mobilenet,200,1855,1854
linpack,200,11,8
fastfouriertransform,200,649,646
genmatrix,200,37,31
fastfouriertransform,200,9,6
linpack,200,657,654
genmatrix,200,6,5
grayscale,200,1433,1419
grayscale,200,2832,2741
mobilenet,200,21,21
pagerank,200,18,17
linpack,200,10,7
genmatrix,200,4,3
genmatrix,200,35,29
fetchdata,200,1923,1922
linpack,200,653,650
linpack,200,60,57
mobilenet,200,22,21
mobilenet,200,21,20
genmatrix,200,34,28
grayscale,200,1338,1335
grayscale,200,348,345
grayscale,200,3379,3304
pagerank,200,328,314
resnet,200,147,146
resnet,200,139,138
linpack,200,13,10
fetchdata,200,90,90
mobilenet,200,30,30
graphgen,200,39,23
fetchdata,200,89,89
fetchdata,200,88,88
matrixmul,200,15,11
matrixmul,200,16,11
mobilenet,200,30,30
grayscale,200,5136,5063
fastfouriertransform,200,629,626
fastfouriertransform,200,10,7
pagerank,200,84,81
linpack,200,9,6
graphgen,200,817,448
fetchdata,200,88,88
fetchdata,200,88,87
fastfouriertransform,200,10,6
graphgen,200,846,476
genmatrix,200,6,5
grayscale,200,1664,1657
grayscale,200,5261,5178
linpack,200,10,7
pagerank,200,372,360
pagerank,200,337,325
graphgen,200,327,89
genmatrix,200,5,4
graphgen,200,829,443
linpack,200,655,651
genmatrix,200,42,37
fastfouriertransform,200,10,7
mobilenet,200,26,25
linpack,200,903,900
pagerank,200,14,13
fetchdata,200,88,88
mobilenet,200,26,26
grayscale,200,5415,5342
fetchdata,200,89,88
matrixmul,200,21,17
pagerank,200,395,383
genmatrix,200,46,41
pagerank,200,327,315
pagerank,200,58,54
fastfouriertransform,200,12,10
genmatrix,200,5,4
linpack,200,677,675
linpack,200,9,7
resnet,200,125,124
genmatrix,200,47,42
genmatrix,200,4,4
grayscale,200,6516,6442
grayscale,200,1723,1718
fastfouriertransform,200,13,10
graphgen,200,50,33
fastfouriertransform,200,11,8
linpack,200,10,7
pagerank,200,15,14
mobilenet,200,32,32
pagerank,200,21,20
resnet,200,127,125
mobilenet,200,34,33
mobilenet,200,34,33
genmatrix,200,4,3
fastfouriertransform,200,9,6
grayscale,200,8680,8602
mobilenet,200,21,20
matrixmul,200,547,543
fastfouriertransform,200,9,6
matrixmul,200,864,861
matrixmul,200,75,71
linpack,200,13,10
genmatrix,200,3,3
graphgen,200,815,446
genmatrix,200,33,28
mobilenet,200,20,20
matrixmul,200,14,10
genmatrix,200,3,3
mobilenet,200,23,22
grayscale,200,4402,4329
grayscale,200,612,606
fastfouriertransform,200,19,9
pagerank,200,23,21
fastfouriertransform,200,13,10
fetchdata,200,89,88
mobilenet,200,20,20
genmatrix,200,11,10
graphgen,200,39,22
matrixmul,200,15,11
mobilenet,200,28,27
matrixmul,200,516,512
matrixmul,200,335,123
mobilenet,200,30,29
pagerank,200,366,354
genmatrix,200,11,10
genmatrix,200,4,4
resnet,200,150,150
pagerank,200,15,14
linpack,200,11,8
mobilenet,200,28,27
pagerank,200,15,13
fastfouriertransform,200,15,10
graphgen,200,850,481
fastfouriertransform,200,13,10
fastfouriertransform,200,13,10
genmatrix,200,11,9
graphgen,200,817,447
fastfouriertransform,200,12,10
genmatrix,200,49,44
resnet,200,139,139
resnet,200,129,128
matrixmul,200,21,16
resnet,200,125,124
pagerank,200,106,103
grayscale,200,14,13
linpack,200,12,10
grayscale,200,95,89
fetchdata,200,82,82
grayscale,200,65,61
linpack,200,13,10
graphgen,200,170,95
resnet,200,124,123
fastfouriertransform,200,10,6
pagerank,200,15,14
pagerank,200,57,54
fetchdata,200,81,81
fastfouriertransform,200,10,7
fetchdata,200,80,80
linpack,200,692,690
pagerank,200,344,332
pagerank,200,15,13
pagerank,200,60,55
fastfouriertransform,200,10,7
fastfouriertransform,200,9,6
pagerank,200,83,82
resnet,200,158,158
linpack,200,10,7
mobilenet,200,21,20
graphgen,200,39,23
grayscale,200,2021,2015
graphgen,200,40,26
grayscale,200,2850,2773
grayscale,200,1491,1485
linpack,200,9,7
matrixmul,200,514,511
mobilenet,200,21,20
matrixmul,200,15,11
graphgen,200,39,23
fastfouriertransform,200,13,10
fetchdata,200,146,145
graphgen,200,191,116
resnet,200,126,126
fetchdata,200,92,92
fetchdata,200,88,87
graphgen,200,169,93
grayscale,200,2425,2422
genmatrix,200,61,44
grayscale,200,496,487
grayscale,200,3697,3573
genmatrix,200,48,42
pagerank,200,89,86
resnet,200,194,194
fastfouriertransform,200,640,638
fetchdata,200,97,97
fetchdata,200,88,88
matrixmul,200,20,16
fetchdata,200,88,88
genmatrix,200,11,9
fetchdata,200,87,87
linpack,200,685,682
graphgen,200,169,94
genmatrix,200,5,5
mobilenet,200,27,26
