index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1705.4,0.00822,warm,200
1,grayscale,small,3031.8,0.019015,cold,200
2,genmatrix,small,1795.6,0.011714,warm,200
3,fastfouriertransform,large,2861.6,0.004914,cold,200
4,pagerank,small,2270.1,0.256235,cold,200
5,resnet,medium,2238.8,0.166394,cold,200
6,graphgen,small,1784.9,0.004311,warm,200
7,fastfouriertransform,small,1365.4,0.005301,warm,200
8,genmatrix,large,1622.6,0.00194,warm,200
9,resnet,small,2343.5,0.174356,cold,200
10,pagerank,small,1985.4,0.010674,warm,200
11,pagerank,medium,2029.4,0.044353,cold,200
12,genmatrix,medium,1415.9,0.000302,warm,200
13,resnet,medium,2362.0,0.179077,cold,200
14,graphgen,small,1935.8,0.003345,warm,200
15,matrixmul,medium,2469.1,0.522785,cold,200
16,grayscale,small,2308.2,0.006974,cold,200
17,genmatrix,medium,1121.4,0.000816,warm,200
18,fastfouriertransform,small,822.1,0.00532,warm,200
19,matrixmul,small,2279.9,0.005231,cold,200
20,linpack,medium,2284.9,0.655358,cold,200
21,resnet,medium,2220.2,0.134683,cold,200
22,graphgen,large,1864.0,0.115351,warm,200
23,mobilenet,large,1804.5,0.033151,warm,200
24,fastfouriertransform,medium,1146.8,0.624597,warm,200
25,fastfouriertransform,large,1110.8,0.004908,warm,200
26,grayscale,large,12920.3,2.674448,cold,200
27,resnet,medium,1785.0,0.156696,warm,200
28,resnet,small,1215.1,0.130691,warm,200
29,fastfouriertransform,small,905.4,0.004989,warm,200
30,genmatrix,medium,409.8,0.00031,warm,200
31,fastfouriertransform,small,816.1,0.004909,warm,200
32,fastfouriertransform,medium,1411.1,0.627265,warm,200
33,grayscale,medium,1521.3,0.057641,warm,200
34,linpack,small,2892.1,0.005161,cold,200
35,linpack,medium,2177.5,0.639112,cold,200
36,genmatrix,large,157.7,0.001275,warm,200
37,grayscale,large,12390.6,2.684302,cold,200
38,fastfouriertransform,large,471.6,0.004891,warm,200
39,fetchdata,large,2166.0,0.128198,cold,200
40,genmatrix,small,21.0,0.000144,warm,200
41,mobilenet,medium,965.2,0.017506,warm,200
42,grayscale,large,12081.7,2.689765,cold,200
43,pagerank,small,334.7,0.010816,warm,200
44,linpack,small,2386.9,0.005085,cold,200
45,genmatrix,small,7.0,0.000163,warm,200
46,linpack,medium,2274.4,0.645463,cold,200
47,grayscale,small,749.8,0.007018,warm,200
48,genmatrix,large,57.5,0.001189,warm,200
49,linpack,small,2130.4,0.005094,cold,200
50,mobilenet,medium,511.5,0.018795,warm,200
51,mobilenet,small,461.3,0.020606,warm,200
52,grayscale,small,493.3,0.00702,warm,200
53,genmatrix,large,118.0,0.001233,warm,200
54,pagerank,large,405.8,0.282914,warm,200
55,grayscale,large,11447.3,2.677174,cold,200
56,resnet,medium,598.9,0.126443,warm,200
57,resnet,medium,682.2,0.132458,warm,200
58,linpack,small,1713.0,0.005069,warm,200
59,fetchdata,large,1364.4,0.075183,warm,200
60,mobilenet,small,26.3,0.020902,warm,200
61,graphgen,small,45.5,0.003317,warm,200
