function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregate_lines,small,0.5,128,0.010002,.010012,625,592,591.95923042297363281000,.04076957702636719000,153.900000,153.810403,.089597,10
aggregate_lines,medium,0.5,128,0.039779,.039766,625,592,591.95923042297363281000,.04076957702636719000,143.000000,142.855972,.144028,10
aggregate_lines,large,0.5,128,0.218306,.218293,625,592,591.95923042297363281000,.04076957702636719000,149.000000,143.935418,5.064582,10
encrypt,small,0.5,128,0.009564,.012804,620,5152,665.235000,4486.765000,5380.100000,150.484500,5229.615500,10
encrypt,medium,0.5,128,0.038175,.050952,620,5152,665.235000,4486.765000,18858.900000,122.295800,18736.604200,10
encrypt,large,0.5,128,0.209836,.000001,620,5152,665.235000,4486.765000,5725.500000,5725.500000,0,10
merge_aggregate,small,0.5,128,0.009946,.028888,1041,661,616.97000,44.03000,215.000000,150.962800,64.037200,10
merge_aggregate,medium,0.5,128,0.039701,.115290,1041,661,616.97000,44.03000,1074.300000,171.253300,903.046700,10
merge_aggregate,large,0.5,128,0.218228,.633708,1041,661,616.97000,44.03000,24480.100000,176.923000,24303.177000,10
single_string,small,0.5,128,0.028827,.009615,1365,596,594.571000,1.429000,136.400000,130.599400,5.800600,10
single_string,medium,0.5,128,0.115230,.038225,1365,596,594.571000,1.429000,144.400000,132.963400,11.436600,10
single_string,large,0.5,128,0.633647,.209887,1365,596,594.571000,1.429000,195.100000,133.191900,61.908100,10
text_data_gen,small,0.5,128,0.000048,.005038,507,498,496.394000,1.606000,107.700000,103.816900,3.883100,10
text_data_gen,medium,0.5,128,0.000049,.019917,507,498,496.394000,1.606000,114.700000,108.622900,6.077100,10
text_data_gen,large,0.5,128,0.000050,.109179,507,498,496.394000,1.606000,173.600000,112.139400,61.460600,10
text_sort,small,0.5,128,0.004988,.024031,556,494,493.42000,.58000,115.900000,115.524900,.375100,10
text_sort,medium,0.5,128,0.019865,.095842,556,494,493.42000,.58000,113.200000,111.630900,1.569100,10
text_sort,large,0.5,128,0.109129,.526713,556,494,493.42000,.58000,153.300000,143.813800,9.486200,10
textsort1,small,0.5,128,0.010007,.010012,556,530,529.46000,.54000,126.700000,125.714700,.985300,10
textsort1,medium,0.5,128,0.014966,.014971,556,530,529.46000,.54000,130.400000,128.842700,1.557300,10
textsort1,large,0.5,128,0.069516,.069521,556,530,529.46000,.54000,131.900000,113.108500,18.791500,10
trigger,small,0.5,128,0.000046,.005079,570,527,526.486000,.514000,124.500000,123.772600,.727400,10
trigger,medium,0.5,128,0.000047,.019958,570,527,526.486000,.514000,101.200000,96.820300,4.379700,10
trigger,large,0.5,128,0.000048,.109223,570,527,526.486000,.514000,145.000000,116.368400,28.631600,10
aggregate_lines,small,0.5,256,0.010002,.010012,460,521,520.9523162841796875000,.0476837158203125000,118.900000,118.843257,.056743,10
aggregate_lines,medium,0.5,256,0.039779,.039766,460,521,520.9523162841796875000,.0476837158203125000,117.000000,116.873400,.126600,10
aggregate_lines,large,0.5,256,0.218306,.218293,460,521,520.9523162841796875000,.0476837158203125000,102.700000,101.796180,.903820,10
encrypt,small,0.5,256,0.009564,.012803,508,4915,581.735000,4333.265000,5288.600000,114.237700,5174.362300,10
encrypt,medium,0.5,256,0.038175,.050951,508,4915,581.735000,4333.265000,20493.900000,122.551400,20371.348600,10
encrypt,large,0.5,256,0.209836,.000001,508,4915,581.735000,4333.265000,4199.600000,4199.600000,0,10
merge_aggregate,small,0.5,256,0.009946,.028888,554,694,623.405000,70.595000,176.400000,129.478200,46.921800,10
merge_aggregate,medium,0.5,256,0.039701,.115291,554,694,623.405000,70.595000,1042.500000,160.172100,882.327900,10
merge_aggregate,large,0.5,256,0.218228,.633709,554,694,623.405000,70.595000,24544.400000,194.039800,24350.360200,10
single_string,small,0.5,256,0.028827,.009616,685,651,649.577000,1.423000,139.700000,138.249700,1.450300,10
single_string,medium,0.5,256,0.115230,.038225,685,651,649.577000,1.423000,175.000000,160.234600,14.765400,10
single_string,large,0.5,256,0.633647,.209887,685,651,649.577000,1.423000,215.800000,150.655700,65.144300,10
text_data_gen,small,0.5,256,0.000048,.005038,591,573,570.705000,2.295000,158.600000,141.976800,16.623200,10
text_data_gen,medium,0.5,256,0.000049,.019916,591,573,570.705000,2.295000,125.100000,112.956500,12.143500,10
text_data_gen,large,0.5,256,0.000050,.109179,591,573,570.705000,2.295000,176.200000,111.118000,65.082000,10
text_sort,small,0.5,256,0.004988,.024031,590,643,642.609000,.391000,107.700000,107.285800,.414200,10
text_sort,medium,0.5,256,0.019865,.095843,590,643,642.609000,.391000,123.500000,122.075300,1.424700,10
text_sort,large,0.5,256,0.109129,.526712,590,643,642.609000,.391000,147.900000,131.265700,16.634300,10
textsort1,small,0.5,256,0.010007,.010012,698,683,682.465000,.535000,150.200000,145.944700,4.255300,10
textsort1,medium,0.5,256,0.014966,.014971,698,683,682.465000,.535000,152.900000,148.697900,4.202100,10
textsort1,large,0.5,256,0.069516,.069522,698,683,682.465000,.535000,143.800000,132.432100,11.367900,10
trigger,small,0.5,256,0.000046,.005080,583,575,574.503000,.497000,157.900000,157.204100,.695900,10
trigger,medium,0.5,256,0.000047,.019958,583,575,574.503000,.497000,135.200000,133.228700,1.971300,10
trigger,large,0.5,256,0.000048,.109222,583,575,574.503000,.497000,152.100000,132.036800,20.063200,10
aggregate_lines,small,0.5,512,0.010002,.010012,642,634,633.92680549621582031000,.07319450378417969000,139.500000,139.211395,.288605,10
aggregate_lines,medium,0.5,512,0.039779,.039766,642,634,633.92680549621582031000,.07319450378417969000,118.000000,117.865819,.134181,10
aggregate_lines,large,0.5,512,0.218306,.218293,642,634,633.92680549621582031000,.07319450378417969000,163.200000,156.461838,6.738162,10
encrypt,small,0.5,512,0.009564,.012804,533,5295,509.418000,4785.582000,4981.900000,121.223200,4860.676800,10
encrypt,medium,0.5,512,0.038175,.050951,533,5295,509.418000,4785.582000,20242.300000,130.761200,20111.538800,10
encrypt,large,0.5,512,0.209836,.000001,533,5295,509.418000,4785.582000,4746.600000,4746.600000,0,10
