epoch,iso_time,event,from_mode,to_mode,rate
1784626384.236624,2026-07-21T09:33:04.236644+00:00,CONTROLLER_START,,local1core,
1784626396.232245,2026-07-21T09:33:16.232258+00:00,CONTROLLER_STOP,,local1core,
1784626462.879668,2026-07-21T09:34:22.879691+00:00,CONTROLLER_START,,local1core,
1784626593.867296,2026-07-21T09:36:33.867305+00:00,TRANSITION_START,local1core,apiserver,59.72
1784626595.923720,2026-07-21T09:36:35.923732+00:00,TRANSITION_END,local1core,apiserver,59.72
1784626662.135432,2026-07-21T09:37:42.135437+00:00,TRANSITION_START,apiserver,local1core,0.00
1784626662.786234,2026-07-21T09:37:42.786250+00:00,TRANSITION_END,apiserver,local1core,0.00
1784626843.236416,2026-07-21T09:40:43.236422+00:00,TRANSITION_START,local1core,apiserver,91.47
1784626845.646291,2026-07-21T09:40:45.646301+00:00,TRANSITION_END,local1core,apiserver,91.47
1784626915.322958,2026-07-21T09:41:55.322963+00:00,TRANSITION_START,apiserver,local1core,1.38
1784626916.082666,2026-07-21T09:41:56.082676+00:00,TRANSITION_END,apiserver,local1core,1.38
1784627284.747793,2026-07-21T09:48:04.747817+00:00,CONTROLLER_STOP,,local1core,
1784627451.252716,2026-07-21T09:50:51.252743+00:00,CONTROLLER_START,,local1core,
1784627470.944763,2026-07-21T09:51:10.944770+00:00,TRANSITION_START,local1core,apiserver,97.61
1784627473.003259,2026-07-21T09:51:13.003288+00:00,TRANSITION_END,local1core,apiserver,97.61
1784627548.430352,2026-07-21T09:52:28.430357+00:00,TRANSITION_START,apiserver,local1core,0.00
1784627549.323217,2026-07-21T09:52:29.323228+00:00,TRANSITION_END,apiserver,local1core,0.00
1784627983.854315,2026-07-21T09:59:43.854323+00:00,TRANSITION_START,local1core,apiserver,76.24
1784627985.814366,2026-07-21T09:59:45.814396+00:00,TRANSITION_END,local1core,apiserver,76.24
1784628054.930052,2026-07-21T10:00:54.930057+00:00,TRANSITION_START,apiserver,local1core,1.62
1784628055.674354,2026-07-21T10:00:55.674369+00:00,TRANSITION_END,apiserver,local1core,1.62
1784628657.368766,2026-07-21T10:10:57.368781+00:00,CONTROLLER_STOP,,local1core,
1784628718.240146,2026-07-21T10:11:58.240176+00:00,CONTROLLER_START,,local1core,
1784628730.162413,2026-07-21T10:12:10.162422+00:00,TRANSITION_START,local1core,apiserver,57.77
1784628732.069439,2026-07-21T10:12:12.069451+00:00,TRANSITION_END,local1core,apiserver,57.77
1784628778.652165,2026-07-21T10:12:58.652175+00:00,CONTROLLER_STOP,,apiserver,
1784628830.407362,2026-07-21T10:13:50.407392+00:00,CONTROLLER_START,,apiserver,
1784628909.001363,2026-07-21T10:15:09.001370+00:00,TRANSITION_START,apiserver,local1core,0.00
1784628909.559421,2026-07-21T10:15:09.559431+00:00,TRANSITION_END,apiserver,local1core,0.00
1784628979.384618,2026-07-21T10:16:19.384626+00:00,TRANSITION_START,local1core,apiserver,83.28
1784628980.649457,2026-07-21T10:16:20.649469+00:00,TRANSITION_END,local1core,apiserver,83.28
1784629029.033770,2026-07-21T10:17:09.033793+00:00,CONTROLLER_STOP,,apiserver,
1784629141.260331,2026-07-21T10:19:01.260359+00:00,CONTROLLER_START,,apiserver,
1784629192.937944,2026-07-21T10:19:52.937952+00:00,TRANSITION_START,apiserver,local1core,0.96
1784629518.978204,2026-07-21T10:25:18.978227+00:00,CONTROLLER_START,,local1core,
1784629546.672005,2026-07-21T10:25:46.672012+00:00,TRANSITION_START,local1core,apiserver,69.51
1784629548.075069,2026-07-21T10:25:48.075080+00:00,TRANSITION_END,local1core,apiserver,69.51
1784629621.836180,2026-07-21T10:27:01.836187+00:00,TRANSITION_START,apiserver,local1core,0.00
1784629622.560318,2026-07-21T10:27:02.560332+00:00,TRANSITION_END,apiserver,local1core,0.00
1784630772.756081,2026-07-21T10:46:12.756092+00:00,CONTROLLER_STOP,,local1core,
1784639377.318615,2026-07-21T13:09:37.318638+00:00,CONTROLLER_START,,local1core,
1784639454.905607,2026-07-21T13:10:54.905628+00:00,TRANSITION_START,local1core,apiserver,83.65
1784639456.489688,2026-07-21T13:10:56.489701+00:00,TRANSITION_END,local1core,apiserver,83.65
1784639529.230567,2026-07-21T13:12:09.230572+00:00,TRANSITION_START,apiserver,local1core,0.00
1784639529.932782,2026-07-21T13:12:09.932793+00:00,TRANSITION_END,apiserver,local1core,0.00
1784639762.035723,2026-07-21T13:16:02.035729+00:00,TRANSITION_START,local1core,apiserver,116.18
1784639763.327715,2026-07-21T13:16:03.327727+00:00,TRANSITION_END,local1core,apiserver,116.18
1784639829.813874,2026-07-21T13:17:09.813879+00:00,TRANSITION_START,apiserver,local1core,1.14
1784639830.805449,2026-07-21T13:17:10.805459+00:00,TRANSITION_END,apiserver,local1core,1.14
1784640847.209917,2026-07-21T13:34:07.209922+00:00,TRANSITION_START,local1core,apiserver,89.16
1784640848.783962,2026-07-21T13:34:08.783974+00:00,TRANSITION_END,local1core,apiserver,89.16
1784640920.131703,2026-07-21T13:35:20.131709+00:00,TRANSITION_START,apiserver,local1core,1.62
1784640920.945445,2026-07-21T13:35:20.945455+00:00,TRANSITION_END,apiserver,local1core,1.62
1784640934.107032,2026-07-21T13:35:34.107042+00:00,CONTROLLER_STOP,,local1core,
